"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Cyperaceae","Ericaceae","Picea","Pinus.subg..Pinus","Pinus.undiff.","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus.incana","Ambrosia","Alnus.viridis","Myrica","Amaranthaceae","Poaceae","Rubus.chamaemorus","Cupressaceae","Corylus","Oxyria.digyna","Epilobium","Plantago","Pedicularis.lanceolata","Larix","Ulmus","Fagus","Asteraceae.subf..Cichorioideae","Ranunculaceae.undiff.","Rumex","Brassicaceae","Polygonum.viviparum","Rosaceae.undiff.","Quercus","Fraxinus","Ostrya","Caryophyllaceae"
1,88,547,6,268,53,35,76,7,5,10,1,3,3,7,64,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,418,511,7,207,65,47,66,3,3,12,0,1,4,2,82,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,831,535,4,221,63,40,83,0,3,19,1,9,6,4,62,0,1,14,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1161,524,7,206,55,37,101,1,2,10,0,2,1,2,81,0,0,8,6,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1678,548,6,227,64,45,75,1,0,9,2,5,3,2,89,0,2,11,3,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
20,2030,515,7,220,53,40,91,3,2,13,0,1,2,4,62,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2381,613,6,268,68,43,94,4,2,20,0,10,1,0,74,0,0,10,2,0,0,1,2,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0
24,2733,541,7,209,74,46,96,2,0,11,0,3,3,0,78,0,0,9,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3084,583,8,217,74,53,118,2,0,16,1,9,3,2,64,0,0,8,1,2,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,3711,637,5,237,72,50,143,1,0,13,0,6,1,3,82,0,1,12,3,2,0,0,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0
42,4044,516,8,200,45,47,106,2,2,7,0,3,3,1,75,0,0,14,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,4310,570,2,235,57,32,136,0,3,8,0,2,6,2,69,1,0,14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
58,4576,524,10,178,68,40,93,2,3,12,0,2,8,1,89,0,1,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
66,4842,589,7,189,60,39,115,3,2,13,0,4,7,1,133,0,2,7,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
74,5108,623,12,221,38,48,105,2,2,11,0,4,1,4,158,1,0,11,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82,5374,583,6,177,46,44,103,2,3,5,0,5,5,2,172,1,2,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90,5742,572,9,185,48,46,95,1,1,3,0,6,5,4,154,0,3,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,6172,559,6,201,44,38,69,2,2,9,0,0,1,6,175,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,6602,677,14,193,65,24,91,3,2,29,0,4,5,5,222,2,3,7,0,2,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0
114,7033,516,10,151,68,9,102,2,2,24,0,1,2,0,131,0,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1
124,7570,626,20,110,132,9,122,0,3,26,0,3,4,4,161,0,8,16,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1
