"sample.depths","sample.ages","upland.sum","Acer.saccharum.type","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Carya","Iva.annua.type","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.nigra","Nyssa","Ostrya.Carpinus","Picea","Platanus","Quercus","Rhamnaceae","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Rosaceae.undiff.","Myrica","Pinus","Caprifoliaceae","Poaceae","Plantago","Castanea","Corylus","Juglans.cinerea","Asteraceae.subf..Cichorioideae","Liquidambar","Amaranthaceae","Thalictrum","Lamiaceae","Cupressaceae","Tilia","Apiaceae","Urtica.type","Ilex","Brassicaceae","Salix","Herbs.undiff.","Abies","Anacardiaceae","Polygonum","Onagraceae","Ranunculus","Caryophyllaceae","Sanguisorba"
4,57,320,1,2,13,1,46,9,1,2,7,15,2,2,2,1,5,20,1,108,1,2,7,2,5,4,5,1,38,9,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,133,328,2,0,23,0,65,14,0,4,10,10,0,3,1,0,5,14,2,112,1,0,17,0,2,10,1,0,9,4,3,0,7,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,255,308,2,0,2,0,50,18,0,2,1,17,0,4,0,0,3,24,3,113,0,0,24,1,5,4,0,1,29,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,722,313,4,0,4,0,63,16,0,4,1,20,1,2,1,0,2,27,5,101,0,0,15,0,2,9,0,0,23,0,0,0,10,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1236,314,4,0,2,0,40,26,0,0,1,15,0,0,0,0,4,21,2,114,0,0,11,0,2,17,4,0,39,0,1,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1749,316,3,0,0,0,57,24,0,1,1,19,0,3,2,0,2,20,3,118,0,0,17,2,2,14,0,0,22,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2123,324,5,0,0,0,48,29,0,6,6,17,0,1,0,0,4,17,4,110,0,0,8,1,3,14,1,0,39,0,0,0,6,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2589,310,3,0,1,0,71,20,0,2,4,12,0,2,2,0,2,26,3,105,0,0,11,0,1,7,0,0,30,1,0,0,1,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
142,3056,331,4,0,0,0,63,12,0,5,0,11,1,5,1,0,2,26,4,114,0,0,5,1,1,27,0,1,35,1,0,0,5,0,0,0,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0
162,3523,367,2,0,1,1,52,27,0,1,0,18,0,1,0,0,2,32,1,106,0,0,3,1,1,75,3,0,30,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0
182,3990,314,3,0,2,1,81,11,0,3,0,29,0,4,0,1,2,18,2,101,0,0,6,1,3,12,0,0,22,0,1,0,4,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
202,4457,319,4,0,2,0,75,18,1,9,2,17,0,7,1,0,1,19,1,97,0,0,1,0,1,12,0,0,37,0,2,0,2,1,0,0,1,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
222,4924,342,4,0,1,0,82,21,0,11,11,18,0,2,0,0,2,13,1,109,1,0,1,0,1,22,0,0,25,0,0,0,8,0,2,0,0,1,1,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0
227,5040,339,0,0,2,3,86,20,0,3,20,27,0,0,0,0,0,13,0,103,1,0,9,0,6,17,0,0,21,0,0,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
232,5157,374,3,0,4,0,77,18,0,3,59,21,0,0,0,3,0,15,0,97,0,0,24,0,1,12,0,1,25,1,0,0,6,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,5391,318,5,0,0,0,51,15,0,3,11,23,0,2,0,0,2,9,5,95,0,0,40,0,3,9,0,0,29,2,0,0,9,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
252,5624,360,3,2,2,1,53,12,0,8,10,18,0,5,1,0,2,4,2,91,0,0,50,1,3,36,0,0,26,15,2,0,10,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
262,5951,461,1,0,4,0,46,13,1,7,17,29,2,5,1,1,1,4,1,114,0,0,37,1,2,88,12,0,13,38,1,0,8,0,2,0,2,1,3,0,0,1,0,1,0,0,0,0,1,2,1,0,0,0,0
282,6625,474,1,0,0,0,53,12,0,3,141,32,0,1,0,1,1,5,2,110,0,0,39,1,6,31,0,0,9,4,1,0,17,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
302,7300,392,1,0,1,0,30,11,1,30,0,15,0,3,0,0,1,2,1,109,0,0,77,1,4,59,1,0,12,1,0,0,15,1,2,0,0,1,6,0,0,1,1,0,1,0,1,2,0,1,0,0,0,0,0
