"sample.depths","sample.ages","Abies","Acer.saccharum","Alnus","Betula","Carya","Cephalanthus","Corylus","Eucalyptus","Fraxinus","Juglans","Juniperus","Larix","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus","Platanus","Populus","Quercus","Salix","Tilia","Ulmus","Ambrosia.Iva","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiineae","Cyperaceae","Other.herbs","Poaceae","Lycopodium","Polypodiaceae","Pteridium","Nuphar","Other.aquatics","Typha.angustifolia","Typha.latifolia","Indeterminable"
1558.5,-48,0,1,1,5,2,0,3,1872,11,0,7,0,6,0,0,1,16,1,6,76,4,6,27,71,31,4,20,12,2,75,0,0,0,0,0,16,0,18
1630.5,-19,0,4,2,5,6,0,2,1028,33,1,13,0,6,1,1,0,8,2,1,114,11,7,27,89,27,9,24,12,7,55,0,0,1,0,1,13,0,13
1681.5,1,0,2,2,2,1,1,1,479,33,0,13,0,1,4,0,2,4,2,0,48,6,0,75,57,20,2,16,11,0,35,0,2,0,0,0,0,1,16
1730.5,20,0,0,1,0,3,0,0,720,5,0,0,0,2,1,0,0,6,0,0,17,1,6,17,365,9,4,45,6,0,33,2,0,0,0,0,2,1,1
1780.5,40,0,0,0,10,11,0,3,706,9,1,5,0,14,0,0,1,10,1,2,115,3,5,26,115,10,1,29,7,3,67,0,2,1,5,4,0,0,8
1830.5,60,0,1,3,20,22,0,10,460,5,2,3,0,4,2,0,0,26,2,2,147,1,24,31,190,112,10,10,28,4,54,0,4,2,2,4,1,22,5
1850.5,68,0,0,4,3,9,0,2,339,2,1,3,0,19,2,0,2,19,5,1,121,2,10,27,121,30,10,13,26,1,62,0,11,1,1,3,0,15,7
1880.5,80,0,1,3,10,13,0,13,1065,3,1,1,0,2,0,0,2,14,8,5,79,0,10,13,62,8,5,6,15,2,25,1,1,0,0,0,4,2,6
1895.5,85,0,1,5,5,8,0,0,773,2,4,1,0,18,0,0,2,12,0,0,75,0,6,36,224,6,6,22,33,5,58,0,1,0,2,0,2,20,1
1900.5,87,0,0,7,9,19,0,6,817,8,4,2,0,18,1,1,2,24,1,0,112,0,12,61,170,9,6,9,38,3,74,0,3,0,2,0,2,23,3
1905.5,89,0,3,3,8,9,0,1,895,3,5,0,0,33,2,0,1,13,0,0,110,2,23,63,74,9,7,7,23,1,54,0,6,0,5,1,0,1,1
1910.5,153,0,2,6,8,20,0,5,656,6,2,1,0,116,1,4,0,6,3,0,135,0,18,65,9,5,8,2,13,1,15,0,0,0,1,4,0,0,3
1915.5,216,0,0,0,7,9,0,8,533,2,4,1,0,32,1,2,1,17,0,0,118,0,13,34,14,12,10,2,14,0,20,0,3,1,1,0,0,0,2
1935.5,467,0,0,2,11,14,0,8,691,4,1,0,0,23,0,0,0,20,3,2,317,0,13,17,26,15,4,2,15,1,22,0,0,0,2,0,2,0,1
1985.5,1013,0,0,8,11,5,0,5,587,4,1,4,0,1,1,0,0,16,2,0,140,0,5,9,25,18,0,4,20,1,35,0,4,0,1,0,1,0,9
2044.5,1305,0,1,2,8,6,0,1,624,3,1,2,1,1,0,0,2,26,3,6,109,2,1,4,16,25,8,19,20,2,41,1,1,1,1,0,5,1,10
2094.5,1552,0,0,4,8,3,0,2,1127,3,1,9,0,3,1,0,0,24,1,0,97,2,1,16,16,14,8,1,44,1,45,0,2,0,0,0,0,0,16
2134.5,1750,0,3,4,5,13,0,21,944,11,2,7,0,2,0,1,1,51,3,0,191,5,1,18,21,32,9,6,16,1,43,0,2,0,0,0,0,4,4
2184.5,1967,0,1,2,12,5,0,0,1380,4,0,3,0,8,1,1,0,30,2,0,115,4,5,20,9,14,7,7,28,3,36,4,0,0,0,0,0,2,1
2234.5,2064,0,2,7,14,3,1,18,879,13,1,3,0,6,1,0,1,34,1,2,220,5,9,14,30,30,16,9,30,0,65,1,0,0,1,0,8,3,6
2244.5,2083,0,0,0,10,10,0,2,108,1,4,0,0,27,3,1,1,27,0,1,92,2,15,20,25,7,10,4,10,1,38,1,4,0,15,0,0,7,4
2254.5,2103,0,0,2,13,18,0,0,136,4,13,1,0,25,0,0,0,52,1,0,139,0,13,25,20,9,5,3,11,0,37,1,9,0,7,1,0,0,4
2264.5,2122,0,0,0,10,19,0,2,76,1,2,0,0,10,1,0,2,44,0,1,82,0,21,19,17,3,22,2,5,0,29,0,2,0,12,1,0,4,1
