"sample.depths","sample.ages","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Ericaceae","Picea","Salix","Asteraceae.subf..Asteroideae.undiff.","Alnus","Pinus","Populus","Poaceae","Rosaceae","Ambrosia.type","Herbs.undiff.","Sarcobatus.vermiculatus","Fraxinus","Myrica","Larix","Thalictrum","Ulmus","Abies","Corylus","Quercus","Shepherdia","Elaeagnus","Trees.undiff.","Ostrya.Carpinus","Polygonaceae.undiff.","Rumex"
0,11,0.0224550898203593,0.348802395209581,0.00898203592814371,0.00149700598802395,0.0029940119760479,0.134730538922156,0.0164670658682635,0.00748502994011976,0.151197604790419,0.297904191616766,0.00149700598802395,0.00449101796407186,0.00149700598802395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,275,0.0350877192982456,0.5,0.0087719298245614,0,0.0043859649122807,0.179824561403509,0.0131578947368421,0.0043859649122807,0.223684210526316,0,0,0.0087719298245614,0,0.0043859649122807,0.0043859649122807,0.0043859649122807,0.0043859649122807,0.0043859649122807,0,0,0,0,0,0,0,0,0,0,0,0
20,539,0.0300546448087432,0.224043715846995,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.158469945355191,0.00819672131147541,0,0.139344262295082,0.423497267759563,0,0.00273224043715847,0,0.00273224043715847,0.00273224043715847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,803,0.0231660231660232,0.28957528957529,0.00386100386100386,0.00386100386100386,0.0115830115830116,0.127413127413127,0.00772200772200772,0.00386100386100386,0.142857142857143,0.370656370656371,0.00386100386100386,0.00386100386100386,0.00386100386100386,0.00386100386100386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1067,0.021671826625387,0.238390092879257,0,0,0.00928792569659443,0.164086687306502,0.00928792569659443,0.00309597523219814,0.157894736842105,0.368421052631579,0.00309597523219814,0.0123839009287926,0,0,0.00619195046439629,0,0,0,0.00309597523219814,0.00309597523219814,0,0,0,0,0,0,0,0,0,0
50,1331,0.0267558528428094,0.270903010033445,0.0100334448160535,0.00334448160535117,0.0167224080267559,0.120401337792642,0.00334448160535117,0,0.163879598662207,0.37123745819398,0,0.0100334448160535,0,0.00334448160535117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1595,0.0403225806451613,0.188172043010753,0.00537634408602151,0.0134408602150538,0.0161290322580645,0.118279569892473,0.00537634408602151,0.00806451612903226,0.150537634408602,0.424731182795699,0.00806451612903226,0.0134408602150538,0,0.00268817204301075,0,0,0,0,0.00537634408602151,0,0,0,0,0,0,0,0,0,0,0
70,1859,0.0212201591511936,0.278514588859416,0.0026525198938992,0,0.0159151193633952,0.140583554376658,0.00530503978779841,0,0.156498673740053,0.376657824933687,0,0.0026525198938992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2123,0.0196560196560197,0.199017199017199,0,0.00245700245700246,0.0122850122850123,0.115479115479115,0.00491400491400491,0.00737100737100737,0.113022113022113,0.518427518427518,0.00245700245700246,0.00245700245700246,0.00245700245700246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2387,0.0265486725663717,0.253687315634218,0.00294985250737463,0,0.00294985250737463,0.135693215339233,0.0176991150442478,0.00294985250737463,0.153392330383481,0.392330383480826,0,0.00589970501474926,0,0,0,0,0,0,0,0,0.00589970501474926,0,0,0,0,0,0,0,0,0
100,2651,0,0.202453987730061,0,0.00306748466257669,0.00920245398773006,0.171779141104294,0.00613496932515337,0,0.110429447852761,0.484662576687117,0,0.0122699386503067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2915,0.0251798561151079,0.190647482014388,0,0.00359712230215827,0.0179856115107914,0.179856115107914,0.00359712230215827,0.00359712230215827,0.079136690647482,0.464028776978417,0,0.00719424460431655,0,0.00359712230215827,0.0107913669064748,0.00359712230215827,0,0,0,0,0,0.00359712230215827,0.00359712230215827,0,0,0,0,0,0,0
120,3179,0.0275229357798165,0.180428134556575,0.00305810397553517,0.00611620795107034,0.00305810397553517,0.125382262996942,0.0152905198776758,0.00305810397553517,0.152905198776758,0.470948012232416,0,0.00611620795107034,0.00305810397553517,0,0,0,0,0,0,0,0,0.00305810397553517,0,0,0,0,0,0,0,0
130,3443,0.0163487738419619,0.174386920980926,0.00272479564032698,0.00544959128065395,0.00544959128065395,0.136239782016349,0,0,0.168937329700272,0.482288828337875,0.00272479564032698,0,0,0,0,0,0,0,0,0,0,0.00272479564032698,0.00272479564032698,0,0,0,0,0,0,0
140,3707,0.0381679389312977,0.173027989821883,0.00254452926208651,0.00254452926208651,0.00508905852417303,0.122137404580153,0.00763358778625954,0,0.173027989821883,0.463104325699746,0.00254452926208651,0.00254452926208651,0,0,0,0.00254452926208651,0,0,0,0,0.00254452926208651,0,0.00254452926208651,0,0,0,0,0,0,0
150,3971,0.0200501253132832,0.177944862155388,0,0,0.0075187969924812,0.12280701754386,0.0050125313283208,0.0050125313283208,0.147869674185464,0.50125313283208,0.0025062656641604,0.0050125313283208,0,0,0,0.0050125313283208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,4235,0.0161812297734628,0.210355987055016,0.00323624595469256,0.00647249190938511,0,0.135922330097087,0.00647249190938511,0,0.145631067961165,0.453074433656958,0.00323624595469256,0.00647249190938511,0,0,0.00323624595469256,0,0,0,0,0,0,0.00970873786407767,0,0,0,0,0,0,0,0
170,4499,0.0131578947368421,0.266447368421053,0.00986842105263158,0.00328947368421053,0.00328947368421053,0.141447368421053,0.00657894736842105,0.0197368421052632,0.131578947368421,0.394736842105263,0,0.00328947368421053,0,0,0,0,0,0,0,0,0,0,0.00657894736842105,0,0,0,0,0,0,0
180,4763,0.0153374233128834,0.300613496932515,0.00306748466257669,0,0,0.0705521472392638,0.00306748466257669,0.00920245398773006,0.273006134969325,0.309815950920245,0,0.00613496932515337,0,0,0.00306748466257669,0,0,0,0,0.00306748466257669,0,0.00306748466257669,0,0,0,0,0,0,0,0
190,5028,0.0295983086680761,0.226215644820296,0.00422832980972516,0.00422832980972516,0,0.0549682875264271,0.00422832980972516,0.00211416490486258,0.226215644820296,0.433403805496829,0.00211416490486258,0.00634249471458774,0,0,0,0,0,0,0,0,0.00211416490486258,0,0.00211416490486258,0.00211416490486258,0,0,0,0,0,0
200,5292,0.0127388535031847,0.254777070063694,0,0,0.00636942675159236,0.0955414012738854,0.0191082802547771,0,0.21656050955414,0.382165605095541,0,0.00955414012738853,0,0,0,0,0,0,0,0,0,0.00318471337579618,0,0,0,0,0,0,0,0
210,5556,0.0326086956521739,0.198369565217391,0.00543478260869565,0.00815217391304348,0,0.0597826086956522,0.00543478260869565,0.00271739130434783,0.21195652173913,0.456521739130435,0.00815217391304348,0.00271739130434783,0,0.00271739130434783,0,0,0,0,0,0,0,0.00271739130434783,0.00271739130434783,0,0,0,0,0,0,0
220,5820,0.031055900621118,0.204968944099379,0.0031055900621118,0.0062111801242236,0.0031055900621118,0.0590062111801242,0.0124223602484472,0,0.114906832298137,0.555900621118012,0.0031055900621118,0.0031055900621118,0,0,0,0,0,0,0,0,0,0,0.0031055900621118,0,0,0,0,0,0,0
230,6084,0.027027027027027,0.187110187110187,0.0103950103950104,0.00207900207900208,0.00207900207900208,0.0810810810810811,0.00623700623700624,0,0.158004158004158,0.507276507276507,0,0.00415800415800416,0,0.00207900207900208,0,0.00207900207900208,0,0,0,0,0,0.0103950103950104,0,0,0,0,0,0,0,0
235,6216,0.0277777777777778,0.269444444444444,0.00277777777777778,0.00277777777777778,0.00277777777777778,0.0972222222222222,0.00555555555555556,0,0.127777777777778,0.438888888888889,0.00555555555555556,0,0,0,0.00555555555555556,0.00277777777777778,0,0,0,0,0,0.00277777777777778,0.00833333333333333,0,0,0,0,0,0,0
250,6612,0.0172413793103448,0.310344827586207,0.00862068965517241,0.00574712643678161,0.014367816091954,0.0603448275862069,0.0114942528735632,0,0.238505747126437,0.307471264367816,0.00574712643678161,0.00862068965517241,0,0.00862068965517241,0,0,0,0,0,0,0,0,0.0028735632183908,0,0,0,0,0,0,0
260,6883,0.0257142857142857,0.442857142857143,0.0171428571428571,0.00285714285714286,0.00571428571428571,0.0628571428571429,0.0228571428571429,0.00285714285714286,0.202857142857143,0.202857142857143,0,0,0,0.00571428571428571,0,0.00285714285714286,0,0,0,0,0,0,0.00285714285714286,0,0,0,0,0,0,0
270,7289,0.0381679389312977,0.384223918575064,0.00254452926208651,0.0203562340966921,0,0.106870229007634,0.0178117048346056,0,0.333333333333333,0.083969465648855,0.00254452926208651,0.00508905852417303,0,0.00254452926208651,0,0,0,0,0,0,0,0.00254452926208651,0,0,0,0,0,0,0,0
280,7696,0.0521172638436482,0.328990228013029,0.0228013029315961,0.00977198697068404,0,0.0846905537459283,0.0228013029315961,0.00651465798045603,0.400651465798046,0.00977198697068404,0.00977198697068404,0.00977198697068404,0,0.0228013029315961,0.0162866449511401,0,0,0.00325732899022801,0,0,0,0,0,0,0,0,0,0,0,0
290,8102,0.0309278350515464,0.360824742268041,0.0180412371134021,0.00515463917525773,0.00257731958762887,0.100515463917526,0.0103092783505155,0.0154639175257732,0.417525773195876,0.0231958762886598,0,0,0.00257731958762887,0,0.00515463917525773,0.00257731958762887,0,0,0,0.00257731958762887,0,0,0.00257731958762887,0,0,0,0,0,0,0
300,8509,0.0594059405940594,0.448844884488449,0.0198019801980198,0.0165016501650165,0,0.303630363036304,0.033003300330033,0.0099009900990099,0.066006600660066,0.0264026402640264,0.0033003300330033,0.0033003300330033,0.0033003300330033,0,0,0,0,0,0,0,0,0,0.0066006600660066,0,0,0,0,0,0,0
310,8915,0.0435897435897436,0.507692307692308,0.0153846153846154,0.00512820512820513,0,0.315384615384615,0.0230769230769231,0.00256410256410256,0.0179487179487179,0.0333333333333333,0.00512820512820513,0.0102564102564103,0.00769230769230769,0.0102564102564103,0.00256410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,9118,0.0553191489361702,0.187234042553191,0.0212765957446809,0.00425531914893617,0,0.63404255319149,0.0170212765957447,0.00425531914893617,0.00425531914893617,0.0468085106382979,0,0.0127659574468085,0,0,0.00425531914893617,0,0,0,0,0.00425531914893617,0,0,0,0,0.00425531914893617,0,0,0,0,0
320,9322,0.115254237288136,0.216949152542373,0.0474576271186441,0.023728813559322,0,0.501694915254237,0.0203389830508475,0.00677966101694915,0.00338983050847458,0.0271186440677966,0.00677966101694915,0.00677966101694915,0,0.00677966101694915,0.0101694915254237,0.00338983050847458,0,0,0,0,0,0,0,0,0.00338983050847458,0,0,0,0,0
324,9484,0.0648854961832061,0.145038167938931,0.0419847328244275,0.0687022900763359,0,0.580152671755725,0.0190839694656489,0.0114503816793893,0.00763358778625954,0.0267175572519084,0.00381679389312977,0.0152671755725191,0,0.00381679389312977,0,0.00381679389312977,0,0,0,0,0,0,0,0,0.00763358778625954,0,0,0,0,0
