"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.undiff.","Adiantum","Alnus.incana","Alnus.undiff.","Alnus.viridis","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium.lanceolatum","Botrychium.simplex","Botrychium.virginianum","Brasenia.schreberi","Brassicaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cheilanthes","Cornus","Corylus","Cyperaceae","Diphasiastrum.complanatum","Dryopteris.type","Ephedra","Equisetum","Ericales","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.undiff.","Huperzia.lucidula","Ilex","Ilex.Nemopanthus.undiff.","Impatiens","Indeterminable","Iva.annua","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Lamiaceae","Larix","Liquidambar","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Magnolia","Menyanthes.trifoliata","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda.cinnamomea","Osmunda.regalis","Osmunda.undiff.","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae","Rubiaceae.undiff.","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Utricularia","Viburnum"
806,-29,0,0,15,0,0,1,0,1,19,0,0,0,0,19,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,7,0,0,0,19,0,0,6,0,0,0,0,6,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,22,0,0,50,0,0,18,2,0,1,120,0,0,5,0,6,0,0,0,0,0,0,2,9,0,26,1,0,0
825,24,0,0,18,0,0,2,0,1,34,0,1,0,0,17,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,17,0,5,4,0,0,0,0,9,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,23,0,0,57,0,1,17,0,0,0,119,0,0,9,0,1,0,0,0,1,0,0,1,8,0,29,0,0,0
845,80,0,0,16,0,0,3,0,1,14,0,0,0,0,23,0,0,0,0,0,6,0,0,0,0,0,0,1,7,0,2,0,0,0,24,0,5,4,0,0,0,0,5,0,0,0,5,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,41,0,2,13,1,0,0,120,0,0,5,0,2,0,0,0,0,0,0,3,4,2,25,0,0,0
865,136,0,0,17,0,0,1,0,5,6,0,2,1,0,22,0,0,0,0,0,6,0,0,0,0,0,0,2,4,0,4,0,0,0,30,0,6,6,0,1,0,0,2,1,4,0,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,45,0,2,24,1,1,1,110,0,0,5,1,1,0,0,0,0,0,0,2,7,0,33,0,0,0
875,315,0,23,11,0,5,0,0,1,6,1,8,1,0,48,0,0,0,0,0,16,0,2,0,0,0,0,2,5,0,0,0,0,0,75,6,31,13,0,0,0,0,2,0,4,1,16,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,67,2,60,71,0,22,5,10,1,4,378,0,0,4,0,4,0,0,0,0,0,2,2,26,1,81,1,0,0
883,512,0,37,0,0,1,0,0,1,8,0,2,2,0,40,0,0,0,4,0,16,0,4,0,0,0,0,0,8,0,0,0,0,0,67,8,11,25,0,0,0,0,1,0,1,0,6,0,7,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,51,2,16,115,0,8,12,2,0,5,361,0,0,1,0,2,0,1,0,0,0,1,4,20,2,74,0,0,0
890,625,0,34,4,1,5,0,0,0,6,0,1,2,0,52,0,0,0,2,0,28,0,2,0,0,0,0,1,16,0,0,0,0,0,81,9,23,12,0,0,0,0,0,0,7,0,10,0,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,48,1,56,93,0,13,5,1,1,16,326,0,0,0,0,5,0,0,0,0,0,0,5,24,2,75,0,0,0
898,753,0,38,8,0,10,0,0,1,6,0,3,1,1,65,0,0,0,0,0,29,0,0,0,0,0,0,1,16,0,0,0,0,0,94,10,34,14,0,0,0,1,7,0,6,2,8,1,7,0,0,0,0,0,2,0,0,0,3,1,3,0,0,0,56,1,63,46,1,16,7,12,0,8,308,3,0,0,0,1,0,0,0,0,0,1,3,27,4,117,1,0,0
906,882,0,54,0,0,6,0,0,0,6,0,6,5,0,50,0,0,0,0,0,39,0,2,0,0,0,0,1,6,0,0,0,0,0,92,11,53,14,0,0,0,0,0,0,3,0,6,0,6,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,37,0,38,55,0,19,8,4,0,13,254,0,0,0,0,4,1,0,0,0,0,0,10,27,0,125,0,0,0
914,1011,0,74,33,0,5,0,0,2,3,0,3,1,0,84,0,0,0,0,0,40,0,1,0,0,0,0,0,12,0,0,0,1,0,188,11,57,20,0,0,0,0,2,0,10,1,7,0,11,0,0,0,0,0,0,1,0,0,2,2,1,1,0,0,69,1,28,37,0,18,11,5,0,15,272,4,0,0,0,1,0,0,0,0,0,0,11,28,0,131,1,0,0
