"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum.type","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Ephedra","Equisetum","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans.nigra","Lamiaceae","Myriophyllum","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella","Shepherdia","Thalictrum","Tilia","Typha.Sparganium","Ulmus","Unknown"
5,78,0,4,0,5,33,24,0,0,0,42,17,0,3,3,0,0,0,0,31,2,0,0,0,0,0,9,5,0,14,0,1,0,1,1,37,0,0,56,0,2,0,59,0,0,0,3,1,0,0,0,1,3,2,0
15,195,1,0,0,9,25,21,1,0,0,69,17,1,8,0,0,0,2,0,38,0,0,0,0,0,0,9,15,0,4,0,0,0,1,7,57,0,0,51,1,1,0,55,0,0,0,2,1,0,0,1,1,1,7,3
25,311,0,1,0,2,27,13,0,0,4,66,18,2,9,0,0,0,2,0,24,0,0,0,0,0,0,4,7,0,2,0,0,1,2,8,59,0,0,54,1,3,0,61,0,1,0,1,3,0,0,1,0,3,3,1
35,427,0,0,0,4,37,6,0,1,0,69,14,0,8,0,0,0,0,0,39,1,0,0,0,0,0,2,10,0,2,0,1,1,1,3,35,0,0,78,0,1,1,45,0,0,0,2,1,0,0,2,1,2,2,0
45,544,1,1,0,9,38,21,0,0,1,78,10,0,8,0,0,0,0,2,27,0,0,0,0,0,0,6,6,0,1,0,0,0,5,1,45,1,0,69,0,1,0,39,0,0,0,4,4,0,0,0,0,1,2,2
75,893,0,2,0,5,20,12,0,0,2,77,8,0,8,0,0,0,0,1,19,0,0,0,0,0,1,4,8,0,0,0,0,0,1,4,60,0,0,75,1,1,0,56,0,0,0,4,5,0,0,1,1,1,2,4
100,1184,0,0,0,5,24,8,0,0,9,88,20,1,3,0,0,0,0,1,31,1,1,1,0,0,0,2,9,0,0,0,0,0,2,3,58,0,0,81,2,3,0,40,0,0,0,3,0,0,0,2,0,1,5,1
120,1417,0,0,0,8,45,16,0,0,0,68,7,0,8,0,0,0,0,0,38,1,0,0,0,0,0,0,10,0,0,0,0,0,2,2,49,0,0,96,1,0,0,25,0,0,0,5,2,0,0,0,1,0,1,2
140,1650,1,0,0,6,60,9,1,0,2,71,19,0,11,0,1,0,1,0,28,2,0,0,0,0,0,1,9,0,1,0,0,0,0,2,53,0,0,91,0,0,0,32,0,0,0,2,1,0,0,1,0,2,4,1
150,1766,0,0,0,8,26,13,2,1,0,59,15,1,21,0,1,0,2,0,39,4,0,0,0,0,0,7,12,0,1,0,0,0,3,2,80,0,0,108,0,0,0,46,1,0,0,3,1,0,0,0,0,4,6,2
