"sample.depths","sample.ages","Acer.saccharum.type","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Carya","Castanea","Corylus","Cyperaceae","Ericaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Juglans.nigra","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Plantago.lanceolata","Quercus","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Rosaceae.undiff.","Cornus","Populus","Amaranthaceae","Poaceae","Cephalanthus","Nyssa","Platanus","Potentilla.type","Tilia","Apiaceae","Vitis","Juglans.cinerea","Plantago.major","Liquidambar","Thalictrum","Sambucus","Cannabaceae","Myrica","Viburnum","Nemopanthus","Rhamnaceae","Lamiaceae","Galium","Ranunculus","Abies","Polygonum","Caryophyllaceae","Pinus.subg..Pinus","Gentianaceae","Shepherdia","Celtis","Sanguisorba","Urtica.type","Fraxinus.nigra.type","Campanulaceae","Epilobium","Ilex","Asteraceae.subf..Cichorioideae","Saxifragaceae","Caprifoliaceae.undiff.","Plantago.undiff."
10,35,0.0248091603053435,0.017175572519084,0.194656488549618,0.00381679389312977,0.0782442748091603,0.00572519083969466,0.00954198473282443,0.00381679389312977,0.00381679389312977,0.0896946564885496,0.0534351145038168,0.0152671755725191,0.00190839694656489,0.00190839694656489,0.0305343511450382,0.00381679389312977,0.0591603053435115,0.0553435114503817,0.00954198473282443,0.0763358778625954,0.00954198473282443,0.00572519083969466,0.116412213740458,0.0133587786259542,0.0190839694656489,0.00381679389312977,0.00381679389312977,0.0133587786259542,0.0133587786259542,0.00381679389312977,0.0591603053435115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,71,0.0237154150197628,0.0118577075098814,0.171936758893281,0.00395256916996047,0.0612648221343874,0.00395256916996047,0.00395256916996047,0.00395256916996047,0.00395256916996047,0.0434782608695652,0.0612648221343874,0.0118577075098814,0.00197628458498024,0,0.0434782608695652,0,0.0612648221343874,0.0652173913043478,0.00592885375494071,0.075098814229249,0.0177865612648221,0.00988142292490119,0.162055335968379,0.0217391304347826,0.0316205533596838,0.00197628458498024,0,0.00790513833992095,0.00790513833992095,0.00395256916996047,0.0395256916996047,0.00395256916996047,0.00790513833992095,0.00592885375494071,0.00988142292490119,0.00592885375494071,0.00197628458498024,0.00197628458498024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,132,0.0166666666666667,0.0111111111111111,0.0611111111111111,0.00833333333333333,0.0666666666666667,0.00833333333333333,0.00277777777777778,0,0.00833333333333333,0.025,0.0944444444444444,0,0.00277777777777778,0,0.0194444444444444,0,0.0722222222222222,0.1,0,0.0972222222222222,0.00555555555555556,0.00833333333333333,0.302777777777778,0.00833333333333333,0.0194444444444444,0,0,0.00555555555555556,0.0222222222222222,0,0.00833333333333333,0,0.00277777777777778,0.00555555555555556,0,0.0111111111111111,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,179,0.0363128491620112,0.00558659217877095,0.0223463687150838,0,0.0949720670391061,0.0111731843575419,0.00279329608938547,0.00279329608938547,0.00279329608938547,0.0111731843575419,0.0726256983240224,0.00558659217877095,0.00279329608938547,0,0.0363128491620112,0,0.0977653631284916,0.0893854748603352,0,0.139664804469274,0.0139664804469274,0.00558659217877095,0.284916201117318,0.00279329608938547,0.0111731843575419,0.0111731843575419,0,0.00558659217877095,0,0,0.0139664804469274,0,0.00279329608938547,0.00279329608938547,0,0.00837988826815642,0,0,0,0.00279329608938547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,260,0.0121212121212121,0.0121212121212121,0.00909090909090909,0,0.0636363636363636,0.00909090909090909,0.0121212121212121,0,0.00303030303030303,0.00909090909090909,0.0575757575757576,0.00606060606060606,0.00303030303030303,0,0.0151515151515152,0,0.112121212121212,0.151515151515152,0,0.109090909090909,0,0.00606060606060606,0.366666666666667,0.00303030303030303,0.0121212121212121,0.00303030303030303,0,0,0,0,0.00909090909090909,0,0,0.00303030303030303,0,0.00303030303030303,0,0,0.00303030303030303,0,0.00303030303030303,0.00303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,430,0.0267062314540059,0.00593471810089021,0.00890207715133531,0,0.109792284866469,0.0207715133531157,0.0148367952522255,0,0,0.0267062314540059,0.0652818991097923,0.0148367952522255,0.00890207715133531,0,0.0474777448071217,0,0.0712166172106825,0.127596439169139,0.0029673590504451,0.106824925816024,0.0029673590504451,0.0029673590504451,0.29673590504451,0.0029673590504451,0.0118694362017804,0.00593471810089021,0,0,0.00890207715133531,0,0,0,0,0,0,0.00593471810089021,0,0,0,0,0,0,0.0029673590504451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,642,0.0192307692307692,0.00641025641025641,0.00961538461538462,0,0.112179487179487,0.00641025641025641,0.00320512820512821,0.00320512820512821,0,0.0192307692307692,0.0897435897435897,0.00961538461538462,0,0,0.0448717948717949,0,0.0384615384615385,0.112179487179487,0,0.141025641025641,0,0,0.349358974358974,0,0.0128205128205128,0.00320512820512821,0,0,0,0,0.00320512820512821,0,0,0.00320512820512821,0,0.00961538461538462,0,0,0.00320512820512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,892,0.0377358490566038,0.00943396226415094,0.00314465408805031,0,0.10377358490566,0.00628930817610063,0.0220125786163522,0.00314465408805031,0.00314465408805031,0.00943396226415094,0.0723270440251572,0.00628930817610063,0,0,0.059748427672956,0,0.050314465408805,0.125786163522013,0,0.132075471698113,0,0,0.320754716981132,0,0.00943396226415094,0,0,0.00314465408805031,0,0,0,0,0.00314465408805031,0.00628930817610063,0,0.00314465408805031,0,0,0,0,0.00314465408805031,0,0,0.00314465408805031,0.00314465408805031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1173,0.0318471337579618,0.00955414012738853,0.00318471337579618,0.00318471337579618,0.0732484076433121,0.00318471337579618,0.00318471337579618,0.00318471337579618,0,0.00955414012738853,0.162420382165605,0.0127388535031847,0,0.00318471337579618,0.0286624203821656,0,0.0286624203821656,0.136942675159236,0.00318471337579618,0.0987261146496815,0,0,0.331210191082803,0,0.0127388535031847,0.00318471337579618,0.00318471337579618,0.00318471337579618,0.00636942675159236,0,0,0,0,0.00636942675159236,0,0.00318471337579618,0,0,0.00636942675159236,0,0.00318471337579618,0,0,0,0.00318471337579618,0.00318471337579618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1477,0.0466472303206997,0.0087463556851312,0.00583090379008746,0.00291545189504373,0.0962099125364431,0.0087463556851312,0.0495626822157434,0,0,0.0233236151603499,0.180758017492711,0.0116618075801749,0.00291545189504373,0,0.0349854227405248,0,0.032069970845481,0.0728862973760933,0,0.12536443148688,0,0,0.227405247813411,0.00583090379008746,0.0291545189504373,0.00291545189504373,0,0.00291545189504373,0.00291545189504373,0,0.00291545189504373,0,0.0145772594752187,0.0087463556851312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
