"sample.depths","sample.ages","upland.sum","Abies","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Poaceae","Populus.balsamifera","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Pinus.undiff.","Ambrosia.type","Thalictrum","Ulmus","Iva.annua","Myrica","Iva.xanthifolia","Ranunculus","Fraxinus.pennsylvanica","Rosaceae.undiff.","Ericaceae","Polygalaceae","Sarcobatus.vermiculatus","Fabaceae","Shepherdia.canadensis","Rhamnus.alnifolia","Acer.negundo","Lysimachia","Urtica.type","Acer.saccharum","Potentilla","Caryophyllaceae","Dryas","Saxifraga"
290,441,606,14,15,35,12,40,1,1,2,12,1,260,192,14,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735,6904,609,13,16,31,9,93,0,2,0,8,0,131,47,6,0,2,1,1,5,5,1,2,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
745,7049,538,3,49,49,1,87,0,1,0,0,3,45,49,7,3,1,4,6,1,4,10,3,205,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,7122,651,15,36,37,12,85,0,5,1,2,0,125,29,9,3,4,3,3,0,5,5,4,262,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
755,7195,615,8,49,56,1,93,1,3,0,3,1,87,22,8,6,5,3,5,1,8,0,1,245,4,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,7267,665,13,19,27,16,77,0,2,1,4,0,148,41,14,5,1,6,4,0,5,13,2,256,2,0,1,0,3,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
765,7330,577,13,36,21,16,63,0,4,4,6,1,105,45,9,1,0,8,4,3,8,7,0,216,0,0,3,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
770,7384,726,8,20,45,16,119,0,2,0,0,1,97,37,4,7,5,1,5,3,13,9,2,323,4,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0
775,7438,511,5,37,40,0,107,0,4,1,1,1,60,42,1,4,3,5,3,1,4,0,0,182,5,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
780,7492,687,9,26,42,9,142,0,7,3,6,0,96,53,5,1,3,8,4,1,4,9,0,250,3,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0
785,7546,669,8,27,45,10,120,0,5,1,3,1,94,57,2,3,4,7,5,2,9,9,0,246,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
790,NA,406,5,30,23,0,185,0,4,4,3,1,65,0,0,4,2,11,3,0,0,0,1,57,4,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795,NA,677,8,18,40,18,148,0,7,1,2,2,73,38,0,5,5,4,7,0,10,4,3,274,5,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
799,NA,528,11,15,35,14,98,0,13,2,9,0,62,8,2,3,0,5,8,0,14,5,2,218,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,NA,593,0,7,24,20,48,0,12,0,8,1,181,42,1,2,12,2,3,1,23,11,0,182,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,NA,633,0,3,14,44,13,0,14,2,4,0,103,0,0,4,55,21,20,4,10,52,3,220,27,0,3,0,0,5,0,0,0,0,0,3,0,1,0,1,0,0,0,1,2,3,1
