"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Fagus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Juniperus.type","Abies.balsamea","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Tsuga.canadensis","Picea.undiff.","Acer.rubrum","Ostrya.Carpinus","Taxus","Poaceae","Acer.saccharum","Carya.ovata","Pinus.strobus","Ericaceae.undiff.","Cyperaceae","Fraxinus.nigra.type","Juglans.cinerea","Ulmus","Juniperus.communis.Thuja.occidentalis.type","Acer.pensylvanicum","Ambrosia.type","Populus.tremuloides.type","Amaranthaceae","Fraxinus.pennsylvanica.type","Castanea.dentata","Larix","Plantaginaceae","Thalictrum","Salix.undiff.","Caryophyllaceae","Saxifraga.oppositifolia.type","Asteraceae.subf..Asteroideae.undiff.","Vaccinium","Acer.spicatum","Rosaceae.undiff.","Ilex.Nemopanthus","Celtis.occidentalis","Acer.nigrum","Prunus","Fabaceae","Populus.balsamifera.type","Tilia","Viburnum.undiff.","Cornus","Shepherdia.canadensis","Salix.herbacea.type","cf..Oxyria.digyna","Koenigia.islandica","Asteraceae.subf..Cichorioideae","Brassicaceae","Viburnum.nudum","Polygonum.viviparum","Ranunculaceae.undiff."
2,74,332,3,3,1,250,1,9,4,20,2,2,6,3,4,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,260,522,11,4,0,379,1,8,6,35,7,0,14,2,0,2,6,33,1,1,1,1,2,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,742,539,1,4,0,422,1,2,10,24,0,2,7,2,6,4,2,24,3,0,0,0,2,0,8,1,4,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1113,416,8,4,0,355,6,0,2,4,5,1,4,0,4,1,5,2,1,0,0,0,2,0,4,0,1,2,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1484,465,7,6,0,356,6,0,1,23,4,0,7,5,1,1,3,26,0,3,2,0,0,0,3,3,1,0,0,2,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1855,449,3,5,0,370,4,0,7,5,9,0,3,1,3,0,5,12,0,0,1,0,2,0,10,0,2,0,1,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2226,563,15,2,0,425,2,0,1,32,13,0,6,1,5,0,2,32,1,1,0,0,2,0,7,0,2,3,0,4,0,3,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2967,626,15,6,0,490,1,3,1,34,10,1,4,3,5,0,3,22,1,2,0,1,3,0,14,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,3338,652,18,1,0,536,5,0,3,9,13,1,6,1,3,0,2,21,1,1,0,1,6,0,13,0,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3709,462,7,7,0,295,1,11,1,41,12,0,1,3,1,2,3,29,1,1,1,1,3,0,26,0,3,4,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,4451,780,11,6,0,584,0,2,2,55,31,0,3,7,4,2,2,31,2,0,0,0,6,0,19,0,1,4,0,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,5061,651,17,6,0,478,0,0,10,23,49,0,2,2,2,2,0,8,2,0,1,1,5,2,31,0,3,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,5659,461,13,3,0,339,3,0,3,16,42,0,3,0,1,1,1,11,0,0,0,0,2,0,10,0,1,1,0,5,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,5959,413,6,10,0,265,0,0,6,33,47,0,1,0,0,1,4,14,1,1,2,0,3,0,14,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,6258,513,13,5,0,356,1,0,9,35,10,3,3,1,2,4,5,28,0,1,1,0,5,1,22,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,6557,376,3,4,0,241,1,0,7,30,4,1,5,0,1,1,5,29,1,0,2,0,4,0,27,0,0,2,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,6857,353,5,3,0,196,2,1,6,59,4,0,4,0,0,3,3,5,4,1,1,0,3,0,49,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,7185,407,2,3,0,290,0,0,3,33,2,2,1,0,4,5,1,5,5,0,5,0,0,0,25,1,0,6,0,9,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,7534,508,2,28,0,348,0,0,11,35,4,1,7,1,2,3,3,21,1,0,3,0,0,0,25,0,1,4,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,7883,606,1,44,0,421,1,2,6,23,12,0,8,2,0,1,2,29,2,0,8,1,2,0,14,0,2,4,0,2,0,2,0,6,1,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
240,8232,706,6,68,2,494,0,0,18,15,10,1,11,3,4,4,0,17,2,0,6,7,1,1,16,0,1,5,0,3,0,0,0,2,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
250,8580,797,1,103,1,606,0,0,11,17,6,0,5,0,0,12,1,11,1,0,0,1,0,0,7,0,4,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,8929,681,3,43,0,541,1,0,13,18,4,0,6,1,0,3,0,23,0,0,0,1,1,0,5,0,2,0,0,3,1,0,0,7,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
270,9256,661,0,144,0,448,2,0,6,4,12,0,6,0,1,4,0,6,0,0,0,3,0,1,3,0,2,1,0,1,1,0,0,7,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
280,9458,601,2,110,3,402,0,1,8,14,9,0,3,0,0,3,1,26,0,1,0,0,0,0,4,0,3,1,0,0,1,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
290,9660,941,13,385,2,250,0,3,68,12,6,5,6,3,0,17,0,54,0,0,0,1,0,0,12,0,5,2,0,1,0,0,0,70,0,0,1,6,0,0,10,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,0,0
300,9862,505,2,113,1,136,0,25,21,21,11,1,0,0,4,3,1,129,0,0,0,1,0,0,7,0,5,0,0,1,0,0,0,9,1,1,1,0,0,0,7,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
310,10494,316,0,22,4,109,2,0,49,14,10,0,1,1,4,3,1,58,0,0,0,2,0,0,5,1,6,0,0,1,0,0,0,4,0,0,0,1,0,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0
315,11025,424,0,3,3,51,1,6,183,3,3,7,1,0,2,9,1,114,0,0,0,2,1,0,10,1,7,0,0,0,0,0,1,7,0,0,0,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
325,NA,414,0,14,10,256,0,0,5,9,3,0,0,0,0,3,1,10,0,0,0,6,0,0,2,0,16,0,0,2,0,0,1,2,0,0,0,0,0,0,43,1,0,2,0,0,4,0,0,0,0,1,1,0,0,0,22,0,0,0,0,0,0,0,0
330,NA,218,0,9,19,42,0,1,0,20,3,0,0,0,0,6,1,6,0,0,0,10,0,0,4,0,75,0,0,2,0,0,2,0,0,0,0,0,0,2,4,2,2,2,0,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
335,NA,501,1,26,108,63,0,0,18,23,2,0,0,1,0,54,1,9,0,0,0,30,0,0,6,1,87,0,0,1,0,0,4,0,2,0,0,0,0,4,13,6,3,3,0,0,2,0,0,0,0,2,0,0,0,0,0,0,27,1,1,1,1,0,0
340,NA,205,0,2,14,8,0,0,15,22,3,0,0,0,0,23,0,9,0,1,0,17,0,0,6,0,68,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
350,NA,413,5,19,52,31,0,0,18,17,2,0,0,0,0,41,1,7,0,0,0,32,0,0,1,0,90,0,0,2,0,0,9,0,0,0,0,0,0,2,10,7,0,3,0,0,7,0,0,0,0,2,0,0,0,0,0,0,50,0,0,4,0,1,0
360,NA,564,0,1,22,57,1,1,15,70,3,1,0,0,4,88,0,17,1,3,0,38,0,0,2,2,136,0,1,2,0,0,5,7,0,0,0,0,0,0,9,11,0,24,0,0,24,0,0,0,0,5,0,0,0,0,0,0,8,0,1,2,1,0,2
370,NA,164,0,0,7,11,0,0,13,27,0,0,1,0,0,50,0,11,0,1,0,12,0,0,0,0,13,0,0,0,0,0,3,1,0,0,0,0,0,0,5,1,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
380,NA,33,0,0,3,7,0,0,1,4,1,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,NA,26,0,1,0,1,0,0,0,5,0,0,0,0,0,4,0,1,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
