"sample.depths","sample.ages","upland.sum","Acer.negundo","Alnus.incana.type","Ambrosia.type","Artemisia","Betula","Carya","Celtis","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fraxinus.pennsylvanica.type","Juglans.cinerea","Melilotus.type","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Populus","Poaceae","Rosaceae","Acer.saccharum.type","Asteraceae.undiff.","Fraxinus.nigra.type","Juglans.nigra","Corylus","Maclura.pomifera.type","Picea","Tsuga","Acer.rubrum","Ceanothus","Fraxinus.undiff.","Larix","Platanus","Tilia","Apiaceae","Fagus","Polygonaceae.undiff.","Xanthium","Abies","Amorpha.type","Iva.annua.type","Galium","Ephedra","Cannabaceae","Dalea","Rhamnus","Cornus","Rhus","Sarcobatus.vermiculatus"
1538,2909,314,1,13,11,13,22,1,1,3,5,7,1,1,0,7,4,9,31,127,0,3,0,6,10,1,2,21,0,3,0,1,1,2,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1600,3603,254,0,13,7,14,16,1,1,6,1,17,1,1,0,10,2,12,21,95,0,3,0,4,2,0,0,15,0,4,0,3,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1640,3923,432,0,13,7,15,18,0,1,4,3,11,0,0,0,18,6,18,20,216,0,4,1,6,10,0,2,38,1,8,0,4,0,3,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1700,4350,203,0,3,17,13,4,0,0,2,0,5,1,3,0,1,4,12,14,90,0,2,0,3,1,0,0,22,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1740,4924,247,0,8,16,16,3,1,0,9,2,7,0,1,0,5,3,6,35,69,0,3,1,2,4,0,1,40,0,0,0,6,0,0,0,2,0,0,0,1,0,2,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0
1800,6261,234,3,4,16,24,2,0,0,6,1,21,1,0,0,4,3,4,17,65,0,5,0,6,8,0,1,36,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
1860,7576,286,0,4,17,26,4,0,0,13,3,16,1,2,0,8,0,10,24,76,0,9,0,6,15,0,0,36,0,3,0,2,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0
1898,8084,307,0,5,40,40,0,2,1,21,3,16,1,0,0,10,5,4,18,49,0,1,1,2,12,0,3,56,0,2,0,1,1,3,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,2,1,0,0,0,0,0
1918,8215,263,0,8,17,22,0,3,0,9,2,10,0,2,0,16,2,22,34,38,0,4,1,7,24,0,0,33,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0
1958,8438,357,0,4,32,34,7,1,0,14,3,5,3,1,0,21,8,12,45,52,0,6,0,6,41,1,0,34,0,7,0,10,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0
