"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.undiff.","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Betulaceae.Myricaceae.undiff.","Brassicaceae","Caprifoliaceae","Carya","Caryophyllaceae","Castanea","cf..Hypericum","Corylus","Cupressaceae.Taxaceae","Cyperaceae","Drosera","Ericaceae","Eriocaulon","Fabaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica","Helianthemum","Hudsonia","Huperzia.lucidula","Ilex","Indeterminable","Isoëtes","Iva","Juglans.cinerea","Juglans.nigra","Lamiaceae","Liquidambar","Myrica.Comptonia.peregrina","Myriophyllum","Nymphaea","Nyssa","Onagraceae","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Polygonaceae.undiff.","Pteridium","Quercus","Ranunculaceae.undiff.","Rhamnus","Rhus","Rosaceae.undiff.","Rubus","Rumex","Salix","Scrophulariaceae","Solanum","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Zea.mays"
0,-32,0,1,0,0,4,1,39,6,1,18,1,12,0,3,4,4,1,0,9,4,0,10,0,4,0,0,7,0,0,0,0,0,7,6,0,0,0,0,0,0,36,0,5,2,0,0,2,10,5,42,10,0,120,0,0,62,0,0,0,14,1,18,2,0,0,0,1,0,6,6,176,7,20,8,3,0
14,30,1,0,4,0,0,2,13,1,0,14,0,18,0,0,0,4,0,0,10,3,0,18,1,4,0,0,3,0,0,0,0,0,3,9,0,0,0,0,0,0,45,0,0,3,0,2,1,11,5,28,12,0,135,0,2,37,0,0,2,3,0,23,0,1,0,1,0,0,5,4,192,5,10,5,2,0
24,74,0,0,4,0,6,0,13,1,1,11,3,19,0,0,0,4,0,0,1,3,1,17,0,0,0,8,9,0,2,0,0,0,1,18,0,1,1,0,0,0,24,0,10,1,0,0,3,3,6,20,8,0,108,0,1,39,0,0,2,11,0,29,0,1,0,0,0,0,3,2,91,2,5,5,1,1
35,123,0,0,1,0,3,0,25,5,0,5,1,14,0,0,0,2,0,0,0,3,2,25,0,1,0,9,3,0,0,0,0,0,0,9,0,0,0,0,0,0,12,0,0,3,0,0,3,2,7,8,3,0,199,0,0,48,0,0,0,16,0,58,0,0,1,2,0,0,6,2,20,0,9,4,2,0
45,167,0,0,1,0,1,2,11,8,0,5,1,12,0,0,0,0,1,2,1,7,1,11,0,1,0,4,2,2,1,0,0,0,2,18,0,0,0,0,0,0,14,0,4,4,0,1,0.5,1,3,10,2,0,136,0,0,36,0,0,0,10,0,46,0,0,0,1,0,0,2,0,3,2,11,0,2,0
55,211,0,0,2,0,3,0,17,0,1,4,1,11,0,0,0,2,0,0,0,4,0,5,0,2,0,10,4,0,0,0,0,0,1,7,0,0,1,0,0,0,9,0,3,3,0,0,3.5,0,2,6,3,1,141,0,2,37,0,0,6,15,0,58,0,0,1,1,0,0,3,0,1,2,6,0,3,0
65,255,0,0,3,1,10,1,28,0,0,1,0,30,0,1,0,3,0,0,4,1,1,2,0,3,0,0,8,5,2,1,0,0,1,4,1,0,0,0,0,0,28,0,2,3,0,4,3.5,1,9,33.5,2,0,44,0,1,84,0,0,0,16,0,144,0,0,1,3,0,1,10,0,1,3,10,1,0,0
75,300,0,0,7,0,6,1,8,0,1,0,0,39,0,0,0,5,0,2,3,11,2,1,0,3,0,0,16,1,4,0,1,0,4,6,0,0,1,0,0,0,59,0,9,12,0,1,3.5,2,4,16,0,1,5,0,0,150,0,0,0,8,0,5,0,0,0,1,0,1,14,0,0,2,6,0,4,0
85,472,0,0,4,0,6,0,3,0,0,0,0,32,0,0,0,8,0,1,0,4,1,3,0,4,0,0,14,0,1,0,0,0,6,5,0,0,1,0,0,0,44,0,14,6,0,1,1,2,4,16,0,0,2,0,0,138,0,0,0,8,0,0,0,0,0,0,0,0,11,0,0,2,5,0,3,0
95,645,1,2,7,1,3,0,6,0,0,1,0,31,0,1,0,6,0,0,0,4,1,1,0,3,0,0,13,1,4,0,0,1,6,7,0,1,0,0,0,0,60,1,0,5,0,0,1.5,2,4,21.5,0,0,21,0,1,126,0,0,0,10,0,3,0,0,0,2,0,0,5,0,8,3,7,2,0,0
105,817,0,0,7,0,2,0,3,0,1,1,0,33,3,1,0,7,0,0,0,12,2,1,0,5,2,0,13,2,1,0,0,0,10,12,0,0,1,0,0,0,89,0,10,18,0,2,0,5,0,11.5,0,0,3,0,0,136,0,0,0,16,0,0,0,0,0,4,0,0,8,0,1,1,2,0,1,0
125,1163,0,0,7,0,6,0,2,3,0,4,0,26,0,2,0,2,0,0,1,10,0,1,0,8,3,1,13,2,2,0,0,0,17,3,0,0,1,0,0,1,97,0,1,22,0,4,1.5,2,2,5,0,0,1,1,1,99,0,0,1,20,0,0,0,0,0,2,0,0,9,0,0,4,20,0,2,0
135,1335,0,0,8,0,2,0,0,0,1,0,0,29,1,0,0,4,0,1,4,5,0,0,0,5,0,0,14,2,1,0,0,1,12,11,0,1,1,0,0,0,55,0,1,20,1,0,0,2,1,16,0,0,2,0,0,104,0,0,0,19,0,0,0,0,0,3,0,0,11,0,0,5,1,0,2,0
155,1680,0,3,9,0,4,0,2,0,0,2,0,33,0,1,0,6,0,0,6,5,0,3,0,7,1,0,17,6,3,0,2,0,13,1,0,0,1,0,2,1,96,1,0,27,0,5,1,2,4,14,0,0,2,1,0,127,0,0,0,32,0,0,0,0,0,1,0,0,10,0,0,2,13,0,0,0
165,1853,0,0,7,0,2,0,0,0,0,1,0,27,0,0,0,5,0,1,0,6,2,2,0,3,0,0,21,2,1,0,0,0,10,7,0,1,1,0,0,0,70,0,2,15,0,0,0,3,5,17,0,2,0,0,0,128,0,1,2,32,0,0,0,0,0,0,0,0,10,0,0,2,0,0,4,0
185,2198,0,3,4,0,4,0,1,1,0,0,0,29,0,2,0,5,1,0,0,9,1,0,1,9,0,0,17,6,1,0,0,1,17,8,0,0,0,0,0,0,92,0,2,15,0,0,0,0,7,25,0,0,2,0,0,155,0,0,0,23,0,0,0,0,0,1,0,0,7,0,0,3,5,0,0,0
195,2370,0,0,14,1,5,1,1,0,1,0,0,33,0,1,0,2,0,0,0,8,1,2,0,4,1,1,27,0,4,0,0,0,15,8,0,1,0,0,0,1,86,0,4,6,0,0,1,3,7,16.5,0,0,3,0,0,141,0,1,0,17,0,0,0,0,0,0,0,0,4,0,0,3,3,0,3,0
215,2716,0,0,5,1,4,1,2,0,0,2,0,26,0,0,0,3,0,0,0,7,0,0,0,3,0,1,24,2,2,0,0,1,9,2,0,0,1,1,0,0,97,0,0,11,0,3,0,2,5,14,0,0,1,0,1,150,0,0,0,15,0,1,0,0,1,1,0,0,7,0,0,5,7,0,1,0
