"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Ilex","Juglans.cinerea","Liquidambar","Liriodendron","Magnolia","Moraceae","Myrica","Nyssa","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus","Rhus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Vitis","Allium","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Boraginaceae","Brassicaceae","Cannabis.sativa","Caryophyllaceae","Cerealia.undiff.","Chenopodiaceae.Amaranthaceae","Cyperaceae.undiff.","Fabaceae.undiff.","Hypericum","Impatiens","Iva.annua.type","Lamiaceae","Plantago.undiff.","Plantago.rigida.type","Poaceae.undiff.","Polygonaceae.undiff.","Ranunculus","Rosaceae","Rumex","Saxifragaceae","Secale","Thalictrum","Trifolium","Urticaceae","Xyris","Zea"
1,-44,0,0,0.004341534,0.004341534,0,0.008683068,0,0.056439942,0.002894356,0.013024602,0.002894356,0.001447178,0,0.004341534,0,0,0.020260492,0.001447178,0.005788712,0,0.005788712,0,0.001447178,0.001447178,0,0,0,0,0.018813314,0,0.004341534,0.002894356,0,0.002894356,0.02170767,0.002894356,0.296671491,0,0.001447178,0.248914616,0.001447178,0.001447178,0,0.002894356,0.002894356,0.00723589,0,0.001447178,0,0.095513748,0.001447178,0,0.008683068,0,0,0,0.001447178,0.001447178,0.001447178,0,0.005788712,0,0,0,0,0,0.002894356,0.026049204,0.0723589,0,0,0.001447178,0.024602026,0.001447178,0.001447178,0,0,0.001447178,0,0
2,-41,0.001396648,0,0.00698324,0.002793296,0,0.00698324,0,0.051675978,0.002793296,0.004189944,0.002793296,0,0,0,0,0.002793296,0.009776536,0.005586592,0.008379888,0,0.011173184,0,0.001396648,0.001396648,0.002793296,0,0,0.001396648,0.01396648,0.001396648,0.00698324,0,0,0.004189944,0.020949721,0.015363128,0.280726257,0.002793296,0.001396648,0.248603352,0,0,0.005586592,0,0.011173184,0.005586592,0,0,0,0.108938547,0,0,0.012569832,0,0,0.001396648,0,0,0,0.004189944,0.001396648,0,0,0.001396648,0,0,0.019553073,0.027932961,0.062849162,0,0,0,0.015363128,0,0.001396648,0,0,0,0,0
4,-26,0,0,0.004267425,0.007112376,0,0.008534851,0,0.06401138,0.001422475,0.00284495,0,0,0,0,0,0,0.008534851,0.00284495,0.007112376,0,0.008534851,0,0,0,0.001422475,0,0,0,0.034139403,0.001422475,0.008534851,0.001422475,0.001422475,0.004267425,0.081081081,0,0.300142248,0,0.001422475,0.176386913,0,0.001422475,0,0,0.0056899,0.004267425,0,0,0,0.112375533,0,0,0.011379801,0,0,0,0,0,0,0.00284495,0.004267425,0,0,0,0.001422475,0,0.014224751,0,0.078236131,0,0,0.001422475,0.032716927,0,0.001422475,0,0,0.001422475,0,0
6,-11,0,0,0.004178273,0.005571031,0,0.015320334,0,0.04735376,0.006963788,0.012534819,0.001392758,0,0,0.005571031,0,0.006963788,0.012534819,0.001392758,0.006963788,0,0,0,0,0.001392758,0,0,0,0,0.026462396,0.001392758,0.004178273,0,0,0.005571031,0.019498607,0.004178273,0.298050139,0.002785515,0,0.168523677,0,0,0,0,0.016713092,0.004178273,0,0,0,0.116991643,0,0.002785515,0.015320334,0,0,0,0,0,0.001392758,0.002785515,0.001392758,0,0,0,0,0,0.019498607,0.026462396,0.094707521,0,0,0,0.037604457,0,0,0,0.001392758,0,0,0
8,6,0,0,0.001371742,0.004115226,0,0.010973937,0,0.061728395,0.001371742,0.004115226,0.008230453,0,0,0,0,0,0.012345679,0.004115226,0.021947874,0,0.002743484,0,0,0.001371742,0,0,0,0,0.021947874,0.002743484,0.006858711,0,0,0.002743484,0.031550069,0.002743484,0.286694102,0,0.005486968,0.17558299,0,0.001371742,0.002743484,0,0.010973937,0.004115226,0,0,0,0.108367627,0,0.001371742,0.010973937,0,0,0,0,0,0,0,0.004115226,0.002743484,0,0,0,0,0.008230453,0,0.105624143,0.001371742,0,0.002743484,0.053497942,0,0.008230453,0,0,0,0,0.002743484
10,19,0.001430615,0,0.001430615,0.00286123,0,0.010014306,0,0.070100143,0.001430615,0.011444921,0.005722461,0,0,0.001430615,0,0,0.010014306,0.004291845,0.012875536,0,0.004291845,0,0,0.00286123,0.00286123,0.001430615,0,0,0.031473534,0.001430615,0.011444921,0.00286123,0,0.001430615,0.005722461,0,0.274678112,0,0,0.214592275,0,0,0.001430615,0,0.015736767,0.007153076,0,0,0,0.072961373,0,0,0.018597997,0,0,0,0,0.001430615,0,0.001430615,0.00286123,0.004291845,0,0,0,0,0.011444921,0.018597997,0.077253219,0,0,0,0.071530758,0,0.004291845,0,0,0.001430615,0,0.001430615
12,38,0,0,0,0.008683068,0,0.00723589,0,0.073806078,0,0.008683068,0.001447178,0,0,0,0,0.001447178,0.004341534,0.010130246,0.015918958,0,0.004341534,0,0.001447178,0,0,0,0,0,0.023154848,0,0.005788712,0,0,0.002894356,0.017366136,0.005788712,0.366136035,0.005788712,0,0.1447178,0.001447178,0.001447178,0.001447178,0,0.01447178,0.002894356,0,0.001447178,0,0.088277858,0,0,0.004341534,0.001447178,0,0,0,0,0,0.004341534,0.002894356,0,0,0,0.001447178,0,0.005788712,0.013024602,0.08683068,0,0.001447178,0,0.049204052,0,0.008683068,0,0,0,0,0
14,70,0,0,0.001490313,0.004470939,0,0.002980626,0,0.070044709,0.001490313,0.005961252,0.002980626,0,0,0.002980626,0,0.005961252,0.007451565,0.004470939,0.016393443,0,0.002980626,0,0,0.002980626,0.002980626,0,0,0,0.01490313,0.001490313,0.002980626,0.002980626,0,0.007451565,0.010432191,0.002980626,0.353204173,0.002980626,0,0.195230999,0,0,0,0,0.01490313,0,0,0,0,0.050670641,0,0,0,0,0,0,0,0,0.002980626,0,0.011922504,0,0,0,0,0,0.005961252,0.037257824,0.061102832,0,0,0,0.074515648,0,0.005961252,0,0.002980626,0.001490313,0,0
16,97,0,0.001686341,0.001686341,0.005059022,0,0.008431703,0,0.072512648,0,0.006745363,0.006745363,0.001686341,0,0.003372681,0,0.005059022,0.016863406,0.005059022,0.018549747,0,0.003372681,0.001686341,0,0,0,0,0,0,0.050590219,0,0.003372681,0.006745363,0.001686341,0.003372681,0.047217538,0.008431703,0.345699831,0,0,0.209106239,0,0,0,0,0.018549747,0.003372681,0,0,0,0.028667791,0,0,0.003372681,0,0,0,0,0,0,0,0.005059022,0.001686341,0,0,0.001686341,0,0.003372681,0,0.042158516,0,0.001686341,0,0.047217538,0,0.006745363,0.001686341,0,0,0,0
18,123,0,0,0,0.003552398,0,0.010657194,0,0.069271758,0.001776199,0.007104796,0.003552398,0,0,0,0,0,0.007104796,0.005328597,0.019538188,0,0.003552398,0,0.001776199,0.001776199,0,0,0,0,0.01598579,0.007104796,0.008880995,0.003552398,0,0.001776199,0.023090586,0.007104796,0.381882771,0,0,0.314387211,0,0,0,0,0.026642984,0.005328597,0,0,0,0.005328597,0,0,0.005328597,0,0,0,0,0,0,0,0.007104796,0.003552398,0,0,0,0,0,0.01598579,0.023090586,0,0,0,0.008880995,0,0,0,0,0,0,0
