"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Poaceae.undiff.","Asteraceae.subf..Cichorioideae","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Cerealia","Brassicaceae","Plantago","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Myrica.gale","Pinus.strobus","Rumex.type","Tsuga.canadensis","Picea.undiff.","Acer.rubrum","Acer.spicatum","Carya.ovata","Pinus.banksiana.type","Pinaceae","Larix","Viburnum.nudum","Alnus.viridis.type","Populus.tremuloides.type","Acer.pensylvanicum","Ostrya.Carpinus","Tilia","Amaranthaceae","Populus.balsamifera.type","Sambucus","Rosaceae.undiff.","Pinus.resinosa.type","Viburnum.edule","Fraxinus.pennsylvanica.type","Saxifraga.cernua.type","Juglans.cinerea","Castanea.dentata","Thalictrum","Ilex.Nemopanthus","Potentilla.palustris.type","Liliaceae","Polygonum","Shepherdia.canadensis","Juniperus.type","cf..Oxyria.digyna","Ranunculaceae.undiff.","Viburnum.alnifolium","Caryophyllaceae","Epilobium"
10,139,306,7,40,1,136,5,5,2,4,14,3,6,20,2,7,2,3,3,1,1,3,4,4,2,2,18,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,278,616,30,72,1,231,1,5,6,2,63,0,1,0,23,5,0,1,2,0,0,0,23,2,3,0,22,28,8,65,3,2,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,417,259,5,8,1,128,1,1,5,0,5,0,26,14,4,4,0,1,2,0,0,0,12,2,3,3,23,2,5,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,556,519,11,0,0,271,3,3,12,2,0,0,22,36,19,20,0,0,5,0,0,0,16,6,9,2,33,1,26,14,0,0,2,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,695,380,8,0,0,195,0,2,9,2,1,0,18,16,8,13,0,0,3,0,0,0,23,7,2,4,28,0,19,11,2,0,0,2,1,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1042,735,7,0,1,419,0,4,21,2,2,0,13,31,6,5,0,0,2,0,0,0,22,13,6,1,85,0,77,5,2,1,1,2,0,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1389,575,3,1,0,230,3,1,16,2,1,0,6,33,16,6,0,1,3,0,0,0,40,5,5,2,116,0,66,8,0,0,1,5,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1667,577,8,0,1,314,0,8,13,3,0,0,9,25,5,20,0,0,3,0,0,0,16,8,13,6,62,0,39,4,1,0,1,9,0,5,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1945,868,13,0,1,457,0,5,61,1,0,0,28,24,12,22,0,0,3,0,0,0,30,19,10,5,91,0,73,5,0,0,1,1,0,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2223,845,13,1,1,469,1,28,19,2,1,0,16,28,14,19,0,0,8,0,0,0,43,14,4,7,108,0,12,8,2,0,1,8,1,4,0,2,2,0,1,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
