"sample.depths","sample.ages","Abies","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Corylus","Cupressaceae","Cyperaceae","Elaeagnus","Ephedra","Ericaceae","Fraxinus","Herbs.undiff.","Indeterminable","Juglans","Larix","Lycopodium.type","Myrica","Nuphar","Ostrya.Carpinus","Picea","Pinus","Plantago","Poaceae","Polygonaceae.undiff.","Populus","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Thalictrum","Trees.undiff.","Typha.Sparganium","Ulmus"
0,-1,0,38,5,0,8,0,0,51,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,39,78,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0
10,25,0,49,6,0,16,0,0,44,0,0,3,0,0,0,0,0,6,0,0,0,0,8,0,33,84,0,11,0,4,1,0,0,2,0,0,0,0,0,0,0
20,51,1,32,3,0,20,1,0,62,0,0,3,0,0,0,0,0,3,0,4,0,0,3,0,52,114,0,3,0,2,0,0,0,5,0,0,1,0,0,1,0
40,548,0,23,1,0,20,2,0,66,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,31,121,1,9,0,1,0,1,0,7,1,0,2,1,0,0,1
60,1045,2,46,1,0,22,2,0,67,0,0,4,0,0,0,1,0,1,0,1,0,0,1,0,37,117,0,8,0,2,1,1,0,6,1,0,3,1,0,0,0
80,1542,1,30,2,0,8,2,0,54,1,0,4,0,0,0,1,0,0,0,2,0,1,0,0,57,108,0,6,0,5,0,1,0,4,0,0,1,0,0,0,0
100,2039,4,24,0,1,13,1,0,69,0,0,9,0,0,0,0,0,1,0,1,0,0,1,0,46,104,0,5,0,7,0,0,0,3,0,0,3,1,0,0,0
120,2536,2,26,3,0,12,0,0,22,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,63,146,0,4,0,0,0,0,0,4,0,0,1,0,0,1,0
135,2909,0,43,0,0,14,0,0,38,1,0,4,0,0,0,0,0,2,0,0,0,0,1,0,27,154,0,4,0,0,0,1,0,2,0,1,3,0,0,0,0
145,3158,0,40,0,2,0,1,0,54,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,34,100,0,0,0,4,0,0,0,7,0,1,1,1,0,0,0
155,3406,0,34,4,0,17,0,0,59,4,0,6,0,0,0,0,0,1,0,2,0,0,1,0,50,133,0,9,0,0,1,0,0,1,0,0,0,0,0,0,0
165,3655,1,52,1,0,19,2,0,69,1,0,6,0,0,0,0,1,2,0,0,0,0,0,0,37,76,0,7,0,1,0,0,0,5,0,0,2,0,0,0,0
185,4152,2,39,2,2,23,0,0,43,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,35,138,0,10,0,2,0,0,0,14,0,0,1,1,1,0,0
205,4649,3,40,2,0,13,1,0,43,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,41,133,0,7,0,1,0,1,0,5,0,0,0,0,0,0,0
235,5395,1,44,0,1,17,1,0,83,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,48,0,10,1,0,1,0,0,8,0,0,0,0,0,0,1
245,5643,0,31,1,1,15,1,0,52,0,0,9,0,0,0,0,1,2,0,0,0,0,1,0,24,87,0,13,0,0,0,2,0,1,4,0,0,1,0,0,0
255,5892,0,25,4,2,16,3,0,102,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,53,0,5,0,0,0,0,0,2,0,0,1,0,0,1,0
275,6389,0,69,9,0,38,1,0,100,2,0,0,0,0,0,0,1,1,0,0,0,1,2,0,10,33,0,9,0,0,1,1,0,2,0,0,0,3,1,1,1
295,6886,0,42,9,4,24,3,0,65,1,0,6,0,0,0,0,1,1,0,0,0,0,5,0,11,23,0,17,0,1,0,2,0,11,0,0,0,1,0,1,0
315,7383,0,43,9,3,25,6,0,44,3,0,7,1,0,0,0,0,3,0,0,0,0,1,0,9,36,0,15,0,0,0,0,0,8,0,0,1,0,0,0,0
335,7880,0,31,12,2,47,2,0,59,1,0,7,0,0,0,0,1,2,0,0,0,0,1,0,12,33,0,22,0,0,0,0,0,9,0,1,1,3,0,3,1
355,8377,0,45,23,3,56,2,0,85,1,0,10,0,0,0,0,0,4,0,0,0,0,0,0,12,61,0,21,0,0,1,0,0,8,0,0,0,0,0,1,0
365,8626,1,50,8,4,48,1,0,78,3,0,12,0,0,0,0,0,2,1,0,1,0,0,0,21,79,0,28,0,0,1,0,0,2,1,0,1,1,0,2,0
375,8874,3,14,13,2,41,3,0,63,0,0,14,0,0,0,0,0,3,0,0,1,0,0,0,30,35,0,29,1,0,0,0,1,13,2,4,0,0,0,1,0
385,9123,2,47,24,9,51,1,1,0,2,0,20,0,0,0,0,1,4,0,0,0,0,0,0,19,85,0,45,0,0,0,0,0,5,0,0,0,1,0,3,0
395,9371,1,28,11,1,50,1,0,32,1,0,24,0,0,0,0,0,3,0,0,0,0,0,0,17,84,0,32,0,0,0,1,0,5,1,0,0,1,0,0,1
405,9620,2,40,19,5,45,6,2,47,3,0,34,0,0,0,0,1,9,0,0,1,3,0,0,28,65,0,23,0,0,0,1,0,4,0,2,0,1,0,5,0
415,9868,0,32,26,6,32,6,0,21,0,0,9,0,0,0,0,1,4,0,0,0,0,0,0,17,13,0,56,1,0,1,2,0,11,0,1,1,0,0,0,0
425,10117,1,21,36,6,49,1,1,38,1,0,49,0,1,1,0,1,2,0,0,0,0,0,0,91,50,0,19,0,0,0,0,0,10,0,2,0,1,0,5,0
435,10365,0,7,13,2,43,3,0,37,0,0,14,0,0,0,0,3,2,0,0,0,1,0,0,98,31,0,30,0,1,0,2,0,13,0,0,0,3,0,4,0
445,10614,0,5,20,5,97,5,0,41,5,0,31,0,0,0,0,0,7,0,0,0,0,0,0,54,17,0,39,0,0,0,3,0,15,0,3,1,1,0,13,0
455,10862,0,1,14,1,40,6,0,48,4,4,33,0,0,1,0,11,5,0,0,0,0,0,1,79,17,1,16,0,4,0,0,0,17,0,5,1,4,0,3,0
465,11111,0,0,4,1,24,0,0,28,1,0,4,0,1,0,0,1,3,0,0,1,0,0,0,167,7,0,1,0,1,0,0,0,2,0,4,0,0,0,0,0
475,11359,5,6,5,0,29,4,0,78,1,0,3,0,0,0,0,2,5,0,0,0,0,0,1,141,13,0,4,0,1,0,1,0,17,1,1,0,0,0,1,0
485,11608,1,1,7,7,15,1,0,40,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,160,14,0,2,0,0,0,3,0,3,2,5,0,0,0,4,0
493,11807,0,5,5,1,21,2,0,30,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,172,7,1,3,0,5,1,0,0,14,0,1,0,0,0,5,0
496,11881,1,0,3,1,9,2,0,7,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,208,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
500,11981,1,2,4,1,23,2,0,14,0,0,11,0,0,0,0,2,3,0,0,0,0,0,0,178,9,0,1,0,2,1,0,0,8,0,3,0,0,0,2,1
505,NA,0,0,0,0,5,0,0,6,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,192,5,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
510,NA,1,1,5,4,11,1,0,5,0,0,4,0,0,0,0,3,5,0,0,0,0,0,0,180,16,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0
