"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Juglans","Larix","Nyssa","Ostrya.Carpinus","Picea","Pinus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.undiff.","Cerealia.undiff.","Chenopodiaceae.Amaranthaceae","Cyperaceae","Dicentra","Fabaceae","Galium","Herbs.undiff.","Poaceae.undiff.","Rumex","Zea.mays","Equisetum","Lycopodium","Osmunda","Pteridium","Schizaeaceae","Sphagnum","Menyanthes.trifoliata","Nuphar","Typha.Sparganium","Utricularia","Spore..monolete.","Spore..trilete.","Unknown..monocolpate."
645,9488,0,1,1,7,1,2,0,0,1,6,0,0,0,5,0,115,0,50,1,1,0,7,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
660,9844,0,2,0,7,0,0,0,0,1,4,0,2,0,4,0,145,0,38,0,0,0,7,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
685,10436,1,6,0,14,3,0,1,1,2,8,0,0,0,7,14,167,0,48,0,1,0,21,1,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
700,10792,0,2,1,3,2,2,0,0,1,6,0,4,0,7,0,150,0,28,0,0,0,15,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
715,11147,0,1,0,7,0,1,0,0,0,4,0,2,0,3,4,128,0,31,3,0,0,10,1,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0
720,11433,0,0,1,3,0,0,2,0,0,13,1,4,0,1,15,166,0,14,2,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
730,12005,2,0,0,4,2,0,4,0,1,13,1,1,0,6,34,76,4,7,6,0,0,15,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735,12291,0,0,1,6,0,0,0,0,0,10,2,0,0,4,35,117,0,20,0,0,0,3,1,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
750,12717,2,3,1,3,2,0,0,0,0,9,2,1,0,7,59,94,0,11,0,0,0,2,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
765,12764,0,0,1,4,0,0,0,0,1,6,0,1,0,3,63,87,0,14,3,0,1,2,4,0,18,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
780,12811,0,0,3,4,0,0,0,0,0,1,0,0,0,3,91,78,0,14,1,0,0,1,4,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
795,12858,4,0,2,1,0,0,1,0,0,9,0,5,0,6,184,50,0,7,0,0,0,0,8,0,16,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
810,12905,6,0,2,2,1,0,1,0,0,7,1,1,0,8,72,61,0,14,0,0,0,0,6,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
815,12921,4,0,4,1,0,0,0,0,0,9,0,0,0,3,85,73,0,8,0,0,0,2,2,0,11,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
830,12968,9,1,1,12,0,0,0,0,3,40,0,0,0,8,56,35,0,19,1,0,0,17,11,0,25,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0
845,13015,8,0,1,0,0,1,0,0,0,20,0,0,0,8,93,35,0,4,1,0,0,2,5,0,25,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
860,13062,14,1,0,4,0,0,0,0,0,14,0,0,0,2,90,42,0,11,0,0,0,0,6,0,9,2,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0
875,13109,9,0,0,0,0,0,0,0,0,13,0,0,0,9,93,67,0,4,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
890,13157,10,0,1,0,1,0,0,0,0,10,0,0,0,5,78,69,0,10,2,0,0,1,4,0,4,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0
905,13204,5,0,0,0,1,0,0,0,0,26,1,2,0,1,43,86,2,10,1,0,0,2,5,0,10,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,10,0,0
915,13235,3,0,1,0,0,0,0,0,0,12,0,0,0,3,25,122,2,6,1,0,0,1,2,0,16,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
930,13282,6,0,0,0,0,0,0,0,0,29,0,0,0,0,24,90,0,8,14,0,0,0,6,0,8,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
945,NA,6,0,0,0,0,0,0,0,0,30,0,0,0,7,31,85,4,10,9,0,0,0,6,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0
