"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fraxinus.nigra.type","Poaceae.undiff.","Asteraceae.subf..Cichorioideae","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Cerealia","Abies.balsamea","Corylus.cornuta","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Rumex.type","Picea.undiff.","Fagus","Larix","Populus.balsamifera.type","Carya.ovata","Tsuga.canadensis","Acer.spicatum","Ostrya.Carpinus","Picea.rubens.type","Acer.saccharum","Myrica.gale","Populus.tremuloides.type","Rhamnus.alnifolia.R..frangula","Pinaceae","Amaranthaceae","Potentilla.palustris.type","Ranunculaceae.undiff.","Rosaceae.undiff.","Nemopanthus.mucronatus","Viburnum.nudum","Juglans.nigra","Sambucus","Juglans.cinerea","Cornus.undiff.","Rhus.typhina","Juniperus.communis.Thuja.occidentalis.type","Castanea.dentata","Acer.rubrum","Fraxinus.pennsylvanica.type","Juniperus.type","Cornus.sericea","Caryophyllaceae","Thalictrum","Polygonum.lapathifolium.type","Shepherdia.canadensis","Dryas","Saxifraga.stellaris.type"
10,145,0.0777777777777778,0.0185185185185185,0.0259259259259259,0.00740740740740741,0.288888888888889,0.0111111111111111,0.0518518518518519,0.0037037037037037,0.0666666666666667,0.0037037037037037,0.0148148148148148,0.166666666666667,0.0296296296296296,0.0037037037037037,0.0037037037037037,0.00740740740740741,0.0037037037037037,0.0185185185185185,0.0407407407407407,0.0296296296296296,0.0481481481481481,0.00740740740740741,0.0407407407407407,0.00740740740740741,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,434,0.0333333333333333,0.00701754385964912,0,0.00175438596491228,0.236842105263158,0.00175438596491228,0.0157894736842105,0,0,0,0.0385964912280702,0.207017543859649,0.0526315789473684,0.00526315789473684,0.00175438596491228,0,0.00175438596491228,0.00175438596491228,0.0614035087719298,0.0140350877192982,0.0473684210526316,0.068421052631579,0.156140350877193,0.00175438596491228,0.0333333333333333,0.00350877192982456,0.00350877192982456,0.00175438596491228,0.00175438596491228,0.00175438596491228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,723,0.0280210157618214,0.00350262697022767,0,0.00175131348511384,0.290718038528897,0.00175131348511384,0.00350262697022767,0.00175131348511384,0.00175131348511384,0,0.0122591943957968,0.0560420315236427,0.0297723292469352,0.00525394045534151,0,0,0.00525394045534151,0,0.073555166374781,0.0245183887915937,0.0280210157618214,0.0525394045534151,0.341506129597198,0,0.010507880910683,0.00175131348511384,0.00175131348511384,0,0.00175131348511384,0.00525394045534151,0.00350262697022767,0.00175131348511384,0.00175131348511384,0.00525394045534151,0.00525394045534151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1084,0.0152671755725191,0.00508905852417303,0,0.00254452926208651,0.320610687022901,0.00508905852417303,0.00254452926208651,0.00254452926208651,0,0,0.0483460559796438,0.106870229007634,0.0330788804071247,0.00763358778625954,0,0,0.00254452926208651,0,0.0814249363867685,0.0483460559796438,0.0458015267175573,0.0254452926208651,0.180661577608142,0,0.0279898218829517,0.00254452926208651,0.0101781170483461,0,0,0.0127226463104326,0.00254452926208651,0.00254452926208651,0,0.00254452926208651,0.00254452926208651,0.00254452926208651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1446,0.0138613861386139,0.00396039603960396,0,0.00198019801980198,0.255445544554455,0.0099009900990099,0.00198019801980198,0.00594059405940594,0,0,0.00792079207920792,0.0673267326732673,0.0752475247524752,0,0,0,0.00198019801980198,0,0.0316831683168317,0.0336633663366337,0.0495049504950495,0.19009900990099,0.205940594059406,0,0.0118811881188119,0.00594059405940594,0.00198019801980198,0,0,0.00396039603960396,0.00198019801980198,0.00198019801980198,0,0.0099009900990099,0.00198019801980198,0,0.00198019801980198,0.00198019801980198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1807,0.00319488817891374,0.00319488817891374,0,0,0.217252396166134,0.00638977635782748,0,0.00319488817891374,0,0,0.0191693290734824,0.0990415335463259,0.0447284345047923,0.00638977635782748,0,0,0,0,0.0543130990415335,0,0.0958466453674121,0.0575079872204473,0.354632587859425,0,0.00958466453674121,0.00638977635782748,0.00638977635782748,0,0,0.00319488817891374,0,0.00319488817891374,0,0.00319488817891374,0.00319488817891374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2169,0.0123674911660777,0.00176678445229682,0.00176678445229682,0,0.367491166077739,0.00353356890459364,0.00353356890459364,0,0,0,0.0176678445229682,0.068904593639576,0.0353356890459364,0,0.00176678445229682,0,0.00176678445229682,0,0.0406360424028269,0.0353356890459364,0.058303886925795,0.0600706713780919,0.249116607773852,0,0.0212014134275618,0.00176678445229682,0.00176678445229682,0,0,0.00353356890459364,0,0,0,0.00353356890459364,0.00706713780918728,0,0,0,0.00176678445229682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2530,0.0130151843817787,0,0,0.00216919739696312,0.446854663774403,0.00650759219088937,0.00216919739696312,0.00216919739696312,0,0,0.00216919739696312,0.0824295010845987,0.0824295010845987,0.00433839479392625,0,0,0.00216919739696312,0,0.017353579175705,0.00650759219088937,0.0542299349240781,0.0260303687635575,0.219088937093275,0,0.0260303687635575,0,0.00433839479392625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2892,0.00992063492063492,0,0,0,0.339285714285714,0.00198412698412698,0.00198412698412698,0,0,0,0.00198412698412698,0.0357142857142857,0.130952380952381,0.00793650793650794,0,0.00198412698412698,0,0,0.0257936507936508,0.0218253968253968,0.0158730158730159,0.121031746031746,0.238095238095238,0,0.0119047619047619,0.00396825396825397,0,0,0.00198412698412698,0.00396825396825397,0.00198412698412698,0.00396825396825397,0,0.00793650793650794,0.00396825396825397,0,0,0.00396825396825397,0,0.00198412698412698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,3253,0.0249433106575964,0.0113378684807256,0,0.00226757369614512,0.560090702947846,0.00226757369614512,0,0,0,0,0.00226757369614512,0.0294784580498866,0.0612244897959184,0.00226757369614512,0,0.00226757369614512,0.00226757369614512,0,0.00453514739229025,0.0249433106575964,0.054421768707483,0.0090702947845805,0.172335600907029,0,0.0158730158730159,0,0.00226757369614512,0,0,0,0,0.00453514739229025,0,0.00226757369614512,0.00453514739229025,0,0,0,0,0,0.00226757369614512,0.00226757369614512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,3615,0.013953488372093,0,0,0,0.516279069767442,0,0.00697674418604651,0,0,0,0.0116279069767442,0.0116279069767442,0.0534883720930233,0.0186046511627907,0,0,0.0116279069767442,0,0.0511627906976744,0.0674418604651163,0.0162790697674419,0.00465116279069767,0.148837209302326,0,0.0232558139534884,0.00465116279069767,0.00232558139534884,0,0,0.00232558139534884,0.00232558139534884,0,0,0.00930232558139535,0.00465116279069767,0,0,0,0.00232558139534884,0,0,0.00232558139534884,0.0116279069767442,0.00232558139534884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,3976,0.0241691842900302,0.00302114803625378,0,0,0.444108761329305,0.00302114803625378,0,0,0,0,0,0.054380664652568,0.054380664652568,0,0,0,0,0,0.0362537764350453,0.0120845921450151,0.0483383685800604,0.00604229607250755,0.29607250755287,0,0.00906344410876133,0,0,0,0,0,0,0,0,0.00302114803625378,0.00302114803625378,0,0,0,0,0,0,0,0,0,0.00302114803625378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
