"sample.depths","sample.ages","Artemisia","Epilobium","Picea","Shepherdia.canadensis","Asteraceae.subf..Asteroideae.undiff.","Pinus","Populus","Amaranthaceae","Poaceae","Betula","Elaeagnus","Asteraceae.subf..Cichorioideae","Asteraceae.subtribe.Ambrosiinae","Symphoricarpos.occidentalis","Ranunculaceae.undiff.","Salix","Ulmus","Alnus","Juglans","Rosaceae","Cornus","Corylus","Thalictrum","Lamiaceae","Symphoricarpos.albus","Carya","Fraxinus","Caryophyllaceae","Viburnum","Abies","Onagraceae.undiff.","Tsuga","Ephedra"
265,NA,0.131465517241379,0.0021551724137931,0.575431034482759,0.0301724137931034,0.0193965517241379,0.161637931034483,0.00431034482758621,0.0193965517241379,0.0560344827586207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,NA,0.13,0.01,0.363333333333333,0.0233333333333333,0.0166666666666667,0.13,0.02,0.0833333333333333,0.0333333333333333,0.0166666666666667,0.00333333333333333,0.00666666666666667,0.163333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,NA,0.122489959839357,0,0.265060240963855,0.0180722891566265,0.0180722891566265,0.192771084337349,0,0.100401606425703,0.0783132530120482,0.0180722891566265,0.00602409638554217,0.00200803212851406,0.176706827309237,0.00200803212851406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,NA,0.0983935742971888,0,0.293172690763052,0.072289156626506,0.036144578313253,0.118473895582329,0,0.112449799196787,0.072289156626506,0,0.00401606425702811,0.0100401606425703,0.180722891566265,0,0.00200803212851406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,11998,0.258,0,0.152,0.076,0.022,0.098,0,0.06,0.238,0.022,0.004,0.004,0.016,0.012,0.002,0.022,0.002,0.01,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,12050,0.258,0,0.172,0.028,0.024,0.19,0,0.158,0.104,0.018,0,0.008,0.01,0,0,0.01,0,0.018,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
305,12075,0.352705410821643,0,0.232464929859719,0.0280561122244489,0.0280561122244489,0.11623246492986,0,0.096192384769539,0.0761523046092184,0.0200400801603206,0,0.0100200400801603,0.0200400801603206,0.00601202404809619,0,0.0100200400801603,0,0,0,0,0.00400801603206413,0,0,0,0,0,0,0,0,0,0,0,0
310,12101,0.31062124248497,0,0.140280561122244,0.0240480961923848,0.0460921843687375,0.104208416833667,0.0180360721442886,0.122244488977956,0.122244488977956,0.0140280561122244,0,0,0.0240480961923848,0.00801603206412826,0,0.0180360721442886,0,0.0100200400801603,0.00200400801603206,0,0.00400801603206413,0.0180360721442886,0.00400801603206413,0.00801603206412826,0.00200400801603206,0,0,0,0,0,0,0,0
315,12127,0.202404809619238,0,0.198396793587174,0.0601202404809619,0.0200400801603206,0.102204408817635,0.0200400801603206,0.0501002004008016,0.224448897795591,0.0200400801603206,0.00400801603206413,0,0.0260521042084168,0.00200400801603206,0.00200400801603206,0.0160320641282565,0.00200400801603206,0,0.00200400801603206,0.00200400801603206,0.00601202404809619,0.0160320641282565,0.00200400801603206,0,0,0.00200400801603206,0.0200400801603206,0,0,0,0,0,0
320,12152,0.222444889779559,0,0.0801603206412826,0.0260521042084168,0.0200400801603206,0.0601202404809619,0.0901803607214429,0.0400801603206413,0.3687374749499,0.0200400801603206,0,0,0.0160320641282565,0.00200400801603206,0.0120240480961924,0.030060120240481,0.00200400801603206,0,0,0,0.00400801603206413,0,0.00200400801603206,0.00200400801603206,0,0,0,0.00200400801603206,0,0,0,0,0
325,12178,0.162,0.002,0.08,0.036,0.05,0.09,0.03,0.076,0.368,0.016,0.002,0.002,0.02,0,0,0.03,0,0,0.004,0,0,0,0.008,0.002,0,0,0.02,0,0.002,0,0,0,0
330,12204,0.126666666666667,0,0.386666666666667,0.0833333333333333,0.0166666666666667,0.156666666666667,0.03,0.03,0.116666666666667,0,0,0.00333333333333333,0,0,0,0.02,0,0,0,0.00666666666666667,0,0.0233333333333333,0,0,0,0,0,0,0,0,0,0,0
340,12255,0.168,0,0.376,0.188,0.058,0.078,0,0.02,0.05,0.02,0.002,0.004,0.01,0,0.002,0.02,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0.002,0,0,0
345,12281,0.281578947368421,0,0.307894736842105,0.0394736842105263,0.0236842105263158,0.1,0.0289473684210526,0.0289473684210526,0.0631578947368421,0.0131578947368421,0.00263157894736842,0.00526315789473684,0.0105263157894737,0.00263157894736842,0,0.0421052631578947,0,0.0184210526315789,0.00263157894736842,0.00263157894736842,0,0,0.00263157894736842,0,0,0,0.0184210526315789,0,0.00263157894736842,0,0.00263157894736842,0,0
350,12306,0.216,0,0.428,0.028,0.014,0.048,0.046,0.046,0.076,0.018,0,0,0,0,0,0.046,0,0.01,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0
355,12332,0.1725,0,0.2025,0.045,0,0.09,0.1525,0.035,0.14,0.015,0.0025,0,0.025,0,0,0.065,0,0.03,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0
360,12358,0.122,0,0.304,0.102,0.04,0.102,0.062,0.072,0.072,0.02,0.002,0,0.01,0,0.002,0.05,0,0.01,0.002,0,0,0,0.002,0.002,0,0,0.02,0.002,0,0.002,0,0,0
370,12409,0.098,0,0.458,0.028,0.014,0.056,0.056,0.028,0.108,0.034,0,0,0.01,0,0,0.042,0.006,0.018,0,0.002,0,0.018,0.002,0,0,0,0.018,0,0,0.002,0,0.002,0
380,12460,0.163855421686747,0,0.493975903614458,0.0289156626506024,0.0144578313253012,0.0578313253012048,0.0289156626506024,0.0385542168674699,0.0867469879518072,0.0289156626506024,0,0,0.00963855421686747,0,0,0.0433734939759036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00481927710843374,0,0,0
385,12486,0.126,0,0.448,0.02,0.014,0.086,0.076,0.02,0.082,0.028,0,0,0.01,0,0.002,0.024,0,0.02,0.002,0,0,0.02,0.002,0,0,0,0.02,0,0,0,0,0,0
390,12512,0.126,0,0.456,0.01,0.014,0.058,0.108,0.02,0.088,0.03,0,0,0.01,0,0,0.03,0.002,0.02,0,0.002,0,0,0,0,0,0,0.02,0.002,0,0.004,0,0,0
395,12560,0.183333333333333,0,0.365,0.035,0.015,0.02,0.126666666666667,0.02,0.0616666666666667,0.04,0,0,0.01,0,0,0.0666666666666667,0.00166666666666667,0.02,0.00166666666666667,0.00166666666666667,0,0.01,0,0,0,0,0.02,0,0,0.00166666666666667,0,0,0
400,12608,0.26,0,0.298,0.042,0.012,0.026,0.128,0.026,0.098,0.016,0.002,0.004,0.008,0,0,0.026,0.002,0.018,0.004,0,0,0.008,0.004,0,0,0,0.016,0,0,0.002,0,0,0
405,12656,0.28,0,0.4,0.0875,0.0275,0.0425,0.0175,0.0225,0.075,0,0,0,0.01,0,0,0.0175,0,0,0,0,0,0,0,0,0,0,0.015,0.0025,0,0.0025,0,0,0
410,12704,0.1925,0,0.5225,0.0375,0.015,0.0325,0.03,0.025,0.0575,0.025,0.0025,0,0.01,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
415,12752,0.21,0,0.333333333333333,0.0333333333333333,0,0.06,0.13,0.0166666666666667,0.1,0.0166666666666667,0.00666666666666667,0,0,0,0,0.0466666666666667,0,0.0166666666666667,0,0,0,0.0133333333333333,0,0,0,0,0.0166666666666667,0,0,0,0,0,0
