"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Asteraceae.undiff.","Cyperaceae","Ericaceae","Fagus","Larix","Picea","Platanus","Rubus","Salix","Alnus","Pinus","Poaceae","Onagraceae","Ambrosia.type","Amaranthaceae","Quercus","Fraxinus","Caryophyllaceae"
0,11,257,18,1,44,1,8,1,1,5,141,1,1,1,25,7,1,1,0,0,0,0,0
10,235,241,20,1,45,1,11,3,0,1,131,0,0,1,18,4,4,0,1,0,0,0,0
20,460,279,15,1,34,1,8,1,0,1,181,0,1,0,33,0,3,0,0,0,0,0,0
30,685,270,14,1,29,1,12,2,0,1,183,0,0,1,22,2,1,0,1,0,0,0,0
40,910,316,25,1,23,1,4,2,0,0,228,0,1,0,23,6,1,0,0,1,0,0,0
50,1135,240,19,0,26,1,8,1,1,0,151,0,0,1,21,6,2,2,1,0,0,0,0
60,1359,308,25,1,44,1,6,1,0,0,179,0,0,2,46,2,1,0,0,0,0,0,0
70,1584,313,21,0,41,1,6,3,0,1,162,0,1,1,69,5,1,1,0,0,0,0,0
80,1809,302,29,1,43,1,7,1,0,0,188,0,0,0,28,4,0,0,0,0,0,0,0
100,2258,249,17,1,35,1,2,2,0,0,159,0,0,0,28,1,1,0,0,0,1,1,0
110,2629,273,14,1,37,1,2,4,0,0,158,0,1,1,51,1,2,0,0,0,0,0,0
120,3000,321,33,1,45,1,7,3,0,0,191,0,1,0,35,2,1,0,1,0,0,0,0
130,3371,382,35,1,62,1,6,1,0,0,217,0,1,1,55,1,1,0,0,0,0,0,0
140,3742,370,34,1,59,1,9,1,0,0,178,0,1,1,80,2,2,0,0,1,0,0,0
150,4113,264,27,1,43,1,2,2,0,0,129,0,0,1,55,2,0,0,0,0,0,0,1
160,4484,232,14,0,45,1,9,2,0,0,91,0,1,1,62,4,1,0,0,0,0,0,1
170,4855,218,19,0,27,1,3,1,0,0,123,0,1,1,40,2,0,0,0,0,0,0,0
180,5064,304,16,0,33,1,4,1,0,0,208,0,0,0,39,1,1,0,0,0,0,0,0
200,5161,325,28,0,55,0,2,0,0,0,192,0,0,0,44,4,0,0,0,0,0,0,0
210,5209,217,20,1,28,0,2,1,0,0,128,0,0,1,31,3,1,0,0,0,0,0,1
220,5257,372,13,0,59,2,5,1,0,0,228,0,0,0,62,2,0,0,0,0,0,0,0
230,5305,244,21,0,40,1,5,1,0,0,153,0,0,0,21,2,0,0,0,0,0,0,0
235,NA,259,39,0,62,0,1,1,0,0,112,0,0,0,42,2,0,0,0,0,0,0,0
240,NA,238,44,2,56,0,4,2,0,0,28,0,0,3,96,2,1,0,0,0,0,0,0
245,NA,223,5,1,49,3,12,5,0,0,12,0,0,4,118,7,7,0,0,0,0,0,0
250,NA,260,5,2,80,1,39,17,0,0,16,0,2,16,50,20,11,0,0,0,0,0,1
255,NA,11,0,0,4,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0
