"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.undiff.","Betula","Caryophyllaceae","Cupressaceae","Ericaceae","Larix","Ostrya.Carpinus","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.viridis","Myrica","Amaranthaceae","Pinus.strobus","Spiraea","Tsuga.canadensis","Picea.undiff.","Fraxinus.nigra","Populus.balsamifera","Picea.mariana","Acer.spicatum","Castanea","Cyperaceae","Poaceae","Acer.saccharum","Artemisia","Epilobium","Juglans.cinerea","Pinus.banksiana.type","Potentilla","Fraxinus.americana","Picea.glauca","Alnus.undiff.","Corylus","Rosaceae.undiff.","Alnus.incana","Ambrosia","Fagus","Thalictrum","Apiaceae","Rumex.Oxyria.digyna","Carya","Shepherdia.canadensis","Cornus.sericea","Saxifraga.oppositifolia.type"
681,NA,344,3,1,1,156,1,1,1,2,2,27,24,1,3,3,10,11,1,74,1,2,6,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
691,NA,297,4,0,0,100,0,0,2,5,4,11,34,1,4,2,4,30,0,38,2,0,18,2,4,26,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,NA,288,0,0,0,125,0,4,1,7,1,5,8,3,2,2,6,33,0,19,3,0,22,2,4,25,0,0,2,3,0,1,1,1,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
702,NA,368,0,0,0,118,0,6,0,6,4,15,25,3,2,3,0,53,0,15,0,0,56,3,0,29,0,0,1,6,0,1,0,0,2,0,0,13,6,1,0,0,0,0,0,0,0,0,0,0,0
708,NA,266,2,0,1,77,0,4,3,0,1,8,16,15,3,0,2,62,1,11,2,1,26,2,1,2,0,1,0,16,0,0,0,0,2,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0
716,NA,232,1,0,0,94,0,4,6,1,0,10,4,16,4,0,6,20,0,11,0,1,12,2,1,0,0,0,5,17,0,1,0,0,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0
720,NA,263,0,0,0,127,0,0,10,0,0,17,9,16,3,0,8,23,0,5,0,0,12,1,1,2,0,0,5,10,0,1,0,0,6,0,0,3,1,0,0,2,1,0,0,0,0,0,0,0,0
722,NA,320,0,0,0,169,0,3,17,5,1,22,6,22,3,0,0,10,0,4,0,3,10,1,1,2,0,0,10,11,0,0,1,0,9,0,0,2,2,0,0,3,0,1,1,1,0,0,0,0,0
725,NA,276,0,0,0,150,0,0,7,0,1,28,3,16,2,0,12,17,0,4,0,0,9,0,0,2,0,0,18,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
727,NA,264,1,0,0,142,0,0,7,0,2,18,0,6,4,2,11,10,0,0,0,0,3,0,0,3,0,0,35,9,0,2,1,0,0,0,0,0,2,0,0,0,3,0,2,0,0,1,0,0,0
729,NA,312,0,0,0,152,0,1,3,0,2,30,1,16,5,2,11,14,0,6,0,1,9,0,0,3,0,0,34,12,0,1,0,0,2,0,0,1,1,0,0,3,0,0,0,0,2,0,0,0,0
730,NA,296,0,0,0,158,0,1,5,0,3,33,1,9,3,1,10,15,0,5,0,0,6,2,0,2,0,0,27,5,0,3,0,0,1,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0
734,NA,445,1,0,0,192,0,1,7,0,2,40,1,27,6,0,0,37,0,5,0,0,11,1,0,2,0,0,49,15,1,7,0,0,11,0,0,5,9,0,0,11,2,0,1,0,1,0,0,0,0
738,NA,229,0,0,0,97,0,1,4,0,1,17,2,16,5,2,12,23,0,3,0,0,7,0,0,2,0,0,23,8,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
742,NA,373,0,0,0,158,0,0,6,0,1,28,0,14,6,0,11,54,0,5,0,1,9,0,0,1,0,1,52,15,0,1,1,0,2,0,0,0,0,0,0,2,1,0,1,0,3,0,0,0,0
747,NA,288,1,0,0,112,2,3,3,1,0,19,0,5,7,0,0,49,0,2,0,2,26,0,0,3,0,0,16,13,0,1,1,0,12,0,0,4,0,0,0,3,1,0,0,0,1,0,1,0,0
748,NA,192,0,0,0,50,0,1,7,0,0,16,0,10,3,1,4,54,0,4,0,0,9,0,0,3,0,0,16,11,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
749,NA,218,1,0,0,67,0,1,7,0,1,17,1,9,5,0,3,39,1,1,0,0,22,0,0,3,0,0,19,12,0,1,1,0,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
751,NA,274,0,0,0,53,0,1,4,0,2,22,0,10,10,1,10,61,1,1,0,0,25,0,1,5,0,0,24,29,0,2,0,0,5,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0
753,12535,262,0,0,0,61,0,2,6,0,1,18,3,8,4,0,7,50,0,3,0,0,41,0,0,6,0,0,10,22,0,2,0,0,6,0,0,10,0,0,0,1,1,0,0,0,0,0,0,0,0
754,12576,269,0,0,0,55,0,2,4,0,4,20,5,6,5,0,5,47,0,2,0,0,58,1,0,9,0,0,9,16,0,1,0,0,10,0,0,6,0,0,0,0,0,1,1,0,0,1,0,1,0
756,12659,331,0,0,0,77,1,2,2,0,10,19,7,2,4,0,3,52,0,0,0,1,84,0,7,9,0,0,12,14,0,1,1,0,5,2,0,13,0,0,0,0,0,1,0,0,0,2,0,0,0
758,12742,315,0,0,0,53,0,12,2,0,5,9,11,7,6,1,1,60,0,1,0,0,92,2,3,16,0,0,7,15,0,1,0,0,3,0,1,3,0,0,0,0,1,1,1,0,0,1,0,0,0
760,12824,266,0,0,0,46,0,4,2,0,6,13,11,6,2,0,2,57,0,1,0,0,62,1,8,9,0,0,8,9,0,4,0,0,4,0,1,8,0,0,0,0,0,1,0,0,0,0,0,1,0
762,12907,371,0,0,0,77,0,2,4,0,6,7,12,6,3,0,0,69,0,0,0,0,79,0,2,4,0,0,6,22,0,0,0,0,6,0,0,64,0,0,0,0,0,0,0,0,0,1,1,0,0
772,13322,296,0,0,0,95,0,29,4,0,2,13,4,11,3,0,0,54,0,1,0,0,29,1,5,12,0,0,8,10,0,4,0,0,7,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
782,NA,350,0,0,0,73,0,40,9,0,5,17,6,2,5,0,1,121,0,4,0,0,15,0,11,0,0,0,14,17,0,2,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
794,NA,412,0,0,0,201,0,15,11,5,1,12,10,11,3,0,0,67,0,0,0,0,6,2,9,1,0,0,21,3,0,2,0,0,22,0,0,6,2,0,0,0,1,0,0,1,0,0,0,0,0
804,NA,236,0,0,0,86,0,2,12,0,5,12,5,10,4,0,1,25,0,3,0,1,9,0,7,3,0,0,25,10,1,2,0,0,8,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
812,NA,307,0,0,0,116,0,2,14,0,5,19,9,33,3,1,2,29,0,1,0,0,11,1,7,0,0,0,29,5,0,8,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
820,NA,348,0,0,0,95,0,3,15,0,11,23,4,54,4,0,2,33,1,0,0,0,10,0,6,0,0,0,61,7,0,3,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
832,NA,283,0,0,0,39,0,0,19,0,15,16,22,68,1,1,0,19,0,1,0,0,4,4,1,1,0,0,46,7,0,5,1,0,4,1,0,1,0,0,0,1,3,0,0,2,0,0,1,0,0
840,NA,241,1,0,0,15,1,0,14,0,6,9,12,81,1,3,0,7,0,0,0,0,9,0,0,3,0,0,56,5,0,4,0,0,3,1,0,1,1,0,0,0,0,0,0,3,0,0,4,0,1
852,NA,171,0,0,0,10,0,0,5,0,5,11,3,57,1,1,0,0,0,2,0,0,1,0,1,0,0,0,47,8,0,6,0,0,2,1,0,0,1,0,0,0,0,0,0,1,2,0,6,0,0
