"sample.depths","sample.ages","Acer.negundo","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cyperaceae","Fagus","Fraxinus.undiff.","Poaceae.undiff.","Juglans.cinerea","Juglans.nigra","Ostrya.Carpinus","Picea","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Alnus","Ambrosia","Pinus","Populus","Acer.saccharum","Impatiens","Platanus","Tilia","Apiaceae","Zea.mays","Fraxinus.americana.type","Plantago","Caryophyllaceae","Cupressaceae","Asteraceae.subf..Cichorioideae","Rumex","Shepherdia.canadensis","Xanthium","Brassicaceae","Abies","Corylus","Sarcobatus.vermiculatus","Rosaceae","Fraxinus.nigra","Myrica","Larix","Thalictrum","Acer.rubrum","Celtis","Ranunculus"
1,-22,0.0198675496688742,0.00662251655629139,0.0827814569536424,0.0033112582781457,0.00662251655629139,0.00993377483443709,0.00993377483443709,0.00993377483443709,0.105960264900662,0.00993377483443709,0.0033112582781457,0.00993377483443709,0.00662251655629139,0.231788079470199,0.0298013245033113,0.0033112582781457,0.0165562913907285,0.0264900662251656,0.00993377483443709,0.0132450331125828,0.205298013245033,0.102649006622517,0.0695364238410596,0.00662251655629139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,40,0.0204778156996587,0,0.0716723549488055,0.00341296928327645,0.0136518771331058,0.0136518771331058,0.00341296928327645,0.0136518771331058,0.0716723549488055,0.0136518771331058,0.00341296928327645,0.0102389078498294,0,0.307167235494881,0.0307167235494881,0.0136518771331058,0.0136518771331058,0.0238907849829352,0,0.00341296928327645,0.177474402730375,0.0921501706484642,0.0443686006825939,0.0170648464163823,0.00341296928327645,0.00341296928327645,0.0068259385665529,0.00341296928327645,0.00341296928327645,0.0136518771331058,0.00341296928327645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,109,0.0244648318042813,0,0.0764525993883792,0,0.0244648318042813,0.00611620795107034,0.00305810397553517,0.00305810397553517,0.0611620795107034,0.0122324159021407,0.00305810397553517,0.0244648318042813,0.0152905198776758,0.253822629969419,0.0152905198776758,0.0122324159021407,0.0122324159021407,0.0397553516819572,0,0.0091743119266055,0.256880733944954,0.0428134556574924,0.0214067278287462,0.0244648318042813,0.00305810397553517,0.0091743119266055,0.00305810397553517,0.00305810397553517,0,0.0091743119266055,0.00611620795107034,0.00305810397553517,0.00305810397553517,0.00611620795107034,0.00305810397553517,0.00305810397553517,0.00305810397553517,0.00305810397553517,0,0,0,0,0,0,0,0,0,0,0
30,178,0.00862068965517241,0,0.0804597701149425,0.00574712643678161,0.00862068965517241,0.00862068965517241,0.0028735632183908,0.00862068965517241,0.089080459770115,0,0,0.00862068965517241,0.014367816091954,0.186781609195402,0.00574712643678161,0.0316091954022989,0.0114942528735632,0.0804597701149425,0.0028735632183908,0.0172413793103448,0.270114942528736,0.0775862068965517,0.0201149425287356,0.00862068965517241,0.0028735632183908,0,0,0.0028735632183908,0,0.00862068965517241,0,0,0.0172413793103448,0.00862068965517241,0.00574712643678161,0,0.0028735632183908,0.0028735632183908,0,0,0,0,0,0,0,0,0,0,0
40,247,0.0260303687635575,0,0.0911062906724512,0.0086767895878525,0.0238611713665944,0.00216919739696312,0.00650759219088937,0.00216919739696312,0.106290672451193,0,0,0.00433839479392625,0.00216919739696312,0.156182212581345,0.00216919739696312,0.00650759219088937,0.0108459869848156,0.0607375271149675,0.00216919739696312,0.00216919739696312,0.401301518438178,0.0477223427331887,0.0086767895878525,0.00216919739696312,0.00216919739696312,0.00216919739696312,0.00216919739696312,0,0,0.00216919739696312,0.00216919739696312,0,0,0.0086767895878525,0.00650759219088937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,316,0.00256410256410256,0,0.0179487179487179,0,0.00205128205128205,0.00153846153846154,0.00307692307692308,0,0.806153846153846,0.000512820512820513,0,0.00153846153846154,0.00153846153846154,0.0353846153846154,0.00102564102564103,0.0041025641025641,0.00461538461538462,0.0102564102564103,0,0.00153846153846154,0.0784615384615385,0.0153846153846154,0.00256410256410256,0.00205128205128205,0,0.000512820512820513,0.00102564102564103,0,0.00102564102564103,0,0.00102564102564103,0,0,0.00102564102564103,0.00102564102564103,0,0,0.000512820512820513,0.000512820512820513,0.00102564102564103,0,0,0,0,0,0,0,0,0
60,386,0.00102537810817739,0,0.00743399128428608,0.000256344527044348,0.00281978979748782,0.000512689054088695,0.00153806716226609,0.00128172263522174,0.902845424250192,0.000512689054088695,0,0.00205075621635478,0,0.0158933606767496,0.000769033581133043,0.00281978979748782,0.00128172263522174,0.00461420148679826,0.000256344527044348,0.00333247885157652,0.0364009228402974,0.00666495770315304,0.000256344527044348,0.000769033581133043,0,0.000256344527044348,0.000769033581133043,0,0,0.00179441168931043,0.000512689054088695,0,0,0.00102537810817739,0.00128172263522174,0,0,0,0.000256344527044348,0,0.000256344527044348,0.000512689054088695,0,0,0,0,0,0,0
70,455,0.000504795557799091,0,0.00959111559818274,0,0.0060575466935891,0.00353356890459364,0.00252397778899546,0.00201918223119637,0.842503785966684,0,0,0.00353356890459364,0.00151438667339727,0.0131246845027764,0.00353356890459364,0.0116102978293791,0.00454316002019182,0.0116102978293791,0.00100959111559818,0.00403836446239273,0.0328117112569409,0.0287733467945482,0.00100959111559818,0.00302877334679455,0,0.000504795557799091,0.00100959111559818,0,0.000504795557799091,0.00151438667339727,0.000504795557799091,0,0.00151438667339727,0.00151438667339727,0.00252397778899546,0,0,0.00201918223119637,0.000504795557799091,0,0,0,0.00100959111559818,0,0,0,0,0,0
80,524,0,0.00946372239747634,0.0630914826498423,0.00630914826498423,0.0126182965299685,0.0946372239747634,0.028391167192429,0.00946372239747634,0.129337539432177,0,0,0.00946372239747634,0.00315457413249211,0.1198738170347,0.00630914826498423,0.0536277602523659,0.0126182965299685,0.0252365930599369,0,0.0157728706624606,0.0851735015772871,0.246056782334385,0.00315457413249211,0.0220820189274448,0,0,0.0157728706624606,0,0,0.00946372239747634,0,0,0,0,0.0157728706624606,0,0,0,0.00315457413249211,0,0,0,0,0,0,0,0,0,0
85,558,0.00598802395209581,0,0.0479041916167665,0.00598802395209581,0.0209580838323353,0.0718562874251497,0.0269461077844311,0.00598802395209581,0.170658682634731,0.0029940119760479,0,0.0179640718562874,0.0029940119760479,0.0988023952095808,0,0.0598802395209581,0.0209580838323353,0.0568862275449102,0.0029940119760479,0.00898203592814371,0.0988023952095808,0.230538922155689,0.00598802395209581,0.00598802395209581,0,0,0.00898203592814371,0,0,0.00598802395209581,0,0,0,0.0029940119760479,0.00898203592814371,0,0,0,0.0029940119760479,0,0,0,0,0,0,0,0,0,0
