"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Larix","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Poaceae","Rosaceae","Abies.balsamea","Acer.saccharum","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Polygonaceae","Picea.undiff.","Amaranthaceae","Platanus.occidentalis","Fagus","Asteraceae.subf..Asteroideae.undiff.","Fraxinus.nigra.type","Carya.ovata","Corylus.cornuta","Rhamnus.cathartica","Fraxinus.pennsylvanica.type","Populus.tremuloides.type","Taxus","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Acer.spicatum","Thalictrum","Ulmus","Populus.balsamifera.type","Juniperus.type","Viburnum.edule","Ranunculaceae.undiff.","Papaveraceae"
10,372,482,7,116,4,6,117,14,5,3,1,146,1,3,1,4,1,1,1,7,15,2,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,745,469,9,116,1,3,102,6,10,5,0,129,25,1,2,3,0,1,0,3,16,7,0,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1117,428,7,117,0,0,106,3,9,1,0,104,29,1,3,1,0,2,1,4,13,3,0,21,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1489,446,10,118,0,1,102,7,7,5,0,112,21,5,4,1,0,0,0,5,10,1,0,29,0,0,0,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1861,448,2,121,0,1,76,7,7,7,0,137,19,3,2,6,1,1,0,15,4,2,0,35,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
60,2234,529,8,184,0,2,92,7,4,1,0,145,12,1,4,0,1,1,0,12,4,4,0,39,0,0,0,0,2,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0
70,2606,450,6,181,0,1,58,6,6,2,0,116,14,0,3,4,1,1,0,20,3,1,0,24,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
80,2956,370,4,160,1,0,67,7,9,1,0,70,5,0,4,6,0,1,0,5,6,3,0,18,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,3239,409,3,223,0,1,71,4,4,0,0,57,3,0,2,8,0,1,0,11,1,1,0,17,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100,3521,678,8,312,0,1,123,10,10,2,0,139,2,2,6,8,0,3,0,13,8,1,0,26,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
110,3804,390,2,139,0,0,71,6,1,2,0,117,1,3,4,6,0,3,0,14,6,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,4087,651,9,233,0,3,156,6,16,4,0,138,10,1,4,3,0,7,0,8,6,6,0,35,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
130,4390,740,8,309,1,0,216,8,18,2,1,87,1,0,9,21,0,5,1,11,3,4,0,28,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
140,4751,682,14,304,1,0,169,5,9,5,0,103,0,3,5,10,0,1,0,24,7,1,0,16,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
150,5113,728,10,302,1,3,210,15,2,2,0,115,3,1,7,6,2,1,0,10,4,2,0,28,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
160,5475,611,4,256,3,2,200,13,1,3,0,77,0,0,14,6,0,0,0,10,4,2,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,5836,675,3,257,0,1,315,9,3,3,0,52,1,0,8,4,0,0,0,3,1,2,0,7,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
175,6017,502,1,272,1,0,187,7,3,3,0,11,0,1,2,3,0,0,0,0,1,5,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
180,NA,617,4,395,0,1,167,3,5,1,0,12,1,1,5,0,0,0,0,2,1,2,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
190,NA,580,22,298,1,6,143,5,3,1,0,62,0,0,5,10,0,0,0,4,1,6,0,9,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
