"sample.depths","sample.ages","Abies","Acer.negundo","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Achillea.type","Alnus.incana.type","Alnus.viridis","Amaranthaceae","Ambrosia.type","Amelanchier.type","Apiaceae","Artemisia","Asteraceae.subf..Cichorioideae","Betula","Bidens.type","Botrychium","Caltha.type","Carya","Caryophyllaceae","Castanea","Celtis.Maclura","Cephalanthus","Cirsium.Carduus.type","Cornus.canadensis.type","Cornus.florida","Corylus","Cupressaceae","Cyperaceae","Cystopteris","Dalea","Diphasiastrum.complanatum.type","Dryopteris.type","Equisetum","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Galium","Humulus.Cannabis.sativa","Hypoxis","Ilex","Indeterminable","Isoëtes","Itea","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Lamiaceae","Larix","Liquidambar","Liriodendron","Lycopodiaceae.undiff.","Lycopodiella.inundata","Lycopodium.obscurum","Magnolia","Malvaceae","Menyanthes.trifoliata","Myriophyllum.alterniflorum","Myriophyllum.sibiricum.type","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmunda.cinnamomea.type","Osmunda.regalis.type","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Plantago.lanceolata","Plantago.major","Platanus","Poaceae.undiff.","Polygonum.aviculare.type","Polygonum.hydropiper.type","Polygonum.viviparum","Polypodiaceae","Populus","Potamogeton","Potentilla.type","Prunus","Pteridium","Quercus","Ranunculaceae.undiff.","Rubus","Rumex","Sagittaria","Salix","Sambucus","Sanguisorba.canadensis","Sparganium.type","Sphagnum","Spiraea","Stuckenia","Thalictrum","Tilia","Tsuga","Typha.latifolia..monad.","Typha.latifolia.undiff.","Ulmus","Unknown","Urtica.type","Utricularia","Viburnum.opulus.type","Xanthium","Zea.mays"
95,-24,0,0,0,1,1,1,1,1,3,0,2,97,0,1,1,0,5,5,0,0,23,0,0,0,45,0,0,0,0,2,14,0,0,0,0,0,0,13,3,0,0,0,1,0,8,0,2,0,0,0,4,1,0,0,14,0,0,0,0,0,0,0,0,0,14,0,7,0,0,0,10,1,24.5,0,4,1,0,41,0,1,0,0,6,0,0,0,0,173,0,2,0,2,11,1,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0
100,-3,0,0,0,3,0,1,0,2,1,0,1,73,0,0,0,0,2,1,0,0,17,0,1,0,53,0,0,0,0,1,8,0,0,0,0,0,0,14,9,1,0,0,0,0,9,0,2,0,0,1,3,1,0,0,13,0,0,0,0,0,0,0,0,0,25,0,4,0,0,0,6,0,18,0,3,0,0,47,0,0,0,0,2,1,0,0,0,198,0,8,0,0,15,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0
105,19,0,1,0,1,0,2,1,0,1,0,3,65,0,0,0,0,1,1,0,0,17,0,1,0,43,0,0,0,0,0,10,0,0,0,0,1,0,11,4,2,2,0,0,1,12,0,1,1,0,0,1,1,0,0,18,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,6,0,15,0,0,0,1,36,0,1,0,0,5,1,0,0,0,185,0,8,0,1,13,0,0,0,0,0,0,0,0,1,1,2,6,0,0,0,0,0,0
110,40,0,0,0,4,2,3,0,0,0,0,4,73,0,0,1,0,0,2,0,0,15,0,1,0,33,0,0,0,0,1,8,0,0,0,0,0,1,10,4,0,0,0,0,0,18,0,0,0,0,2,5,2,1,0,14,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,4,2,12.5,0,2,0,0,43,0,0,0,0,3,0,0,0,0,198,0,4,0,3,8,0,0,0,0,0,0,2,0,0,2,1,8,0,1,0,0,0,0
115,62,0,0,0,3,0,2,0,0,2,0,3,75,2,0,0,0,0,3,0,0,16,0,2,0,56,0,0,0,0,1,9,0,0,0,0,0,0,12,5,1,0,0,0,0,13,0,1,1,0,1,3,2,0,0,13,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,3,0,20,0,1,0,1,46,0,0,0,0,3,0,0,0,0,192,0,4,0,2,10,0,0,0,0,0,0,1,0,1,0,2,10,0,0,0,0,0,0
120,83,0,0,0,3,0,1,0,1,2,0,1,80,4,0,0,0,0,3,0,0,18,0,4,0,76,0,0,0,0,2,11,0,0,0,0,0,0,16,7,1,0,0,0,0,11,0,3,1,0,1,1,1,0,0,12,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,3,0,21,0,0,1,2,46,0,0,0,0,3,1,0,0,0,180,0,9,0,1,11,0,0,0,0,0,0,1,0,1,0,3,11,1,0,0,0,0,1
125,105,0,0,0,2,0,3,0,0,0,0,2,65,0,0,0,0,3,4,0,0,22,0,10,0,65,0,0,0,0,1,17,0,0,0,0,0,0,12,3,0,0,0,0,0,5,0,2,0,0,0,2,2,0,0,10,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,2,10.5,0,0,0,0,30,0,1,0,0,2,0,0,0,0,186,0,14,0,0,16,0,0,2,0,0,1,0,0,0,0,0,15,1,0,0,0,0,0
130,126,0,0,0,2,0,2,0,0,2,0,2,48,0,0,0,0,4,3,0,0,21,0,9,0,80,0,0,0,0,1,16,0,0,0,0,0,1,10,3,0,0,0,0,0,8,0,3,0,0,0,2,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,11,0,1,0,0,33,0,1,0,0,3,0,0,0,0,190,0,8,0,1,17,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0
135,191,0,1,0,3,0,1,0,0,4,0,2,34,0,1,0,0,0,2,1,0,17,0,7,0,99,0,0,0,1,0,16,0,0,0,0,0,1,8,2,0,0,0,0,0,6,0,5,1,1,1,2,3,0,0,7,1,0,0,0,2,0,1,0,0,0,0,9,0,0,0,4,0,11,0,1,0,0,35,0,3,0,1,3,1,0,0,0,206,0,7,0,1,14,0,0,0,0,1,0,0,1,0,0,1,6,1,0,0,0,0,0
140,320,0,0,0,3,0,2,0,0,3,0,0,7,0,1,0,0,2,3,0,0,21,0,5,0,115,0,0,1,1,0,27,0,1,0,0,1,1,20,3,2,0,0,0,0,8,0,4,0,0,2,2,1,1,0,9,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7,2.5,13.5,0,0,0,0,51,0,3,0,0,6,0,0,0,0,172,0,11,0,0,18,0,0,0,0,1,1,2,0,0,0,0,8,2,0,0,0,0,0
