"sample.depths","sample.ages","upland.sum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Fagus","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Juglans.cinerea","Larix","Asteraceae.subf..Cichorioideae","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Ulmus","Juniperus.type","Amaranthaceae","Cerealia","Plantago","Abies.balsamea","Acer.saccharum","Carya.ovata","Castanea.dentata","Corylus.cornuta","Myrica.gale","Nemopanthus.mucronatus","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Acer.pensylvanicum","Fraxinus.nigra.type","Ostrya.Carpinus","Tilia","Acer.spicatum","Ericaceae","Lonicera.canadensis","Ilex.Nemopanthus.undiff.","Thalictrum","Apiaceae","Rhamnus.alnifolia.R..frangula","Brassicaceae","Asteraceae.subf..Asteroideae.undiff.","Ilex","Taxus","Viburnum.lentago","Rosaceae","Populus.balsamifera.type","Sambucus","Caryophyllaceae","Populus.deltoides.type","Saxifraga.cernua.type","Caprifoliaceae.undiff.","Shepherdia.canadensis","Liliaceae","cf..Oxyria.digyna","Oxytropis.maydelliana.type","Polygonum.viviparum","Saxifraga.oppositifolia.type","Celtis.occidentalis"
10,157,454,1,11,3,5,1,199,2,13,2,13,1,2,2,9,36,12,1,7,1,2,1,1,5,1,23,10,1,1,6,1,2,5,2,27,13,2,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,314,409,4,8,0,1,1,184,3,19,2,2,1,2,0,7,46,2,0,6,0,4,0,1,0,0,28,9,0,0,8,7,0,0,0,29,3,0,16,8,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,706,743,0,12,0,0,0,331,1,42,0,2,2,3,0,1,73,22,1,13,0,7,1,0,0,0,43,19,0,0,5,2,0,9,3,72,0,0,51,14,1,6,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1098,627,0,5,0,0,1,309,1,36,6,1,0,2,0,1,37,13,0,14,0,2,0,0,0,0,36,14,1,0,28,1,0,1,0,63,0,0,41,9,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1490,675,1,9,1,0,0,345,4,24,1,1,0,2,0,0,38,15,0,12,0,3,0,0,0,0,40,12,1,1,1,0,1,7,0,92,0,0,51,6,0,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1882,441,2,8,0,0,0,217,2,37,1,0,0,1,0,1,14,7,1,9,0,4,0,1,0,0,17,6,0,0,11,9,0,0,0,56,0,0,22,2,0,9,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2274,558,2,15,2,0,0,290,2,31,2,0,0,6,0,0,10,20,0,16,0,2,0,1,0,0,16,7,0,1,2,0,0,3,1,89,0,0,22,4,0,7,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,2666,508,3,6,2,0,0,225,6,46,4,0,2,4,0,1,14,17,0,9,0,3,3,0,0,0,16,17,0,0,20,0,0,1,4,75,0,0,23,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,3058,568,2,9,0,0,0,217,7,37,2,1,1,5,0,0,20,13,0,6,0,5,4,0,0,0,12,30,0,0,2,0,0,1,0,157,0,0,23,3,0,4,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,3450,457,3,7,0,0,1,245,1,23,0,0,0,0,0,8,5,11,2,7,0,7,0,0,0,0,15,12,1,0,9,7,0,1,0,66,0,0,16,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,3842,536,2,11,1,0,0,159,4,29,0,1,0,5,0,0,30,11,0,7,0,4,0,0,0,0,22,10,1,0,4,0,0,6,0,193,0,0,20,4,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
