"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Dryas","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Liliaceae","Lonicera.caerulea","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Nemopanthus.mucronatus","Nuphar","Nymphaeaceae.undiff.","Onagraceae","Osmunda.cinnamomea","Osmunda.undiff.","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinaceae","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Populus.balsamifera.type","Populus.deltoides.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Quercus","Rosaceae.undiff.","Rumex.type.undiff.","Rumex.acetosa.type","Salix","Saxifraga.oppositifolia.type","Selaginella","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..alete.","Unknown..monolete.","Unknown..trilete.","Viburnum.edule","Viburnum.undiff."
5,162,1,0,2,0,3,0,0,4,7,0,0,1,0,253,0,0,2,0,0,2,1,0,0,0,22,0,2,0,0,8,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,7,1,4,3,1,3,0,18,128,0,0,0,0,0,2,0,20,0,0,0,0,0,0,0,1,0,0,1,54,0,0,5,3,0,1,0,0,0
25,811,8,0,0,0,22,0,0,5,9,0,0,0,0,547,0,0,1,0,0,3,4,0,0,0,56,8,0,1,0,11,1,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,4,0,6,5,1,5,0,29,30,0,0,0,1,0,0,0,35,0,0,0,1,0,0,0,1,0,0,1,88,0,0,9,2,0,2,4,0,0
50,1623,9,2,0,0,17,0,0,20,5,1,4,2,0,582,0,0,1,0,2,9,3,0,0,2,56,11,3,2,0,34,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,1,5,10,7,1,0,26,19,0,1,0,0,2,0,0,41,0,0,0,0,0,0,0,1,0,0,2,98,0,0,12,6,0,5,0,0,0
75,2434,8,0,2,0,13,0,0,6,1,0,1,0,1,452,0,0,0,0,1,2,1,0,0,0,42,2,0,3,0,23,1,2,0,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,4,0,13,3,4,1,0,35,20,0,2,0,0,3,0,0,14,0,0,0,0,0,0,0,5,0,0,1,77,0,0,6,1,0,4,0,0,1
100,3246,2,0,1,0,8,0,0,5,3,0,0,0,0,365,0,0,1,0,0,6,1,0,0,0,44,1,1,1,0,28,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,10,1,1,4,2,1,0,27,27,0,0,0,0,1,0,0,18,0,0,0,1,0,0,0,1,0,0,0,56,0,0,9,1,0,4,0,0,0
125,4057,7,0,0,0,17,1,1,10,3,0,0,0,0,425,0,0,1,0,2,5,2,0,0,0,37,5,7,2,0,32,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,5,2,0,15,34,0,1,0,0,1,0,0,33,0,0,0,3,0,0,0,2,0,0,1,26,0,1,11,3,0,2,0,0,1
140,4444,4,0,2,0,14,0,0,5,4,1,0,2,3,678,0,0,0,0,0,3,9,0,0,4,50,8,2,2,0,3,0,3,1,1,0,3,0,0,0,0,0,0,1,1,0,0,0,1,6,1,4,3,0,0,0,65,49,0,1,0,0,0,0,0,27,0,0,0,0,1,0,0,2,1,0,1,18,0,0,12,0,0,1,0,0,0
150,4567,3,0,1,0,17,1,0,15,1,0,1,1,0,423,0,0,0,0,0,0,2,0,0,0,29,5,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,1,0,0,0,41,31,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,4,1,0,1,26,0,0,9,0,0,4,0,0,0
160,4969,1,0,2,0,16,2,0,10,1,1,2,0,0,470,0,0,0,0,2,1,9,0,0,0,24,4,2,0,1,1,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,6,0,0,0,41,21,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0,4,0,0,0,52,0,0,10,2,0,6,0,0,0
175,5573,2,0,0,0,12,0,0,3,10,2,1,0,0,517,0,0,0,0,0,3,0,0,0,0,21,4,1,2,0,6,0,2,0,0,0,5,0,0,0,0,0,0,1,0,8,0,0,0,2,0,1,1,1,4,0,51,35,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,1,0,0,1,136,0,0,20,4,0,0,0,0,0
200,6578,3,0,0,0,4,0,0,1,0,0,1,0,0,230,0,0,1,1,0,4,1,0,0,0,6,5,0,0,1,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,2,1,2,0,25,21,0,0,2,0,1,0,0,17,1,0,0,0,0,0,0,0,0,0,0,80,0,0,5,0,0,3,0,0,0
225,7584,2,0,4,0,18,0,0,10,6,1,1,2,0,394,0,0,2,0,0,2,3,0,0,1,17,13,5,1,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,139,75,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,3,1,0,1,99,0,0,34,2,0,6,0,0,0
240,8064,2,0,2,0,22,0,0,3,6,0,1,0,0,147,0,0,0,0,0,3,1,0,0,0,5,10,3,0,0,1,0,3,0,0,3,5,0,0,1,0,0,1,0,0,0,0,0,1,6,0,3,1,0,0,0,172,85,0,0,0,0,0,0,0,52,0,2,0,0,0,0,0,1,1,0,0,42,0,0,10,2,0,7,3,0,0
250,8220,5,0,2,0,19,0,0,9,0,0,2,0,0,152,0,0,0,1,0,1,0,0,0,0,7,9,1,2,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,3,199,80,0,1,0,0,0,0,3,67,1,0,0,1,0,0,0,0,3,0,0,31,0,0,15,2,0,1,3,0,0
265,8455,6,0,2,0,14,0,0,3,1,0,1,0,1,108,0,0,0,0,0,1,1,0,0,0,4,2,1,0,0,3,0,0,0,0,2,3,0,0,0,1,0,1,0,0,0,0,1,0,1,0,7,5,0,2,0,203,75,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,2,2,0,0,28,0,0,16,2,0,3,1,0,0
275,8611,1,1,0,0,11,0,0,9,8,1,2,1,0,127,0,0,0,0,0,3,1,1,0,0,3,7,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,3,0,3,7,0,0,0,169,80,0,3,0,0,1,0,0,50,0,0,0,0,0,0,0,3,0,0,0,2,0,0,15,1,0,3,0,0,0
285,8767,6,0,0,0,9,0,0,11,7,0,1,0,1,194,0,1,1,0,1,0,1,0,0,1,4,6,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,17,6,0,0,0,187,73,0,1,0,0,0,0,0,45,0,0,0,1,0,0,0,3,1,0,0,16,0,0,17,3,0,5,0,0,0
300,9001,9,0,1,0,9,0,0,2,5,0,0,1,0,156,0,0,0,0,0,2,1,0,0,0,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,21,8,0,0,1,165,73,0,0,0,0,1,0,2,51,0,0,0,0,0,0,0,0,3,0,0,5,0,0,6,4,0,2,0,0,0
310,9158,14,0,0,0,9,0,0,6,4,0,0,0,0,163,0,0,0,0,1,3,2,0,0,0,1,5,1,0,0,1,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,13,3,0,0,0,200,71,0,0,0,0,1,0,8,39,0,0,0,0,0,0,0,2,0,0,0,7,0,0,6,1,0,1,0,0,0
325,9392,9,0,1,0,10,1,0,1,6,0,0,2,0,153,0,0,0,0,0,1,1,1,0,0,1,4,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,9,2,0,0,0,159,85,0,0,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,1,0,0,0,0,0
350,9783,15,0,0,0,10,0,0,5,4,0,1,0,0,250,0,0,1,0,1,2,2,0,0,0,6,7,0,1,0,11,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,16,4,3,2,0,157,64,0,0,1,0,3,0,0,25,0,0,0,0,0,0,0,1,0,0,0,4,0,0,10,0,0,2,0,0,0
375,10242,20,0,0,0,9,1,0,2,22,2,2,4,1,305,0,0,0,0,1,4,5,1,0,1,2,11,2,0,0,4,0,0,0,0,5,7,0,1,2,0,0,9,0,0,0,0,0,0,2,0,38,14,0,1,0,184,78,0,5,0,0,1,0,1,71,0,0,0,5,0,0,0,0,4,0,1,7,0,0,13,2,0,4,4,0,0
400,10979,22,0,0,0,1,0,0,1,10,0,2,0,0,256,0,0,1,1,0,12,3,0,0,0,3,1,1,0,0,5,0,1,0,0,0,7,0,0,0,1,0,5,0,0,0,0,0,0,6,8,15,6,5,4,0,22,102,0,0,0,0,2,3,0,33,0,0,0,0,0,0,0,1,0,0,0,3,0,1,2,1,0,1,0,0,0
425,11894,19,0,0,1,1,3,0,1,11,0,3,4,4,180,1,0,2,0,1,2,13,0,0,0,2,3,0,0,0,2,0,0,0,0,0,5,0,0,0,4,0,7,0,0,0,0,0,0,6,0,39,16,0,0,0,82,38,0,2,0,0,2,0,1,44,0,0,0,1,0,0,0,0,0,0,0,1,2,0,4,2,0,8,0,0,0
440,12443,8,0,0,0,4,2,0,0,18,0,0,2,0,141,0,0,0,0,0,1,11,0,0,0,4,2,0,1,0,3,0,0,0,0,1,4,0,0,0,3,0,6,0,0,0,0,0,0,1,21,58,41,0,0,0,112,36,0,1,0,0,1,0,1,43,2,0,0,3,0,0,0,1,2,0,0,5,0,2,8,5,0,13,5,0,0
450,12809,2,0,1,0,0,0,0,1,8,0,2,1,2,79,0,0,0,0,0,1,9,0,0,1,1,1,0,1,0,26,0,0,0,0,0,2,0,0,1,2,0,6,0,0,0,0,0,0,4,9,98,38,6,9,0,15,36,0,2,0,1,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7,1,0,0
