"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Arceuthobium","Betula","Carya","Castanea","Cephalanthus","Corylus","Cupressaceae","Elaeagnus","Ericaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Juglans.cinerea","Juglans.nigra","Larix","Myrica","Ostrya","Picea","Pinus","Platanus","Populus","Quercus","Salix","Taxus","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Chenopodiineae","Cyperaceae","Dalea.candida","Fabaceae.undiff.","Iva.annua.type","Iva.xanthifolia","Lamiaceae","Onagraceae","Poaceae","Rumex","Thalictrum","Botrychium","Dryopteris.type","Equisetum","Lycopodium","Pteridium","Sphagnum","Isoëtes","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Sparganium.type","Typha.latifolia","Indeterminable","Unknown"
0,-23,5,0,16,10,0,108,1,0,0,1,0,0,1,10,1,2,0,0,1,0,3,13,110,6,2,12,2,0,0,33,7,0,37,0,7,3,0,1,0,0,0,0,0,2,0,9,3,0,0,6,0,0,1,0,0,0,0,2,0,0,0,10,0
12,313,3,0,15,8,0,101,0,0,0,2,2,0,0,7,5,3,0,0,1,1,5,17,99,2,0,14,0,0,2,39,6,0,7,0,1,4,0,0,2,0,0,0,0,1,0,3,2,1,0,7,0,7,3,0,0,1,0,0,0,0,1,16,0
20,536,8,1,10,3,0,127,1,0,1,4,0,0,0,15,2,6,0,0,0,0,3,10,70,1,5,13,3,0,0,53,13,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,3,0,0,2,0,0,0,0,0,5,1
30,816,2,0,15,2,0,113,0,0,0,3,1,0,0,18,1,4,3,0,3,0,4,0,60,0,0,13,0,0,0,56,19,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,8,1
40,1096,1,0,11,6,0,86,0,0,0,3,3,0,0,45,4,1,0,0,0,0,6,18,43,0,6,10,5,0,0,89,7,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,9,0
60,1655,0,3,22,2,0,93,0,0,0,0,0,0,0,31,0,0,0,0,1,0,3,10,71,0,1,18,1,0,5,85,10,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,10,1
80,2214,4,0,19,6,0,112,0,0,0,2,0,0,0,25,0,1,0,0,1,0,2,12,55,0,2,14,1,0,2,46,13,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,1
100,2774,4,0,21,6,0,89,0,0,0,0,3,0,0,18,5,1,0,0,0,0,0,5,61,2,4,9,1,0,0,61,13,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,5,0
120,3333,10,4,18,3,0,90,1,0,0,6,1,0,0,20,0,2,0,0,2,0,5,15,80,0,1,7,1,0,0,36,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,0,2,0,0,0,0,0,8,2
130,3612,3,3,12,9,0,132,1,0,0,0,4,0,0,32,0,4,0,0,0,0,7,3,135,1,0,9,0,0,0,22,16,0,1,0,6,0,0,0,1,0,0,0,0,0,0,4,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,8,3
140,3892,2,1,19,9,0,99,2,0,0,0,0,0,0,17,1,3,1,0,0,0,6,21,105,0,0,9,2,0,1,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0
160,4451,7,2,10,3,0,90,1,0,0,0,6,0,0,16,0,2,0,0,1,0,2,6,124,0,1,27,0,0,2,10,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,8,1
180,5011,5,0,12,3,0,204,1,1,0,2,4,0,0,6,1,3,0,0,2,0,5,4,112,2,0,44,3,0,0,26,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
190,5169,0,0,9,10,0,126,0,1,0,1,0,0,0,5,0,1,0,0,1,1,4,5,140,2,0,24,4,0,0,62,11,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,3,5,0
200,5328,3,0,8,5,0,115,0,0,0,0,0,0,0,5,1,2,0,0,0,0,4,14,134,3,1,32,2,0,0,64,2,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,2
