"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae.undiff.","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva.annua.type","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Stellaria","Thalictrum","Urtica","Zea"
0.5,-43,607,0,10,5,2,4,0,1,222,3,21,0,0,0,0,2,3,41,10,0,1,8,0,1,3,1,0,5,0,4,10,8,14,35,1,0,96,0,0,0,0,0,41,6,0,19,0,1,0,0,0,1,1,0,0,0,0,1,15,0,0,0,2,9,0,0,0,0
2.5,-28,593,1,9,4,0,9,0,0,223,3,38,0,0,0,0,1,2,50,12,3,1,3,0,0,0,0,0,8,0,1,1,2,17,45,3,0,71,0,1,0,0,0,52,2,0,12,0,0,0,0,0,0,1,0,0,0,0,1,8,0,0,0,1,8,0,0,0,0
4.5,-12,589,2,10,10,1,8,0,3,196,4,40,0,0,0,2,3,2,44,6,3,3,5,3,1,2,0,0,3,0,3,3,5,23,33,0,0,82,0,0,0,0,0,38,1,0,23,0,0,1,0,0,1,2,0,0,0,0,1,14,0,0,0,1,7,0,0,0,0
6.5,3,603,1,13,6,0,2,0,2,192,3,25,0,0,0,0,1,2,62,9,0,3,5,0,0,3,0,0,4,0,5,2,6,28,34,2,0,85,0,0,0,0,0,47,3,0,24,0,1,2,0,0,1,0,0,0,0,0,0,19,0,0,0,1,10,0,0,0,0
8.5,18,609,0,8,6,0,2,0,0,212,5,49,0,0,0,0,4,0,64,5,1,0,2,3,0,1,0,0,7,0,1,3,5,12,37,2,0,57,0,2,0,0,0,59,4,0,25,0,1,1,0,0,0,1,0,0,0,0,0,17,0,0,0,0,12,0,0,0,1
10.5,34,569,0,6,8,2,4,0,0,206,3,38,0,0,0,1,3,2,54,4,0,2,6,2,0,1,0,0,4,0,3,5,6,16,32,1,1,58,0,1,0,0,0,46,4,1,22,0,0,2,0,0,2,1,0,0,0,0,0,10,0,0,0,1,10,0,0,0,1
12.5,49,576,1,6,13,0,3,0,0,200,4,41,0,0,0,0,6,1,58,6,0,1,8,2,0,1,0,0,7,0,2,4,3,17,37,2,0,70,0,2,0,0,0,32,7,1,17,0,0,1,0,0,1,0,0,0,0,0,0,8,0,0,0,3,11,0,0,0,0
14.5,65,639,0,8,4,1,3,0,1,229,4,50,0,0,0,0,4,1,57,6,0,2,1,0,0,0,0,0,10,0,4,4,1,15,35,2,0,78,0,0,0,0,1,36,10,0,22,0,0,2,0,0,2,1,0,0,0,0,1,29,0,0,0,0,15,0,0,0,0
16.5,80,657,0,5,7,2,4,0,0,222,4,90,0,0,0,2,3,1,43,4,2,1,3,3,0,1,0,0,9,0,1,3,2,7,57,3,0,57,0,0,0,0,0,36,9,0,28,0,0,2,0,0,1,0,0,0,0,0,2,21,0,0,0,1,21,0,0,0,0
18.5,95,662,0,9,9,2,3,0,0,179,3,82,0,0,0,1,5,1,54,4,0,3,9,1,0,1,0,0,24,0,2,5,1,14,54,0,0,64,0,2,0,0,1,53,3,0,26,0,0,1,0,0,0,1,0,0,0,0,0,21,0,0,0,1,23,0,0,0,0
20.5,111,595,1,7,4,0,4,0,0,145,3,88,0,0,0,1,6,1,61,4,1,5,3,1,1,1,0,0,16,1,2,5,2,8,55,1,1,52,0,1,0,0,1,42,7,1,21,1,0,0,1,0,0,2,0,1,0,0,1,20,0,0,0,1,15,0,0,0,0
22.5,126,614,0,8,4,0,1,0,0,189,6,90,0,0,0,0,1,2,34,3,2,2,1,0,0,0,0,0,6,0,3,3,4,20,41,0,0,73,0,1,0,0,0,39,4,1,27,0,0,0,0,0,0,3,0,0,0,0,0,23,1,0,0,0,21,0,0,0,1
24.5,142,621,1,3,1,0,4,0,0,149,2,102,0,0,0,1,0,1,54,9,2,2,4,0,0,1,0,0,5,0,1,7,4,7,57,2,0,63,0,0,0,0,1,63,8,1,19,0,0,3,0,0,2,1,0,0,0,0,0,27,0,0,0,3,10,0,0,0,1
26.5,157,605,1,4,6,1,5,0,0,163,1,99,0,1,0,1,3,4,45,3,2,0,4,3,0,1,0,0,5,0,1,5,1,7,56,3,0,62,0,0,0,0,0,46,2,0,17,0,0,1,0,0,1,1,0,0,1,0,0,25,0,0,0,0,23,0,0,0,1
28.5,172,605,0,7,7,1,2,0,1,139,4,68,0,0,0,0,2,2,56,7,2,1,5,2,0,1,0,0,9,0,3,5,2,21,69,1,0,68,0,1,0,0,1,60,5,0,14,0,0,1,0,0,0,1,0,0,1,0,0,11,0,0,0,1,22,0,0,0,2
30.5,187,611,0,4,7,1,6,0,0,151,6,79,0,1,0,0,3,3,79,3,2,0,3,1,0,1,0,0,7,0,4,3,2,24,57,2,0,69,0,0,0,0,1,45,1,0,7,0,1,1,0,0,0,1,0,0,0,0,1,14,0,0,0,2,19,0,0,0,0
32.5,202,552,0,4,5,1,2,0,1,171,1,60,0,0,0,0,1,1,61,7,1,1,6,2,1,0,0,0,5,0,3,2,2,19,41,2,0,71,0,1,0,0,0,56,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,7,0,0,0,0
34.5,266,575,0,3,5,1,2,0,2,166,4,49,0,0,0,0,1,0,51,2,2,0,7,0,0,0,0,0,12,0,5,4,7,28,52,1,0,75,0,0,0,0,0,76,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,7,0,1,0,0
