"sample.depths","sample.ages","Abies","Ambrosia.type","Aquifoliaceae","Betula","Cyperaceae","Ericaceae","Fagus","Asteraceae.subf..Cichorioideae","Picea","Quercus","Rumex","Alnus","Acer","Fraxinus","Pinus","Poaceae","Rosaceae","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Myrica","Ulmus","Salix","Herbs.undiff.","Juglans","Thalictrum","Amaranthaceae","Carya","Artemisia","Shepherdia"
0,0,0.0208333333333333,0.0208333333333333,0.0104166666666667,0.427083333333333,0.0208333333333333,0.0104166666666667,0.0104166666666667,0.0104166666666667,0.104166666666667,0.0416666666666667,0.0104166666666667,0.1875,0.0208333333333333,0.0104166666666667,0.0416666666666667,0.0416666666666667,0.0104166666666667,0,0,0,0,0,0,0,0,0,0,0,0
10,303,0.0306122448979592,0,0.0102040816326531,0.397959183673469,0.0102040816326531,0.0102040816326531,0.0204081632653061,0,0.13265306122449,0.0204081632653061,0,0.163265306122449,0.0204081632653061,0,0.0918367346938776,0.0102040816326531,0,0.0612244897959184,0.0102040816326531,0.0102040816326531,0,0,0,0,0,0,0,0,0
20,507,0.0202020202020202,0,0.0202020202020202,0.484848484848485,0.0202020202020202,0.0202020202020202,0.0303030303030303,0,0.121212121212121,0.0202020202020202,0,0.0808080808080808,0,0,0.0707070707070707,0.0101010101010101,0,0.0606060606060606,0.0101010101010101,0.0202020202020202,0.0101010101010101,0,0,0,0,0,0,0,0
30,710,0.02,0,0,0.52,0.02,0.02,0.01,0,0.11,0.02,0,0.07,0.02,0,0.09,0.01,0.01,0.07,0,0,0.01,0,0,0,0,0,0,0,0
40,914,0.01,0,0.01,0.47,0.03,0.04,0.03,0,0.13,0.01,0,0.05,0.01,0.01,0.13,0,0,0.06,0,0,0.01,0,0,0,0,0,0,0,0
100,2138,0,0,0.0208333333333333,0.552083333333333,0.0208333333333333,0.0104166666666667,0,0,0.0729166666666667,0.0208333333333333,0.0104166666666667,0.0729166666666667,0.03125,0.0104166666666667,0.104166666666667,0,0,0.0625,0,0,0.0104166666666667,0,0,0,0,0,0,0,0
110,2342,0.0204081632653061,0,0.0102040816326531,0.510204081632653,0.0102040816326531,0,0.0306122448979592,0,0.0918367346938776,0.0204081632653061,0,0.102040816326531,0.0102040816326531,0,0.122448979591837,0.0102040816326531,0.0102040816326531,0.0408163265306122,0,0,0,0.0102040816326531,0,0,0,0,0,0,0
120,2546,0.0505050505050505,0,0.0101010101010101,0.484848484848485,0.0202020202020202,0,0.0303030303030303,0,0.0606060606060606,0.0505050505050505,0,0.0505050505050505,0.0202020202020202,0.0101010101010101,0.131313131313131,0,0.0101010101010101,0.0505050505050505,0,0,0.0101010101010101,0,0.0101010101010101,0,0,0,0,0,0
130,2750,0.0202020202020202,0,0.0101010101010101,0.555555555555556,0.0101010101010101,0.0202020202020202,0.0101010101010101,0,0.101010101010101,0.0202020202020202,0,0.0606060606060606,0.0202020202020202,0,0.131313131313131,0.0101010101010101,0,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0
140,2954,0.0102040816326531,0,0.0102040816326531,0.479591836734694,0.0204081632653061,0.0102040816326531,0.0408163265306122,0,0.0918367346938776,0.0714285714285714,0,0.0306122448979592,0.0102040816326531,0.0102040816326531,0.142857142857143,0.0102040816326531,0,0.0408163265306122,0,0.0102040816326531,0,0,0,0.0102040816326531,0,0,0,0,0
150,3158,0.0206185567010309,0,0,0.412371134020619,0,0,0.0206185567010309,0,0.103092783505155,0.0721649484536082,0,0.103092783505155,0,0.0103092783505155,0.164948453608247,0,0,0.0515463917525773,0.0103092783505155,0.0103092783505155,0,0,0.0206185567010309,0,0,0,0,0,0
160,3362,0.0196078431372549,0,0.0294117647058824,0.450980392156863,0.00980392156862745,0.00980392156862745,0.0196078431372549,0,0.0686274509803922,0.0196078431372549,0.00980392156862745,0.0980392156862745,0.0196078431372549,0.00980392156862745,0.137254901960784,0.00980392156862745,0,0.0490196078431373,0.00980392156862745,0,0.00980392156862745,0,0.0196078431372549,0,0,0,0,0,0
170,3566,0.0099009900990099,0,0.0099009900990099,0.435643564356436,0.0198019801980198,0.0099009900990099,0.0198019801980198,0,0.0891089108910891,0.0495049504950495,0,0.0297029702970297,0.0099009900990099,0.0099009900990099,0.217821782178218,0,0,0.0396039603960396,0.0099009900990099,0.0099009900990099,0,0,0.0198019801980198,0,0.0099009900990099,0,0,0,0
180,3770,0,0,0.0103092783505155,0.463917525773196,0.0206185567010309,0.0103092783505155,0.0309278350515464,0,0.0618556701030928,0.0824742268041237,0,0.0618556701030928,0.0515463917525773,0.0103092783505155,0.11340206185567,0.0103092783505155,0,0.0309278350515464,0.0103092783505155,0.0103092783505155,0,0,0.0103092783505155,0,0,0.0103092783505155,0,0,0
190,3973,0.02,0,0.03,0.44,0.01,0,0.03,0,0.11,0.04,0,0.06,0.02,0.01,0.16,0.01,0.01,0.04,0,0,0.01,0,0,0,0,0,0,0,0
200,4177,0.0206185567010309,0,0.0206185567010309,0.391752577319588,0.0103092783505155,0.0103092783505155,0.0309278350515464,0,0.144329896907216,0.0412371134020619,0,0.103092783505155,0.0103092783505155,0,0.134020618556701,0,0,0.0309278350515464,0.0103092783505155,0,0.0103092783505155,0,0.0206185567010309,0,0.0103092783505155,0,0,0,0
210,4381,0.0204081632653061,0,0.0102040816326531,0.479591836734694,0.0102040816326531,0,0.0306122448979592,0,0.0816326530612245,0.0510204081632653,0,0.0204081632653061,0.0408163265306122,0.0102040816326531,0.193877551020408,0,0,0.0306122448979592,0.0102040816326531,0,0,0,0.0102040816326531,0,0,0,0,0,0
220,4585,0.0303030303030303,0,0.0303030303030303,0.373737373737374,0.0303030303030303,0.0101010101010101,0.0101010101010101,0,0.0505050505050505,0.0505050505050505,0,0.101010101010101,0.0101010101010101,0,0.252525252525253,0.0101010101010101,0,0.0101010101010101,0.0101010101010101,0,0.0101010101010101,0,0.0101010101010101,0,0,0,0,0,0
230,4789,0.00980392156862745,0,0.0490196078431373,0.362745098039216,0.0196078431372549,0.00980392156862745,0,0,0.0490196078431373,0.0490196078431373,0,0.0588235294117647,0.0294117647058824,0.00980392156862745,0.264705882352941,0.00980392156862745,0,0.0294117647058824,0.00980392156862745,0,0.00980392156862745,0,0.0196078431372549,0.00980392156862745,0,0,0,0,0
240,4993,0.0208333333333333,0.0104166666666667,0.03125,0.40625,0.0208333333333333,0,0,0,0.114583333333333,0.0416666666666667,0,0.0625,0.0104166666666667,0.0104166666666667,0.208333333333333,0.0104166666666667,0,0.0416666666666667,0.0104166666666667,0,0,0,0,0,0,0,0,0,0
250,5197,0,0.01,0.03,0.4,0.01,0.01,0,0,0.13,0.09,0,0.05,0.01,0.01,0.2,0.01,0,0.02,0,0,0.01,0,0,0,0,0.01,0,0,0
260,5449,0.0101010101010101,0,0.0303030303030303,0.343434343434343,0.0505050505050505,0.0101010101010101,0.0101010101010101,0,0.0404040404040404,0.0404040404040404,0,0.131313131313131,0.0303030303030303,0.0202020202020202,0.141414141414141,0.0101010101010101,0,0.111111111111111,0,0.0101010101010101,0.0101010101010101,0,0,0,0,0,0,0,0
270,5702,0,0,0.00980392156862745,0.323529411764706,0.00980392156862745,0,0.00980392156862745,0,0.0588235294117647,0.0294117647058824,0.00980392156862745,0.0588235294117647,0.0294117647058824,0.0196078431372549,0.166666666666667,0.00980392156862745,0,0.205882352941176,0.0294117647058824,0.00980392156862745,0,0,0.00980392156862745,0,0.00980392156862745,0,0,0,0
280,5954,0,0,0.027027027027027,0.243243243243243,0.009009009009009,0,0,0,0.063063063063063,0.045045045045045,0,0.126126126126126,0.036036036036036,0.018018018018018,0.27027027027027,0,0,0.144144144144144,0,0,0,0.009009009009009,0.009009009009009,0,0,0,0,0,0
300,6458,0.0102040816326531,0.0102040816326531,0.0306122448979592,0.295918367346939,0.0102040816326531,0,0.0102040816326531,0,0.0204081632653061,0.0714285714285714,0,0.0612244897959184,0.0408163265306122,0,0.224489795918367,0,0.0102040816326531,0.142857142857143,0.0102040816326531,0.0102040816326531,0.0102040816326531,0,0.0204081632653061,0,0,0,0.0102040816326531,0,0
310,6710,0.0106382978723404,0,0.0531914893617021,0.265957446808511,0.0106382978723404,0.0106382978723404,0.0106382978723404,0,0.159574468085106,0.074468085106383,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.265957446808511,0,0,0.074468085106383,0.0106382978723404,0,0.0106382978723404,0,0,0,0,0,0,0,0
