"sample.depths","sample.ages","Abies","Betula","Carya","Castanea","Cupressaceae","Fagus","Fraxinus.undiff.","Ostrya.Carpinus","Picea","Platanus","Quercus","Tsuga","Ulmus","Alnus","Ambrosia","Fraxinus.americana.type","Populus","Poaceae","Acer.saccharum","Ilex.Nemopanthus","Pinus.strobus","Pinus.banksiana.P..resinosa","Fraxinus.nigra","Corylus","Cyperaceae","Larix","Amorpha","Asteraceae.subf..Asteroideae.undiff.","Juglans.cinerea","Myrica","Artemisia","Tilia","Salix","Ephedra.torreyana.type","Amaranthaceae","Acer.rubrum","Juglans.nigra"
1,59,0.0146341463414634,0.146341463414634,0.0048780487804878,0.0097560975609756,0.0341463414634146,0.0146341463414634,0.024390243902439,0.0048780487804878,0.024390243902439,0.0048780487804878,0.0536585365853659,0.073170731707317,0.0195121951219512,0.024390243902439,0.0439024390243902,0.0195121951219512,0.0048780487804878,0.0146341463414634,0.0195121951219512,0.0048780487804878,0.385365853658537,0.048780487804878,0.0048780487804878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,758,0,0.187192118226601,0,0,0.00985221674876847,0.0492610837438424,0.0147783251231527,0.00492610837438424,0.0246305418719212,0,0.0788177339901478,0.103448275862069,0.0147783251231527,0.0147783251231527,0.00492610837438424,0.00985221674876847,0,0,0.00985221674876847,0,0.394088669950739,0.0591133004926108,0.00492610837438424,0.00492610837438424,0.00492610837438424,0.00492610837438424,0,0,0,0,0,0,0,0,0,0,0
30,1125,0.0099009900990099,0.178217821782178,0,0,0.0346534653465347,0.0445544554455446,0.0099009900990099,0.0247524752475248,0.0148514851485149,0.00495049504950495,0.0346534653465347,0.099009900990099,0.0099009900990099,0,0.00495049504950495,0.00495049504950495,0.0099009900990099,0,0.0297029702970297,0.00495049504950495,0.425742574257426,0.0297029702970297,0.00495049504950495,0,0,0.0099009900990099,0.0099009900990099,0,0,0,0,0,0,0,0,0,0
40,1493,0,0.143564356435644,0,0,0.0099009900990099,0.0693069306930693,0.0099009900990099,0.0099009900990099,0.00495049504950495,0.0099009900990099,0.0495049504950495,0.128712871287129,0.0099009900990099,0.00495049504950495,0,0.00495049504950495,0.00495049504950495,0,0.0198019801980198,0,0.46039603960396,0.0396039603960396,0.00495049504950495,0,0.0099009900990099,0,0,0.00495049504950495,0,0,0,0,0,0,0,0,0
50,1861,0,0.117647058823529,0,0,0.0294117647058824,0.053921568627451,0.0196078431372549,0.00980392156862745,0.0196078431372549,0.00490196078431373,0.0343137254901961,0.0784313725490196,0.0294117647058824,0.0147058823529412,0,0.00490196078431373,0,0,0.0196078431372549,0,0.475490196078431,0.053921568627451,0.0147058823529412,0,0,0.00980392156862745,0,0,0.00490196078431373,0.00490196078431373,0,0,0,0,0,0,0
60,2229,0,0.137931034482759,0.00492610837438424,0.00492610837438424,0.0147783251231527,0.0541871921182266,0.0147783251231527,0.00492610837438424,0.00492610837438424,0,0.0394088669950739,0.133004926108374,0.0295566502463054,0.0197044334975369,0,0,0.00492610837438424,0,0.0147783251231527,0,0.467980295566502,0.0147783251231527,0.0147783251231527,0,0.00492610837438424,0,0,0,0,0,0.0147783251231527,0,0,0,0,0,0
70,2597,0.00497512437810945,0.129353233830846,0,0,0.0298507462686567,0.0398009950248756,0.00497512437810945,0.0199004975124378,0.0149253731343284,0.00497512437810945,0.0348258706467662,0.114427860696517,0.00497512437810945,0.0099502487562189,0,0,0.00497512437810945,0,0.0199004975124378,0,0.487562189054726,0.054726368159204,0.00497512437810945,0,0.0099502487562189,0,0,0,0,0,0,0.00497512437810945,0,0,0,0,0
80,2964,0.00497512437810945,0.109452736318408,0.00497512437810945,0,0.054726368159204,0.0597014925373134,0.00497512437810945,0,0.00497512437810945,0.00497512437810945,0.0348258706467662,0.109452736318408,0.0149253731343284,0.00497512437810945,0,0.00497512437810945,0,0,0.00497512437810945,0,0.517412935323383,0.0447761194029851,0,0,0.00497512437810945,0.0099502487562189,0,0,0,0,0,0,0,0,0,0,0
90,3332,0.00490196078431373,0.127450980392157,0,0,0.00980392156862745,0.0490196078431373,0.0196078431372549,0.0147058823529412,0.0147058823529412,0.00490196078431373,0.0294117647058824,0.088235294117647,0.0245098039215686,0.00490196078431373,0,0.00980392156862745,0.00490196078431373,0,0.0147058823529412,0,0.504901960784314,0.053921568627451,0.00980392156862745,0,0,0,0,0,0,0,0.00490196078431373,0,0.00490196078431373,0,0,0,0
100,3642,0.0099502487562189,0.129353233830846,0,0,0.054726368159204,0.0447761194029851,0.00497512437810945,0.00497512437810945,0,0.0099502487562189,0.0447761194029851,0.0696517412935323,0.0099502487562189,0.0099502487562189,0,0.0099502487562189,0,0,0.00497512437810945,0,0.492537313432836,0.0796019900497512,0.00497512437810945,0,0.00497512437810945,0,0,0,0.00497512437810945,0,0.00497512437810945,0,0,0,0,0,0
