"sample.depths","sample.ages","Abies","Acer","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Castanea","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum","Epilobium","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus","Huperzia.lucidula","Huperzia.selago","Isoëtes","Juglans","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Myrica","Nuphar","Ostrya","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum.viviparum","Polypodiaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rubiaceae","Rubus.chamaemorus","Rumex","Salix","Sparganium","Sphagnum","Thalictrum","Tsuga","Ulmus","Unknown"
0,56,0,0,12,183,2,14,0,5,1,116,0,0,0,0,0,0,7,9,0,0,0,11,0,0,0,0,0,5,0,1,4,2,2,3,6,0,1,606,41,5,34,0,0,8,0,2,1,0,0,1,0,0,0,0,0,1,0,61,0,0,0,0
2,198,0,0,2,159,2,1,0,3,1,80,0,0,0,0,0,2,2,4,0,0,0,6,0,0,0,0,0,3,0,4,1,0,2,0,2,0,1,337,30,3,13,0,0,3,0,4,0,0,0,2,0,0,0,0,0,1,0,40,0,0,1,0
4,336,0,0,2,116,1,1,0,3,1,67,0,0,0,0,0,0,4,3,2,0,0,4,0,0,0,0,0,3,0,5,3,5,0,1,1,0,1,439,19,1,7,0,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,3
6,470,2,0,6,108,2,3,0,3,1,86,0,0,0,0,0,0,1,3,1,0,0,4,0,0,1,0,0,1,0,6,1,0,1,2,5,0,1,420,32,3,7,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,44,0,0,2,3
8,601,1,0,7,85,0,1,0,2,0,54,0,1,0,0,0,1,6,1,1,0,0,2,0,0,0,0,0,1,0,3,2,0,1,1,1,0,0,323,12,2,5,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,32,0,0,0,3
10,729,0,0,8,115,0,4,0,4,1,80,0,0,0,0,0,1,2,5,1,1,0,5,0,0,0,0,0,7,0,8,7,3,1,0,1,0,1,397,12,2,5,0,0,3,0,5,0,0,0,0,0,0,0,0,0,1,0,41,0,0,0,1
12,853,0,1,7,132,2,2,0,3,0,64,0,0,0,0,0,0,2,11,1,0,1,4,0,0,1,0,0,2,0,4,6,0,0,1,4,1,0,389,24,2,5,0,0,5,0,11,0,1,0,0,0,1,0,0,0,0,0,54,0,1,1,1
14,975,0,0,4,119,0,3,0,3,0,63,1,0,0,0,0,0,2,6,0,1,0,5,0,0,0,0,0,1,0,5,4,1,0,1,2,0,1,369,9,6,13,0,0,4,0,5,0,0,2,4,0,0,0,0,0,2,0,32,0,0,0,1
16,1093,1,0,13,153,2,3,0,4,1,84,0,0,0,0,0,1,2,5,0,0,0,7,0,1,1,0,0,2,0,4,1,2,0,0,0,0,0,258,12,1,6,0,0,6,0,8,0,0,0,0,0,0,0,0,0,1,0,35,0,0,0,3
18,1207,1,0,19,127,1,2,0,5,2,70,0,0,0,0,0,0,1,1,0,0,0,4,0,0,1,0,0,1,0,3,1,1,1,0,2,1,1,337,12,0,9,0,0,9,0,4,0,1,0,1,0,0,0,0,0,0,0,37,0,0,0,0
20,1319,0,0,4,109,0,1,0,4,0,50,0,0,0,0,0,0,4,5,0,0,0,7,0,0,0,1,0,4,0,8,3,0,0,0,3,0,1,431,14,4,9,0,0,2,0,3,1,0,0,1,0,0,0,0,0,2,0,29,0,0,1,0
22,1428,1,0,23,90,0,2,0,3,1,61,0,0,0,0,0,0,2,2,0,0,1,4,0,0,0,0,0,1,0,7,5,0,2,0,3,0,0,407,17,3,6,0,0,4,0,6,1,0,0,1,0,0,0,0,0,0,0,24,0,1,0,1
24,1534,2,0,3,90,0,1,0,5,1,42,0,0,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,3,3,1,1,0,2,1,0,395,3,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
26,1637,0,0,15,127,1,0,0,3,1,68,0,0,0,0,1,0,5,2,0,0,0,5,0,0,0,1,0,0,0,12,4,2,4,0,4,0,0,520,28,3,12,0,0,2,0,7,0,0,0,5,0,1,0,1,0,0,0,30,0,0,2,0
28,1737,0,0,13,111,0,1,0,5,1,67,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,1,1,0,0,1,0,1,348,22,1,3,0,1,3,0,1,0,0,0,1,0,0,0,1,0,0,0,20,0,0,0,1
30,1835,0,0,7,127,2,1,0,3,1,55,0,0,0,0,0,0,2,5,2,0,0,4,0,0,2,0,0,5,1,3,3,0,1,1,4,0,1,309,12,3,14,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,1,41,0,0,0,2
36,2110,2,0,15,147,0,2,0,1,1,91,0,0,0,0,0,0,1,3,3,1,0,8,0,0,1,0,0,0,0,6,10,3,1,2,3,0,0,788,14,5,16,0,0,5,0,6,0,0,0,0,0,0,0,0,0,1,1,54,0,0,1,2
40,2281,0,0,14,119,2,2,0,1,0,67,0,0,0,0,0,1,3,1,0,0,1,11,1,0,0,0,0,0,0,4,3,2,1,1,2,0,0,382,14,2,8,0,0,2,0,8,1,1,0,2,0,0,0,0,0,0,0,24,0,0,0,0
45,2481,0,0,6,145,1,2,0,1,0,96,0,0,0,0,0,0,2,2,0,1,1,6,0,1,2,0,0,1,0,4,2,0,1,0,5,0,2,380,10,1,6,0,0,2,0,8,0,0,0,2,0,0,0,0,0,3,0,20,0,1,0,0
51,2701,0,0,10,234,0,1,0,1,0,74,1,0,0,0,0,1,1,2,2,0,0,6,0,0,0,0,0,0,0,1,4,0,0,1,7,0,0,305,12,2,4,0,0,8,0,9,0,0,1,0,0,1,0,0,0,0,0,29,0,0,0,0
56,2870,0,0,6,155,2,0,1,8,1,67,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,2,0,2,4,1,0,2,1,0,0,303,7,4,6,0,0,1,0,6,0,1,0,1,1,0,0,0,0,1,0,21,0,0,1,0
60,2996,0,0,3,122,0,0,0,1,1,65,0,0,0,0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,1,2,1,2,0,2,0,0,310,26,2,5,0,0,2,0,3,0,0,1,0,0,0,0,0,0,2,0,15,0,0,1,0
68,3224,0,0,8,192,1,1,0,2,1,82,0,0,0,0,0,0,1,2,0,0,0,2,0,0,1,0,0,0,0,1,2,0,1,0,3,0,0,352,5,2,3,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,1
70,3277,0,1,19,321,1,1,0,3,0,141,0,0,0,0,0,1,0,6,0,0,1,8,0,0,2,0,0,0,0,4,3,3,2,1,6,0,1,532,6,0,2,0,0,4,0,21,0,0,0,1,0,0,0,0,0,1,0,28,0,0,1,3
76,3425,0,0,6,132,0,1,0,1,1,72,0,0,0,0,0,0,0,3,0,0,0,6,0,0,1,0,0,1,0,1,1,2,0,0,2,0,0,442,3,2,6,0,0,2,0,10,0,0,1,0,0,0,0,0,0,2,0,14,0,0,0,0
80,3517,0,0,7,93,0,1,0,6,1,56,0,0,0,0,0,1,9,12,0,0,0,3,0,0,1,0,0,1,0,1,0,0,3,0,1,0,2,430,19,3,5,0,0,4,0,4,1,0,0,0,0,0,0,0,0,3,1,25,0,0,0,0
