"sample.depths","sample.ages","upland.sum","Cupressaceae","Picea","Abies","Larix","Tsuga","Pinus","Betula","Populus","Fraxinus.nigra","Fraxinus.americana","Quercus","Ulmus","Ostrya.Carpinus","Salix","Acer.saccharum","Acer.rubrum","Tilia","Juglans.nigra","Juglans.cinerea","Carya","Platanus","Celtis","Fagus","Castanea","Liquidambar","Sambucus.racemosa","Shepherdia","Alnus","Corylus","Myrica.Comptonia.peregrina","Ericaceae","Clethra","Thalictrum","Viola","Lamiaceae","Saxifraga","Caryophyllaceae","Hypericum","Cornus.canadensis","Poaceae","Artemisia","Ambrosia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Cyperaceae","Rumex","Plantago","Rosaceae.undiff.","Rubus","Sanguisorba.canadensis","Epilobium","Ranunculus.flabellaris","Brassicaceae","Chenopodiaceae","Nyssa","Ilex.Nemopanthus","Viburnum"
1,-14,366,2,9,0,0,17,70,69,0,0,4,67,6,1,1,1,16,0,0,2,5,1,1,4,1,0,0,0,0,0,8,1,0,0,1,1,0,0,0,0,6,3,21,0,0,0,1,3,0,1,0,0,0,0,0,34,8,1
3,50,428,2,10,0,2,15,63,81,5,0,6,74,1,0,2,4,44,2,0,0,5,0,0,7,1,0,0,0,2,4,3,3,0,1,0,2,0,0,0,0,10,0,16,1,0,0,1,3,1,0,0,0,0,0,0,42,15,0
5,114,511,9,12,1,0,22,53,90,0,0,5,65,11,11,2,5,17,0,0,0,3,0,0,5,3,0,0,0,1,3,17,5,0,0,0,0,0,0,0,0,17,1,47,0,1,2,0,5,0,0,0,0,0,0,1,44,53,0
7,179,407,1,9,0,0,5,31,141,5,0,3,40,4,2,0,1,18,0,0,1,2,2,0,4,3,1,0,0,2,3,0,1,0,0,0,0,0,0,0,0,8,2,36,1,0,0,0,1,0,0,0,0,0,0,1,23,56,0
10,277,466,2,15,2,0,9,34,86,2,0,3,26,1,0,2,1,21,0,0,3,2,2,0,4,22,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,41,2,56,2,0,4,20,0,1,0,0,0,0,0,1,15,79,0
13,376,562,7,23,0,1,9,52,125,8,0,0,37,1,0,0,1,22,0,0,0,2,4,0,11,31,0,0,0,2,7,1,0,0,0,0,0,0,0,0,0,32,1,43,3,0,3,23,0,4,0,0,0,0,0,0,19,87,3
15,444,339,9,9,0,0,13,33,51,0,0,3,38,0,5,1,0,9,0,0,2,1,0,0,12,12,0,0,0,3,1,8,0,0,0,0,0,0,0,0,0,12,2,24,0,1,2,3,0,1,0,0,0,0,0,1,16,67,0
17,513,690,5,19,0,0,21,91,153,6,0,8,88,3,4,0,1,11,0,0,0,2,0,0,39,36,0,0,0,2,5,2,11,0,0,0,0,0,0,0,0,4,0,3,1,1,1,0,1,26,0,0,0,0,0,0,18,109,19
20,619,493,8,21,0,1,44,44,81,3,0,6,75,0,2,3,2,14,0,0,0,6,0,0,35,4,0,0,0,1,10,8,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,3,0,0,0,0,0,0,13,75,28
22,692,736,12,46,0,0,60,60,173,13,0,8,78,3,3,0,0,17,1,0,0,5,1,0,95,14,1,0,0,2,5,0,6,0,1,0,0,0,0,1,0,4,0,2,0,0,0,1,0,2,0,0,0,0,0,0,15,100,7
