"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Iva.annua.type","Corylus","Cyperaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Iva.xanthifolia.type","Larix","Morus","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Rumex","Salix","Salsola","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Ambrosia","Humulus.Cannabis.sativa","Juniperus.Thuja","Populus","Brassicaceae","Acer.saccharum","Pinus.strobus","Juglans.nigra.type","Chenopodium.type","Pinus.banksiana.P..resinosa","Cerealia.type","Acer.negundo","Acer.saccharinum.type","Plantago.undiff.","Sarcobatus.vermiculatus","Tilia","Trifolium.type","Plantago.major.type","Carya","Amorpha","Juglans.cinerea.type","Celtis","Fraxinus.undiff.","Polygonum.lapathifolium.type","Rosaceae.undiff.","Asteraceae.subf..Cichorioideae","Dalea","Xanthium","Acer.spicatum","Thalictrum","Rhus","Lysimachia","Apiaceae","Cornus","Viburnum","Euphorbia","Fabaceae.undiff.","Alnus.undiff.","Rhamnus","Trientalis","Potentilla.type","Castanea","Polygonum.undiff.","Myrica","Shepherdia.argentea","Ephedra.nevadensis.type","Shepherdia.canadensis","Ranunculus","Zanthoxylum","Lamiaceae","Epilobium","Ephedra.viridis.type"
0,-20,464,6.5,1,46,2,8,154,2,3,4,13,2,5,1,1,1,4,8,44.5,39,1,9,4,3,4,18,2,2,18,1,5,32.5,1,5,12.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,240,427,2,0,27,1,5,154,0,1,3,10,2,10,2,1,0,10,3.5,29.5,18,1,5,1,3,7,24,1,1,14,0,10,49.5,0,6,16.5,0,1,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,368,636.5,11,0,27,0,12,226,0,12,11,3,4,7,0,0,2,10,1,60,33,0,3,0,4,6,26,1,0,19,0,11,129.5,0,5,8,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,494,464,3.5,0,14,1,3,165,0,6,10,2,0,8,0,5,0,11,6,31.5,15,0,2,0,1,4,7,0,1,5,0,10,122,0,1,20,0,2,0,1,1,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,617,459,5.5,0,11,1,3,161,0,3,10,2,0,6,0,2,0,12,12.5,44,17,1,0,1,0,6,4,0,1,11,0,9,104,0,4,20,0,2,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,852,416,1.5,1,14,0,7,186,0,3,4,4,0,0,0,0,0,6,10.5,37,13,0,3,0,2,3,6,0,0,19,0,6,74,0,0,13,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1258,429.5,2.5,0,13,0,3,180,0,4,5,3,0,3,0,2,0,12,9.5,43.5,18,0,1,0,1,1,10,1,0,9,0,7,78,0,3,14,0,0,0,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1547,310,2,2,17,1,4,109,0,0,2,5,0,5,0,2,0,7,2,34,13,0,1,0,2,2,5,0,0,13,0,7,59,0,2,11,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1731,304.5,0,0,6,5,2,111,0,2,2,6,0,5,0,2,0,5,5,35,9,0,2,0,1,9,4,0,0,5,0,7,69,0,1,8.5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1849,509,3,0,16,2,6,199,0,4,7,5,1,9,0,2,0,9,5,140.5,24,0,2,0,2,5,5,0,0,4,0,5,41.5,0,1,8,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
