"sample.depths","sample.ages","upland.sum","Acer.rubrum","Ambrosia.type","Betula","Carya","Cyperaceae","Fagus","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Ilex","Juglans.cinerea","Liquidambar","Nyssa","Platanus","Potentilla.type","Quercus","Rhamnaceae.Vitaceae.undiff.","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Urtica.type","Anacardiaceae","Pinus","Amaranthaceae","Plantago","Rubiaceae","Alnus.incana.type","Artemisia","Castanea","Ericaceae","Ostrya.Carpinus","Cerealia","Abies","Juglans.nigra","Picea","Acer.saccharum.type","Fraxinus.nigra.type","Populus","Corylus","Thalictrum","Myrica","Polygonum","Diospyros.type","Caprifoliaceae","Rhamnaceae","Sanguisorba","Alnus.viridis.type","Caryophyllaceae","Onagraceae","Cupressaceae","Asteraceae.subf..Cichorioideae","Lamiaceae","Polemoniaceae","Brassicaceae","Campanulaceae"
0,-267,332,38,26,17,5,4,1,3,19,2,1,1,4,4,4,147,1,1,4,1,2,3,3,2,17,1,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,220,423,3,104,11,2,5,1,1,22,2,0,0,7,0,0,115,0,7,0,0,29,1,2,0,6,1,3,72,2,2,16,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,785,334,1,73,3,5,9,5,1,8,4,1,0,3,0,0,111,0,3,0,4,2,1,0,0,14,0,9,21,1,2,49,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1504,344,3,3,9,9,13,4,1,8,1,0,0,5,0,0,165,0,2,0,1,2,2,0,0,14,0,14,24,5,0,54,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2386,364,4,0,11,11,13,10,1,5,2,0,1,2,0,0,181,0,0,0,5,0,0,0,0,11,0,0,41,3,0,57,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3391,351,2,1,12,12,15,5,0,10,5,0,1,5,0,0,195,0,0,0,5,1,0,0,0,10,0,0,27,1,0,40,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4476,332,2,0,6,16,11,6,1,11,6,0,1,4,0,0,201,0,0,0,5,0,0,0,0,9,0,0,11,2,0,32,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,5600,397,2,1,10,12,19,3,0,16,0,0,0,0,2,0,193,0,0,0,1,2,0,0,0,17,0,0,60,5,0,44,3,2,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
40,6720,403,3,1,14,5,18,8,0,18,2,0,0,13,0,0,200,0,0,0,8,3,0,4,0,12,0,0,69,8,0,1,5,3,0,2,0,0,0,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
45,7796,380,1,1,10,10,20,2,0,35,2,0,1,14,0,0,213,0,0,0,8,0,2,3,0,12,0,0,22,5,0,3,4,5,0,0,0,1,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
50,8784,384,0,2,16,3,18,12,0,18,1,0,0,14,0,0,187,0,0,1,14,8,1,0,0,17,0,0,48,8,0,2,1,0,0,2,2,2,1,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
52.5,9232,325,1,2,31,1,7,4,0,11,0,0,0,1,0,1,65,0,0,0,3,7,1,0,0,122,0,0,9,13,0,0,0,9,0,8,0,13,0,4,0,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
55,9643,354,2,0,21,0,14,2,0,16,0,0,0,7,0,0,86,0,0,0,4,4,1,1,0,102,0,0,33,21,0,1,0,5,0,4,1,13,0,4,0,4,0,0,0,0,3,0,1,2,1,1,0,0,0,0,0,0
57.5,10013,287,0,1,41,1,11,1,0,8,0,0,0,2,0,1,29,0,0,3,1,2,2,0,0,119,0,0,1,13,0,0,0,11,0,6,0,21,0,8,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
60,10344,282,0,1,22,0,11,1,0,7,0,0,0,0,0,2,19,0,0,2,0,6,0,0,0,129,0,0,0,25,0,0,0,11,0,9,0,15,2,13,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,11367,284,0,0,24,1,20,1,1,19,0,0,0,0,0,4,14,0,0,3,0,2,1,0,0,124,0,0,0,16,0,0,0,12,0,13,0,14,0,8,2,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0
80,12104,286,0,0,20,1,5,1,0,7,0,0,0,0,0,1,26,0,0,1,0,6,1,0,0,141,0,0,0,18,3,0,0,12,0,9,0,16,0,11,3,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
90,12680,285,0,1,22,1,13,1,0,7,1,0,0,0,0,1,36,0,0,2,0,4,1,1,0,123,0,0,3,15,0,1,1,12,0,13,0,11,1,7,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
