"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Betula","Carya","Castanea","Corylus","Cupressaceae","Ericaceae","Fagus","Ilex","Juglans.cinerea","Juglans.nigra","Liquidambar","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Cyperaceae","Iva.annua.type","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Rosaceae","Rumex","Thalictrum","Xanthium","Zea"
1,-38,0,0.018115942,0.010869565,0.003623188,0.221014493,0.005434783,0,0,0.010869565,0.009057971,0.038043478,0.003623188,0,0,0,0.009057971,0,0.003623188,0.009057971,0.009057971,0.177536232,0.076086957,0.001811594,0.005434783,0.222826087,0.001811594,0.001811594,0.092391304,0.009057971,0,0.014492754,0.001811594,0,0,0.001811594,0,0.005434783,0.025362319,0,0,0.010869565,0,0,0
3,-26,0.003472222,0.013888889,0.008680556,0.005208333,0.208333333,0.010416667,0.006944444,0.003472222,0.001736111,0.005208333,0.074652778,0.005208333,0.001736111,0.001736111,0,0.008680556,0,0,0.029513889,0.020833333,0.154513889,0.0625,0,0.003472222,0.185763889,0.003472222,0,0.09375,0.006944444,0.001736111,0.020833333,0.001736111,0.001736111,0,0,0,0.003472222,0.032986111,0,0,0.017361111,0,0,0
5,-10,0,0.025925926,0.018518519,0.012962963,0.237037037,0.012962963,0.003703704,0,0.005555556,0.001851852,0.094444444,0.005555556,0.001851852,0,0,0.005555556,0,0.005555556,0.014814815,0.025925926,0.138888889,0.05,0,0.001851852,0.188888889,0.001851852,0,0.085185185,0.012962963,0,0.012962963,0.001851852,0,0.001851852,0.001851852,0,0.003703704,0.025925926,0,0,0,0,0,0
7,19,0.003231018,0.011308562,0.016155089,0.008077544,0.2180937,0.011308562,0.012924071,0.001615509,0.003231018,0.004846527,0.088852989,0.008077544,0,0,0,0.008077544,0,0.006462036,0.027463651,0.02907916,0.108239095,0.050080775,0.004846527,0.003231018,0.148626817,0.001615509,0.001615509,0.132471729,0.006462036,0.001615509,0.027463651,0.003231018,0,0,0.003231018,0,0,0.032310178,0,0,0.016155089,0,0,0
9,44,0.001718213,0.005154639,0.013745704,0.008591065,0.225085911,0.005154639,0.003436426,0.001718213,0,0.010309278,0.113402062,0.010309278,0,0,0,0.008591065,0,0.008591065,0.027491409,0.013745704,0.137457045,0.049828179,0,0,0.142611684,0.001718213,0,0.140893471,0.005154639,0.003436426,0.02233677,0,0,0.001718213,0.003436426,0,0.003436426,0.018900344,0,0.001718213,0.010309278,0,0,0
11,55,0.001680672,0.003361345,0.020168067,0.008403361,0.183193277,0.003361345,0.005042017,0.001680672,0.008403361,0.005042017,0.100840336,0.003361345,0.001680672,0,0,0.013445378,0.001680672,0.005042017,0.023529412,0.020168067,0.094117647,0.048739496,0,0.001680672,0.142857143,0,0.005042017,0.157983193,0.013445378,0.005042017,0.023529412,0,0.001680672,0,0,0,0.003361345,0.065546218,0,0.001680672,0.025210084,0,0,0
13,72,0.003412969,0.006825939,0.013651877,0.003412969,0.201365188,0.006825939,0.017064846,0,0,0.005119454,0.107508532,0.006825939,0.001706485,0,0,0.017064846,0,0.006825939,0.027303754,0.020477816,0.136518771,0.029010239,0,0,0.129692833,0,0,0.153583618,0.005119454,0.001706485,0.0221843,0.001706485,0.001706485,0,0,0,0,0.044368601,0,0,0.029010239,0,0,0
15,88,0.001788909,0.005366726,0.017889088,0.010733453,0.225402504,0.003577818,0.008944544,0,0.005366726,0,0.123434705,0,0.003577818,0.001788909,0.001788909,0.008944544,0,0.005366726,0.02862254,0.023255814,0.103756708,0.039355993,0,0,0.168157424,0.003577818,0,0.076923077,0.008944544,0.005366726,0.02862254,0,0.001788909,0,0,0,0,0.051878354,0,0.001788909,0.033989267,0,0,0
17,104,0.004966887,0.016556291,0.009933775,0.008278146,0.19205298,0.008278146,0.014900662,0.003311258,0,0.003311258,0.089403974,0.001655629,0.001655629,0,0,0.008278146,0,0.011589404,0.029801325,0.018211921,0.119205298,0.05794702,0.003311258,0,0.15397351,0,0,0.102649007,0.016556291,0.003311258,0.028145695,0,0.001655629,0.001655629,0,0.001655629,0.003311258,0.051324503,0,0,0.031456954,0,0,0.001655629
19,120,0,0.022970904,0.029096478,0.015313936,0.19754977,0.003062787,0.015313936,0.001531394,0.003062787,0.010719755,0.062787136,0.004594181,0,0.001531394,0,0.007656968,0,0.001531394,0.007656968,0.013782542,0.140888208,0.036753446,0.001531394,0,0.148545176,0,0,0.082695253,0.010719755,0.012251149,0.033690658,0.001531394,0,0,0.001531394,0,0.004594181,0.096477795,0,0,0.030627871,0,0,0
21,136,0,0.008291874,0.009950249,0.018242123,0.195688226,0.004975124,0.016583748,0.001658375,0.008291874,0.016583748,0.066334992,0.004975124,0.004975124,0,0,0.021558872,0,0.004975124,0.013266998,0.016583748,0.114427861,0.069651741,0.008291874,0,0.16252073,0,0,0.097844113,0.004975124,0,0.044776119,0,0,0.001658375,0.001658375,0,0,0.058043118,0,0,0.023217247,0,0,0
23,152,0,0.004784689,0.019138756,0.011164274,0.212121212,0.007974482,0.009569378,0,0,0.007974482,0.098883573,0.001594896,0.001594896,0.001594896,0,0.011164274,0,0.007974482,0.023923445,0.014354067,0.118022329,0.046251994,0,0.001594896,0.133971292,0,0.001594896,0.105263158,0.009569378,0.004784689,0.023923445,0.001594896,0,0.003189793,0.001594896,0,0.001594896,0.074960128,0,0,0.038277512,0,0,0
25,168,0,0.00990099,0.018151815,0.01320132,0.201320132,0.018151815,0.00330033,0.001650165,0,0.008250825,0.061056106,0.004950495,0,0,0,0.008250825,0,0.004950495,0.02640264,0.01320132,0.105610561,0.056105611,0.004950495,0.001650165,0.161716172,0.004950495,0,0.105610561,0.00990099,0.00330033,0.034653465,0,0,0,0.001650165,0,0,0.087458746,0,0,0.02970297,0,0,0
27,184,0,0.019230769,0.014423077,0.009615385,0.21474359,0.008012821,0.019230769,0,0,0.001602564,0.080128205,0.004807692,0.001602564,0,0,0.008012821,0,0.009615385,0.020833333,0.017628205,0.116987179,0.056089744,0.004807692,0,0.133012821,0.003205128,0.001602564,0.072115385,0.008012821,0.004807692,0.040064103,0.001602564,0,0,0.001602564,0,0,0.075320513,0,0,0.051282051,0,0,0
29,201,0.00154321,0.009259259,0.00617284,0.012345679,0.195987654,0.00462963,0.012345679,0.00308642,0.00154321,0.007716049,0.083333333,0.00617284,0.00154321,0,0,0.00617284,0,0.00308642,0.023148148,0.016975309,0.095679012,0.052469136,0.00154321,0.00154321,0.163580247,0.00154321,0,0.109567901,0.00462963,0.00154321,0.035493827,0,0.00154321,0.00308642,0.00154321,0,0.00308642,0.075617284,0,0,0.052469136,0,0,0
31,234,0,0.009225092,0.014760148,0.005535055,0.201107011,0.003690037,0.018450185,0.001845018,0.003690037,0.009225092,0.073800738,0.005535055,0,0,0,0.003690037,0,0.005535055,0.02398524,0.025830258,0.153136531,0.05904059,0.001845018,0.005535055,0.182656827,0,0,0.121771218,0.011070111,0,0.014760148,0,0.003690037,0,0.003690037,0,0,0.025830258,0.001845018,0,0.009225092,0,0,0
33,287,0.003442341,0.015490534,0.008605852,0.006884682,0.239242685,0.012048193,0.003442341,0,0.005163511,0.003442341,0.070567986,0.006884682,0,0,0,0.003442341,0,0.008605852,0.032702238,0.046471601,0.120481928,0.051635112,0,0.006884682,0.153184165,0.00172117,0,0.166953528,0.006884682,0,0.006884682,0,0.005163511,0,0.00172117,0,0,0.010327022,0,0,0.00172117,0,0,0
35,339,0,0.01734104,0.015414258,0.007707129,0.269749518,0.003853565,0.013487476,0,0,0.001926782,0.098265896,0,0,0.005780347,0,0.003853565,0,0.007707129,0.023121387,0.023121387,0.057803468,0.034682081,0,0.005780347,0.231213873,0.001926782,0,0.144508671,0.005780347,0,0.007707129,0,0,0,0,0,0,0.013487476,0,0,0.005780347,0,0,0
37,391,0,0.017681729,0.019646365,0.001964637,0.241650295,0.009823183,0.009823183,0,0.001964637,0.007858546,0.119842829,0.001964637,0,0,0,0.007858546,0,0.007858546,0.017681729,0.009823183,0.10805501,0.021611002,0.001964637,0.007858546,0.166994106,0.001964637,0,0.190569745,0.003929273,0,0,0,0.003929273,0,0,0,0,0.011787819,0,0.001964637,0.003929273,0,0,0
39,444,0,0.016544118,0.018382353,0.011029412,0.185661765,0.003676471,0.009191176,0,0.003676471,0.007352941,0.150735294,0.001838235,0.001838235,0,0.001838235,0.016544118,0,0.005514706,0.03125,0.011029412,0.051470588,0.045955882,0.001838235,0.001838235,0.150735294,0,0,0.229779412,0.020220588,0,0.001838235,0,0.003676471,0.001838235,0.001838235,0,0.001838235,0.007352941,0,0,0.003676471,0,0,0
41,496,0,0.015414258,0.028901734,0.007707129,0.19460501,0.011560694,0.005780347,0.001926782,0,0.005780347,0.179190751,0.003853565,0,0,0,0.007707129,0,0.007707129,0.011560694,0.003853565,0.044315992,0.028901734,0,0.001926782,0.173410405,0,0.005780347,0.240847784,0.005780347,0,0.005780347,0,0,0,0,0,0,0.003853565,0,0,0.003853565,0,0,0
43,548,0,0.011406844,0.019011407,0.001901141,0.190114068,0.005703422,0.013307985,0,0.001901141,0,0.205323194,0.003802281,0.001901141,0,0,0.011406844,0,0.009505703,0.041825095,0.013307985,0.043726236,0.020912548,0.001901141,0.001901141,0.134980989,0,0,0.245247148,0.009505703,0.001901141,0.001901141,0,0.001901141,0,0.001901141,0,0,0.003802281,0,0,0,0,0,0
45,601,0.001851852,0.016666667,0.022222222,0.011111111,0.216666667,0.011111111,0.014814815,0.001851852,0,0.003703704,0.161111111,0.005555556,0.001851852,0,0,0.003703704,0,0.005555556,0.016666667,0.007407407,0.051851852,0.037037037,0,0.001851852,0.161111111,0,0,0.227777778,0.007407407,0,0.003703704,0,0,0,0,0,0,0.007407407,0,0,0,0,0,0
