"sample.depths","sample.ages","Acer","Alnus","Anacardiaceae","Betula","Carya","Celtis","Cephalanthus","Cornus","Corylus","Ericaceae","Fagus","Fraxinus","Ilex","Itea","Juglans","Liquidambar","Morus","Myrica","Nyssa","Ostrya.Carpinus","Parthenocissus","Pinus..whole.grains.","Pinus..1.2.grains.","Planera.aquatica","Platanus","Quercus","Rubus","Salix","Sambucus","Taxodium","Tilia","Ulmus","Vitis","Zanthoxylum","Alternanthera","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Galium","Iva","Lythrum","Plantago","Poaceae","Polygonum","Vigna","Osmunda","Decodon.verticillatus","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Sagittaria","Spore..monolete.","Spore..trilete.","Indeterminable","Unknown"
0,-40,0,0,0,3,5,0,0,0,1,0,0,15,1,0,0,7,0,4,13,3,0,21,20,0,0,33,0,3,0,37,0,0,3,0,1,4,2,0,16,0,3,12,0,10,0,0,28,0,0,2,0,0,0,0,1,9,2,4,34,9
10,60,0,0,1,1,0,3,0,0,0,0,0,4,1,1,0,8,0,5,8,2,0,42,20,0,1,49,0,1,0,24,0,2,3,0,0,15,3,1,17,0,0,12,0,0,1,0,35,0,0,2,0,0,0,0,0,0,5,2,29,6
20,162,0,2,0,1,5,3,0,0,0,0,0,3,0,0,0,2,1,5,14,1,0,27,14,0,0,35,1,2,1,24,0,1,4,0,0,7,1,0,23,0,3,11,0,26,0,0,47,0,0,5,2,0,0,1,0,5,3,3,21,6
30,264,0,0,0,2,4,0,0,0,0,0,0,10,3,0,0,2,0,2,6,1,0,36,19,0,0,45,0,2,0,42,0,4,3,0,0,15,2,0,12,0,9,15,0,0,0,0,36,0,0,2,0,0,0,0,0,5,6,4,19,8
40,365,0,0,1,1,5,0,0,1,0,0,0,4,1,1,0,4,0,0,6,1,0,35,14,0,0,27,0,3,0,26,0,1,0,0,0,3,2,0,24,0,5,11,0,6,0,0,28,0,1,6,0,0,0,0,0,3,3,0,39,4
50,467,0,1,1,0,4,1,0,0,1,0,0,5,1,0,0,4,0,5,6,5,0,32,18,0,0,28,1,3,1,27,0,2,1,0,1,2,2,0,26,0,8,23,0,6,0,0,41,0,0,7,0,0,0,0,1,1,0,3,22,6
60,568,0,0,1,1,11,2,0,0,0,0,0,7,0,0,0,1,2,8,4,2,0,29,17,1,1,33,3,2,0,35,0,1,5,0,0,3,2,0,16,0,1,24,0,6,0,0,34,0,0,1,1,0,0,0,0,2,0,0,36,9
70,670,0,2,0,0,1,3,0,0,0,0,0,8,2,0,0,13,0,8,3,13,1,44,19,0,1,44,0,2,0,22,0,3,0,0,0,2,2,1,13,0,0,16,0,8,0,0,44,0,0,9,0,0,0,0,0,1,3,1,23,2
80,771,1,1,0,3,2,0,0,0,0,0,0,10,0,0,0,5,0,2,10,2,0,18,13,0,0,30,1,1,1,48,0,1,1,0,0,2,3,1,21,0,5,18,0,9,0,0,36,0,0,7,0,0,0,0,0,4,5,0,28,5
90,873,0,1,0,0,0,0,0,0,0,0,1,6,1,0,0,1,0,3,12,1,0,25,24,0,1,31,1,1,0,33,0,0,0,0,1,0,5,0,20,0,6,31,0,5,0,0,71,0,0,10,0,0,0,0,2,1,4,3,24,6
100,974,0,3,0,0,6,0,0,0,0,0,0,8,0,0,0,13,0,5,3,2,0,38,12,0,0,61,0,6,0,26,0,3,2,0,0,1,1,0,14,0,4,24,0,10,1,0,30,0,0,5,0,0,0,1,0,3,6,1,19,6
110,1076,4,1,0,2,3,2,0,0,0,0,1,8,1,0,0,4,0,3,5,2,0,26,18,0,0,46,0,2,0,28,0,2,2,0,0,12,2,0,15,0,5,20,1,0,0,0,31,0,0,3,0,0,0,0,1,5,0,2,22,7
120,1177,0,2,0,1,2,3,0,0,0,0,1,13,1,0,0,2,0,12,7,4,0,64,14,0,1,50,0,1,0,26,0,0,1,0,0,0,4,0,14,0,2,6,0,6,0,0,27,1,0,3,1,0,0,0,2,1,2,0,24,5
130,1279,1,0,0,1,2,4,0,0,0,0,0,7,1,0,0,4,1,6,3,5,0,42,12,0,1,51,0,5,0,24,0,2,2,0,0,0,1,0,15,0,3,22,0,8,0,2,36,1,0,6,0,0,0,0,0,2,3,2,22,3
140,1380,0,0,0,0,6,1,0,0,0,0,0,4,1,2,0,8,0,6,11,6,0,45,14,0,1,33,1,2,0,31,0,2,5,0,0,1,4,0,17,0,3,13,0,6,0,0,37,0,1,4,0,1,0,1,0,7,3,1,34,12
150,1482,0,1,0,1,4,0,0,0,0,0,0,4,2,2,0,3,0,5,4,0,2,62,18,0,0,101,0,9,0,11,0,1,1,0,0,3,3,0,8,0,1,12,0,0,0,0,33,0,0,1,0,0,0,0,0,1,3,5,18,12
160,1583,0,1,0,2,6,0,1,0,0,0,0,13,4,0,0,3,0,10,7,1,0,74,22,2,0,61,0,0,0,25,0,3,0,0,0,1,2,0,16,0,5,8,1,6,0,0,24,0,0,5,0,0,0,0,0,1,4,3,25,14
170,1685,1,0,0,1,4,0,0,0,0,0,0,11,1,0,0,0,0,9,7,3,1,28,18,0,0,33,0,5,0,22,0,2,3,1,1,2,4,0,19,0,2,20,0,11,0,0,49,0,0,11,1,1,0,0,1,3,5,3,17,3
185,1837,0,0,0,3,5,0,0,0,0,0,1,5,0,1,0,3,0,9,11,4,0,34,16,0,0,35,0,0,0,29,0,1,2,0,2,8,2,1,19,0,5,17,0,0,0,0,39,0,1,3,0,0,0,0,0,2,5,2,25,9
195,1938,0,0,0,4,1,4,0,0,2,0,1,7,0,0,0,12,1,5,9,6,0,60,13,0,2,75,0,3,0,13,0,4,2,0,0,0,0,0,12,0,2,16,0,3,0,1,29,0,0,4,0,0,0,0,0,3,3,1,25,7
205,2040,1,0,3,2,3,0,0,0,0,0,1,5,1,2,0,2,0,5,10,2,0,35,14,0,0,43,0,3,2,25,0,3,4,0,0,1,1,1,11,0,4,20,0,7,0,0,43,0,0,4,1,0,0,0,0,4,0,4,23,10
215,2141,0,1,0,1,7,0,0,0,0,0,1,6,2,0,0,4,0,3,9,5,0,36,18,0,1,30,0,0,0,31,0,4,1,0,0,0,2,0,16,0,2,17,0,15,0,0,35,1,0,7,1,0,0,1,0,2,3,0,45,7
225,2243,0,1,1,4,3,0,1,0,0,0,1,13,3,0,0,3,0,6,12,1,0,46,10,1,0,46,0,1,0,44,0,2,2,0,0,11,1,0,12,0,2,8,0,0,0,0,40,0,0,3,0,0,0,0,0,3,2,4,22,8
235,2344,0,0,0,2,6,0,0,0,1,0,1,5,0,0,0,4,1,3,9,3,0,28,16,1,0,29,0,1,0,16,0,0,0,0,0,1,5,0,14,0,3,59,0,8,0,0,41,0,0,7,0,0,0,1,0,4,6,0,19,7
245,2446,0,0,0,1,3,0,1,0,0,0,0,4,0,0,0,2,0,2,6,1,0,30,23,0,0,28,0,4,0,26,0,1,1,0,0,0,10,0,11,0,2,28,0,10,0,0,46,0,0,13,0,0,0,0,0,3,6,4,17,8
255,2547,0,0,0,2,2,0,1,1,0,0,0,12,1,0,0,2,0,3,10,0,0,24,16,0,0,27,0,4,0,37,0,0,2,0,0,0,1,0,17,0,8,32,0,4,0,0,48,0,0,3,1,0,0,0,0,4,0,0,48,2
270,2700,1,0,0,4,1,0,0,0,0,0,0,8,0,0,0,2,0,5,6,4,0,23,12,2,0,40,0,1,0,35,0,4,2,0,0,4,2,1,11,0,7,20,0,14,0,0,41,0,0,3,0,0,0,0,0,9,7,1,19,8
280,2801,0,0,0,1,4,0,0,0,0,0,2,7,0,0,0,2,0,4,4,1,0,23,12,0,0,20,0,0,0,36,0,3,2,0,0,0,1,0,15,0,5,57,0,4,1,0,55,0,1,7,0,0,0,0,0,2,4,3,24,2
290,2903,1,1,0,4,8,0,0,1,0,0,2,9,2,0,0,7,1,4,9,2,1,21,20,1,0,35,0,1,1,41,0,1,3,0,0,3,7,0,15,0,3,40,0,6,1,0,57,0,1,6,0,0,0,0,0,6,7,9,27,4
301,3049,0,0,0,1,2,0,0,0,0,0,0,9,0,0,0,6,0,3,3,1,0,17,15,1,1,15,0,2,0,22,0,0,3,0,0,0,3,0,18,0,4,74,0,8,0,0,76,0,0,9,1,0,0,0,0,5,6,1,23,2
311,3257,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,3,0,3,9,3,0,36,39,1,0,26,0,1,0,17,0,2,1,0,1,15,1,0,14,0,4,33,1,0,0,0,35,0,0,7,0,0,0,0,0,6,5,3,16,2
320,3417,1,1,0,1,2,0,0,0,0,0,0,12,3,0,0,1,0,1,5,3,0,16,26,0,1,19,0,1,0,19,0,0,0,0,0,1,1,0,23,0,5,44,0,7,0,0,52,0,0,8,0,0,0,0,0,8,6,3,26,4
330,3594,0,0,0,0,3,0,0,0,0,0,0,8,3,0,0,1,0,4,5,0,0,29,30,0,0,24,0,1,0,33,0,0,0,0,0,5,4,1,8,0,1,43,0,5,0,0,44,0,0,4,0,0,0,0,0,13,6,1,14,2
338,3736,0,0,0,0,3,2,0,0,0,0,0,4,0,0,0,1,0,0,5,2,0,22,17,0,0,20,0,2,0,30,0,0,2,0,0,1,2,0,15,0,1,73,0,5,1,0,51,0,0,10,0,0,0,0,0,16,5,1,23,5
350,3950,0,0,0,4,2,0,0,0,0,0,0,11,0,0,0,0,0,6,4,4,0,18,14,0,0,29,0,4,0,54,0,0,3,0,0,6,4,0,15,0,9,34,0,17,0,0,45,1,0,9,2,0,0,0,0,8,3,2,20,4
360,4127,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,2,0,20,18,0,0,8,0,3,1,26,0,0,0,0,0,3,2,0,20,0,5,63,0,9,1,0,57,0,0,7,0,0,0,2,0,2,11,0,26,2
370,4305,0,0,0,3,4,0,0,0,0,0,0,4,0,0,0,3,0,3,13,2,0,27,24,0,0,33,0,1,0,31,0,0,2,0,0,1,1,0,11,0,5,61,0,10,0,0,59,0,1,6,0,0,0,0,0,2,3,6,17,9
