"sample.depths","sample.ages","upland.sum","Acer.rubrum","Betula","Carya","Castanea","Cupressaceae","Cyperaceae","Fagus","Poaceae.undiff.","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.lanceolata","Platanus","Prunus.type","Quercus","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Fraxinus","Juglans","Amaranthaceae","Acer.saccharum","Ericaceae","Picea","Fabaceae","Cornus","Rhamnus","Caprifoliaceae.undiff.","Corylus","Liquidambar","Plantago.major","Brassicaceae.type","Celtis","Vitis","Myrica","Oxalidaceae","Acer.undiff.","Aquifoliaceae","Liliaceae","Rosaceae.undiff.","Viburnum","Apiaceae","Ephedra","Populus","Lamiaceae","Ranunculus","Urtica","Solanaceae","Abies","Polygonum","Thalictrum","Humulus","Rhus","Cephalanthus","Tilia","Saxifraga","Zea","Eriogonum","Artemisia"
0.5,-34,714,2,128,8,16,8,4,16,20,2,14,20,10,38,2,4,8,256,14,4,34,2,6,12,48,18,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,-21,782,8,144,16,10,2,0,22,24,0,8,16,4,46,6,4,0,314,16,0,26,2,12,8,54,12,6,0,8,4,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,-8,786,12,108,16,20,8,2,16,32,0,10,16,8,38,6,2,0,290,20,2,40,2,4,14,70,8,2,4,16,0,4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,8,754,12,136,10,24,12,2,28,26,2,2,10,8,18,2,4,0,284,8,2,16,0,14,14,68,26,2,0,2,2,2,0,0,2,0,0,2,2,2,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.5,18,878,8,142,6,36,6,0,14,52,0,24,10,0,68,4,6,0,242,20,0,36,2,12,20,116,12,4,2,10,0,2,0,4,0,0,6,0,2,2,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.5,30,966,2,162,4,68,8,2,58,54,0,8,16,14,66,6,4,2,198,36,2,36,10,8,26,118,12,2,4,8,0,12,0,0,0,0,0,0,0,4,2,0,10,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.5,35,924,8,118,8,64,8,2,40,54,6,24,24,16,82,4,4,0,168,68,4,48,0,2,24,100,6,2,0,12,2,4,0,0,0,0,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
18.5,41,820,4,114,4,58,8,4,32,50,2,12,50,20,80,0,2,0,154,24,2,56,2,6,26,72,6,4,4,8,0,4,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
20.5,55,836,0,104,12,26,8,4,42,30,0,2,18,14,106,0,2,0,190,10,0,96,4,4,24,88,6,0,2,22,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
22.5,71,750,4,86,0,24,2,0,22,26,0,12,40,28,92,2,4,0,180,18,0,102,0,8,26,46,6,0,0,10,0,4,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
25.5,98,776,0,86,4,42,0,0,32,6,2,10,28,16,114,0,4,0,186,12,0,122,2,10,36,18,12,0,0,22,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
28.5,125,730,4,74,4,32,0,0,52,10,2,8,44,34,98,0,6,0,186,8,0,86,0,2,20,26,6,0,2,6,0,10,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
31.5,130,760,4,84,8,20,6,0,48,10,2,2,26,38,168,0,2,0,168,2,0,108,0,0,14,14,4,0,0,12,2,6,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
34.5,135,912,8,104,10,34,2,0,52,6,6,14,68,38,142,0,2,0,198,14,0,106,2,16,14,26,8,0,0,20,2,12,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
37,140,838,4,104,12,22,2,2,40,4,0,20,64,64,120,2,0,0,176,8,4,116,0,6,24,6,12,2,0,8,0,4,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0
43,150,768,2,58,20,32,4,0,48,0,2,10,50,48,126,0,4,0,140,2,0,128,0,10,18,14,12,2,0,14,2,10,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
47,171,742,4,82,16,20,0,2,54,4,2,12,52,16,156,0,4,0,170,0,0,90,0,6,8,6,10,2,0,10,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
53,202,698,2,54,4,10,4,0,36,0,0,12,60,44,142,0,6,0,174,0,0,114,0,2,12,0,0,6,0,4,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
57,223,676,0,82,14,18,4,2,30,2,2,6,74,36,98,0,4,0,152,0,0,82,4,4,18,0,12,0,0,12,2,8,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2
61,386,852,0,88,16,26,2,2,62,0,0,6,30,42,152,0,0,0,220,0,0,122,0,8,20,4,22,2,0,12,2,8,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
