"sample.depths","sample.ages","upland.sum","Abies","Acer","Alnus","Betula","Caprifoliaceae","Carya","Castanea","Celtis","Cephalanthus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myricaceae","Nyssa","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnaceae","Rhus","Salix","Taxus","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Cannabaceae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae","Commelinaceae","Cyperaceae","Fabaceae","Galium","Hepatica","Liliaceae","Plantago","Poaceae.undiff.","Polygonum","Ranunculaceae.undiff.","Rosaceae","Rumex","Saxifragaceae","Thalictrum","Urticaceae","Zea.mays"
110,1281,465,0,11,46,54,0,29,7,0,4,1,0,0,14,7,0,0,0,0,0,0,0,0,13,1,12,12,4,0,194,0,1,0,0,0,35,5,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0
120,1402,442,0,6,41,60,0,21,14,0,2,0,1,0,21,2,1,4,0,0,0,0,0,1,5,0,10,13,0,0,190,0,2,0,0,0,17,10,0,0,1,3,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0
140,1642,449,0,7,34,41,0,25,12,0,3,1,0,0,12,12,2,1,0,0,0,0,0,1,11,0,16,16,4,0,183,0,0,1,0,0,30,9,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,1,0,0
160,1882,423,0,12,26,51,0,19,10,0,1,1,0,1,19,13,0,2,0,0,0,0,0,0,4,0,12,12,4,0,176,0,0,0,0,2,30,11,1,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,2050,464,0,5,28,62,0,23,9,0,0,3,0,0,21,6,0,2,0,0,0,0,0,2,12,0,18,16,3,0,182,0,1,0,0,1,36,3,1,0,0,1,0,0,0,0,0,0,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0
195,2302,470,0,4,34,46,0,22,19,0,2,1,0,0,22,9,0,2,1,0,1,0,1,1,10,0,13,13,2,0,209,0,0,4,0,2,27,4,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0
215,2543,437,0,8,39,41,0,27,14,0,3,0,0,0,17,9,0,0,0,0,0,0,0,0,5,0,21,20,0,0,187,0,1,0,0,1,20,7,0,0,0,0,1,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0
235,2783,483,0,10,28,49,0,31,26,0,1,1,0,0,15,11,0,0,0,0,0,0,0,0,11,0,20,18,7,0,204,0,0,0,0,0,22,10,1,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0
271,3215,431,0,9,23,58,0,21,25,0,1,0,1,0,28,17,0,3,0,0,0,0,0,2,13,1,18,11,2,0,155,0,0,0,0,4,9,10,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0
291,3455,427,0,17,27,52,0,26,26,0,0,1,0,0,45,22,0,2,0,0,0,0,1,0,10,0,20,14,4,1,128,0,0,0,0,0,9,3,2,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0
