"sample.depths","sample.ages","upland.sum","Abies","Acer","Alnus","Betula","Caprifoliaceae","Carya","Castanea","Celtis","Cephalanthus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myricaceae","Nyssa","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnaceae","Rhus","Salix","Taxus","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Cannabaceae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae","Commelinaceae","Cyperaceae","Fabaceae","Galium","Hepatica","Liliaceae","Plantago","Poaceae.undiff.","Polygonum","Ranunculaceae.undiff.","Rosaceae","Rumex","Saxifragaceae","Thalictrum","Urticaceae","Zea.mays"
879.5,8986,565,0,3,14,21,0,2,1,0,2,4,2,0,2,9,0,0,0,17,0,0,0,0,12,0,33,41,2,0,339,0,0,2,0,2,26,14,5,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0
889.5,9068,500,2,8,3,17,0,1,1,1,3,6,0,0,1,21,0,0,0,6,0,0,0,0,8,1,26,53,0,1,292,0,0,3,0,0,25,10,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0
899.5,9151,420,0,1,9,16,0,0,1,0,0,3,1,0,1,7,0,0,0,7,0,0,0,0,10,0,4,25,4,0,290,0,0,5,0,0,21,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
914.5,9276,480,0,0,11,16,0,1,1,1,0,5,3,0,0,3,1,0,0,4,1,0,1,0,6,1,42,49,1,0,266,0,0,2,0,0,34,12,3,0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0
919.5,9317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
925.5,9367,500,1,3,4,9,0,1,0,0,1,5,0,0,1,11,0,0,0,2,0,0,1,0,11,0,50,44,0,0,287,0,0,3,0,0,45,10,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0
935.5,9449,540,0,2,8,11,0,0,2,0,0,4,1,0,1,7,1,0,0,0,0,0,0,1,19,0,32,32,6,1,355,0,0,5,0,2,31,10,2,0,1,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
945.5,9532,497,0,1,10,12,0,1,0,1,1,4,1,0,2,7,0,0,0,2,0,0,0,0,6,0,48,31,0,0,310,0,0,2,0,1,41,7,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
955.5,9615,602,2,5,6,16,0,1,0,0,0,4,0,0,1,8,0,0,0,0,0,0,1,0,27,0,39,34,0,0,395,0,0,1,0,0,39,10,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0
965.5,9698,432,0,2,4,14,0,1,1,0,0,0,1,0,0,9,0,0,0,1,0,0,2,0,6,0,22,30,3,0,279,0,0,1,0,0,32,12,5,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
975.5,9781,569,0,6,5,17,0,1,0,0,0,1,0,0,2,12,1,0,0,0,0,0,1,0,13,0,24,53,2,0,376,0,0,2,0,1,30,14,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
985.5,9864,520,0,3,4,16,0,2,1,0,1,1,0,0,1,6,0,3,0,5,0,0,1,0,10,0,33,25,5,0,346,0,0,2,0,1,30,10,6,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0
995.5,9946,429,0,1,3,15,0,1,0,0,0,4,0,0,0,8,0,0,0,1,0,0,1,0,6,0,27,35,0,0,277,0,0,1,0,1,31,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1005.5,10029,476,0,1,3,4,0,1,0,0,0,6,0,0,0,7,0,1,0,0,0,0,2,0,11,0,29,28,0,0,300,0,0,3,0,0,53,20,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1009.5,10062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014.5,10104,519,30,0,73,166,0,0,0,0,0,1,3,0,1,6,0,0,0,3,0,0,1,0,9,62,50,74,0,0,13,0,0,3,2,0,4,3,1,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,2,0,0
1024.5,10966,518,44,0,91,143,0,0,0,0,0,2,0,0,1,3,0,0,0,2,0,0,0,0,4,78,29,79,0,7,11,0,0,2,3,0,2,1,0,1,1,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1034.5,11449,456,20,2,107,65,0,0,0,0,0,2,5,0,0,2,0,0,0,1,0,0,3,0,3,73,19,112,0,7,11,0,0,4,5,0,3,0,0,1,2,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,1,0,0
1044.5,11931,420,40,0,66,34,0,1,0,0,1,0,10,0,0,3,0,0,0,2,0,0,4,2,4,62,26,133,0,0,14,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,4,0,0
1054.5,12414,518,18,0,77,37,0,0,0,0,0,1,5,0,0,4,0,0,0,1,0,0,3,0,15,75,24,219,0,7,10,1,0,0,4,0,2,1,1,0,1,3,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,2,1,0,0
1064.5,13181,566,16,0,17,21,0,1,0,0,0,1,0,0,1,12,0,0,0,3,0,0,1,0,24,51,2,360,0,1,38,0,0,1,0,0,0,3,0,0,1,4,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0
1074.5,13345,472,13,0,10,29,0,2,0,0,0,2,0,3,4,23,0,0,0,1,0,0,4,0,26,32,6,242,0,1,44,0,0,5,0,0,0,2,1,0,3,4,0,0,0,1,0,0,8,0,0,0,0,0,5,0,0,0,0,0,1,0,0
1084.5,13508,539,13,0,18,26,0,1,0,0,0,4,0,0,5,9,0,1,0,4,1,0,4,0,51,64,11,239,0,0,44,0,0,0,1,0,3,3,1,0,0,5,0,0,0,0,0,0,21,0,1,0,0,0,8,0,0,0,0,0,1,0,0
1089.5,13793,520,11,0,15,36,0,0,0,0,0,7,0,0,1,15,1,0,0,1,0,0,3,0,33,76,6,227,0,1,55,0,0,4,0,0,1,0,0,1,0,5,0,0,0,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0,3,0,0
1091,13905,467,11,0,5,18,0,2,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,33,97,1,190,0,0,49,0,1,8,0,0,0,1,2,0,2,4,0,0,0,0,2,0,10,0,0,0,0,0,5,0,0,0,0,1,0,0,0
1096,14263,462,52,3,10,20,0,1,0,0,0,1,1,0,0,10,0,0,0,12,0,0,2,0,10,147,2,110,0,0,40,0,0,5,0,0,0,1,2,0,6,4,0,0,0,0,0,0,10,0,0,0,0,0,13,0,0,0,0,0,0,0,0
1106,14751,580,50,0,11,28,0,0,0,0,0,3,0,0,0,13,0,0,0,9,0,0,6,0,17,160,1,192,0,0,36,0,0,8,0,0,1,0,0,0,0,6,0,0,0,0,0,0,24,0,0,0,0,0,9,0,0,0,0,0,4,2,0
1116,15430,423,3,0,7,40,0,0,0,0,0,3,0,0,0,1,0,0,0,5,0,0,4,0,20,147,0,71,0,0,58,0,0,9,0,0,0,2,0,0,5,10,0,0,0,1,0,0,25,0,0,0,0,0,12,0,0,0,0,0,0,0,0
1126,16119,490,0,0,6,23,0,0,0,0,0,3,0,0,0,18,0,0,0,2,0,0,2,0,16,225,2,83,0,0,12,0,0,21,0,0,0,0,3,0,4,6,0,0,0,1,0,0,47,0,0,0,0,0,12,0,0,0,0,0,2,2,0
1136,17008,518,2,0,16,63,0,0,0,0,0,2,0,3,0,3,0,0,0,8,0,0,0,0,5,158,0,157,0,2,20,0,0,17,0,0,0,3,1,1,7,7,0,0,0,0,0,0,30,0,0,0,0,0,7,1,0,0,0,1,4,0,0
1146,17896,451,0,0,24,18,0,0,0,0,0,0,0,5,0,3,0,0,0,1,0,0,0,0,1,113,0,195,0,0,9,0,0,27,0,0,0,1,1,0,11,4,0,0,0,0,0,0,33,0,0,0,0,0,3,0,0,0,0,0,2,0,0
1161,19229,498,1,1,38,7,0,1,0,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0,1,101,0,227,0,0,8,0,1,16,0,0,0,1,0,0,15,5,0,0,0,0,1,0,53,0,0,0,0,0,8,0,0,0,0,0,7,0,0
1165,19585,467,21,0,11,26,0,3,0,0,0,0,0,2,0,4,0,0,0,1,0,0,2,0,14,158,1,137,0,0,29,0,1,7,0,0,0,0,2,1,0,2,0,0,0,0,0,0,28,1,0,0,0,0,9,0,0,0,0,0,6,1,0
1166,19673,504,1,0,31,2,0,2,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,13,89,2,269,0,0,19,0,0,11,0,0,1,0,0,1,7,4,0,0,0,0,1,0,32,0,3,0,0,0,7,0,0,0,0,0,3,0,0
1171,20118,511,1,0,27,0,0,0,2,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,83,2,293,0,1,9,0,0,7,0,0,0,1,1,0,7,4,0,0,0,0,2,0,49,0,0,0,0,0,9,0,0,0,1,0,4,0,0
1181,21006,491,2,1,18,4,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,2,66,0,284,0,0,3,0,0,5,0,1,0,0,3,1,14,5,1,0,0,1,1,0,54,0,0,0,0,0,14,0,0,0,0,0,6,0,0
1191,21895,457,0,0,9,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,111,0,263,0,0,5,0,0,5,0,0,0,0,2,0,8,0,0,0,0,0,2,0,36,1,0,0,0,0,5,0,0,0,0,0,1,0,0
1201,22783,522,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,72,0,312,0,1,13,0,1,9,0,0,0,0,4,0,16,3,2,0,0,2,2,0,44,0,0,0,0,0,14,0,0,0,1,0,5,1,0
1211,23671,462,2,1,16,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,90,0,261,0,1,6,0,0,14,0,0,0,0,2,0,9,4,0,0,0,0,0,0,40,0,0,0,0,0,4,0,0,0,1,0,3,0,0
1221,24560,481,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,64,0,318,0,0,3,0,0,9,0,0,0,0,3,0,7,2,0,0,0,0,0,0,56,0,0,0,0,0,4,0,0,0,0,0,3,0,0
1231,25448,468,0,4,5,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,81,0,287,0,0,17,0,0,11,0,0,0,1,3,0,5,3,0,0,0,0,0,0,33,0,0,0,0,0,7,0,0,0,1,0,1,0,0
1241,26337,452,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72,0,337,0,0,1,0,0,7,0,0,2,0,0,0,3,2,0,0,0,1,1,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1251,27225,508,0,0,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,64,0,335,0,0,3,0,0,10,0,0,0,0,0,0,15,4,0,0,0,1,0,0,48,0,0,0,0,0,9,0,0,0,0,3,3,0,0
