"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.spicatum","Alnus.incana.type","Alnus.undiff.","Alnus.viridis","Amaranthaceae.undiff.","Ambrosia.type","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Callitriche","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Ephedra.trifurca.type","Equisetum","Eucalyptus","Fabaceae.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Humulus","Indeterminable","Indeterminable.undiff.","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Lamiaceae","Laportea.type","Larix","Lycopodium.type","Morus.rubra","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Oxytropis","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Potamogetonaceae","Potentilla.type","Pteridium.type","Quercus","Ranunculus","Rhus","Rosaceae.undiff.","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sphagnum","Spiraea.type","Thalictrum","Tilia","Triantha.glutinosa","Tsuga","Typha.Sparganium","Ulmus","Unknown","Urtica.type","Viburnum.opulus","Vitis","Woodsia"
451,9905,2,0,0,0,0,0,2,1,0,0,5,1,0,31,0,2,0,0,0,2,7,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,1,0,0,0,3,0,17,82,0,136,0,3,4,0,0,4,9,0,0,0,2,0,0,0,0,0,0,0,0,0,12,1,0,0,0,1
456,10007,1,1,0,0,5,0,6,7,1,0,22,1,0,44,0,0,0,1,0,1,5,3,0,5,0,1,419,0,2,1,1,17,18,0,0,0,0,0,0,0,5,0,0,18,0,0,0,0,12,0,21,91,18,220,0,2,8,1,0,4,11,0,0,0,9,0,1,0,0,1,0,0,0,3,13,1,0,0,0,0
459,10067,0,1,0,0,3,0,2,10,0,0,9,0,0,47,0,0,0,1,0,4,8,9,0,1,0,2,223,0,6,0,2,12,14,1,0,0,0,0,0,1,2,1,0,2,2,0,0,0,5,0,24,85,5,117,0,7,11,0,0,5,13,0,0,1,4,0,0,0,0,0,1,0,0,1,19,2,0,0,0,0
462,10128,3,0,0,1,0,0,5,1,0,0,7,1,0,46,0,0,1,0,0,0,1,6,0,1,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,4,0,37,52,3,132,0,3,8,3,0,1,11,0,0,0,2,0,0,0,0,0,0,0,1,1,10,4,0,0,0,0
465,10189,0,2,0,0,7,0,0,4,0,0,9,0,0,52,0,0,0,1,0,1,12,4,0,4,1,5,227,0,4,0,0,17,17,1,1,0,2,0,0,0,6,1,0,7,2,0,0,0,6,0,36,91,11,173,1,5,14,0,0,0,23,0,0,0,6,0,2,1,0,0,0,0,0,0,27,2,0,0,0,0
467,10229,1,1,0,0,3,0,2,8,0,0,11,0,0,74,0,0,0,1,1,5,34,3,0,8,0,3,418,0,7,0,1,32,33,1,1,1,1,0,0,0,12,2,0,17,4,0,0,0,4,0,68,84,9,147,0,12,20,2,0,2,16,0,0,1,4,0,1,0,0,0,0,0,0,0,30,1,0,0,0,0
470,10290,0,1,0,0,1,0,6,6,0,0,11,0,0,63,0,0,0,1,0,4,50,7,0,6,0,2,255,0,6,0,0,9,9,0,0,0,1,0,0,0,6,0,0,3,0,0,0,0,6,0,89,35,8,118,0,2,10,1,0,1,20,0,0,0,9,0,1,0,0,0,0,0,0,0,18,0,0,1,0,0
472,10331,1,1,0,3,0,0,2,1,0,0,11,2,0,63,0,0,0,4,0,5,31,8,0,2,0,0,0,0,2,1,0,0,4,0,0,0,1,0,0,0,9,1,0,2,1,0,0,0,5,0,84,33,2,86,1,2,23,3,1,2,12,0,0,1,5,0,1,0,0,0,0,0,0,0,28,1,0,1,0,0
475,10391,0,1,0,0,6,0,12,10,0,0,22,4,0,62,0,0,0,0,0,2,70,6,0,6,0,0,333,0,9,0,1,27,27,1,0,0,2,0,0,0,14,2,0,1,0,0,0,0,10,0,77,28,2,60,1,8,22,0,0,2,33,0,0,1,5,1,1,0,0,0,1,0,0,1,49,2,1,0,0,0
478,NA,0,0,0,0,2,0,8,10,0,0,12,1,1,24,0,0,0,1,0,1,45,10,0,11,0,0,115,0,4,0,0,13,14,0,0,0,4,1,0,0,16,1,0,1,0,0,0,0,5,0,86,19,1,82,1,7,17,0,0,2,29,0,0,0,6,1,1,0,0,0,0,0,0,1,41,1,0,0,0,0
479,NA,1,2,0,0,0,0,3,14,0,0,13,4,0,16,0,0,0,1,0,1,51,2,0,4,0,4,217,0,5,1,1,10,12,0,1,0,1,0,0,1,3,1,0,0,2,0,0,0,9,0,79,34,3,69,0,2,8,0,0,5,22,0,0,2,5,0,3,0,0,0,0,0,0,2,32,2,0,0,3,0
480,NA,0,0,0,0,1,0,6,4,0,0,7,3,0,23,0,0,0,2,0,0,29,5,0,3,0,1,270,0,1,0,1,11,11,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,6,0,59,27,1,53,0,5,11,0,0,0,24,0,0,0,3,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
482,NA,0,1,0,0,0,0,5,5,0,0,10,4,0,10,0,0,1,0,0,5,23,4,0,3,0,0,0,0,2,0,0,0,0,2,1,0,1,1,0,0,2,0,1,0,1,0,0,0,7,0,100,13,0,43,0,6,12,1,0,1,21,0,0,0,3,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0
483,NA,0,1,0,0,6,0,6,12,0,0,18,1,0,17,0,0,0,1,0,2,50,6,0,2,0,1,199,0,4,0,0,15,18,0,0,1,0,0,0,0,15,1,0,0,2,0,0,0,5,0,61,11,1,32,0,10,15,1,0,3,26,0,0,0,7,0,1,0,0,0,0,0,0,0,33,3,0,0,0,0
487,NA,0,3,0,0,2,0,3,6,0,0,24,1,0,7,0,0,0,1,0,1,36,13,0,2,0,2,197,0,11,5,2,20,25,2,0,0,2,0,0,0,8,0,0,1,4,0,0,0,4,0,88,16,0,50,0,6,9,0,0,1,24,0,0,1,6,0,1,0,0,0,0,0,0,0,40,5,0,0,0,0
502,NA,4,1,0,3,0,0,3,0,0,0,0,2,0,19,0,0,0,1,0,8,7,17,0,7,0,0,0,0,18,2,0,0,8,4,0,0,4,0,0,0,0,1,0,0,0,0,0,0,7,0,114,13,0,60,0,2,1,0,0,1,18,0,0,0,5,1,0,0,0,0,0,0,0,0,20,3,0,0,0,0
