"sample.depths","sample.ages","Acer.pensylvanicum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Picea.mariana.type","Pinus.undiff.","Quercus","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Acer.spicatum","Artemisia","Fraxinus.pennsylvanica.type","Larix","Tilia","Myrica.gale","Nemopanthus.mucronatus","Juglans.cinerea","Salix","Rubiaceae","Carya.ovata","Taxus","Asteraceae.subf..Asteroideae.undiff.","Rosaceae","Castanea.dentata","Ambrosia.type","Corylus.cornuta","Amaranthaceae","Populus.tremuloides.type","Populus.balsamifera.type","Thalictrum","Fabaceae","Viburnum.edule","Picea.glauca.type","Polygonaceae","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Shepherdia.canadensis","Caryophyllaceae","Ericaceae","Ranunculaceae.undiff.","Saxifragaceae","cf..Oxyria.digyna","Onagraceae"
10,498,0.0075046904315197,0.00187617260787992,0.024390243902439,0.0131332082551595,0.709193245778612,0.00187617260787992,0.0206378986866792,0.00375234521575985,0.0206378986866792,0.0825515947467167,0.0075046904315197,0.00187617260787992,0.00938086303939963,0.00187617260787992,0.0187617260787993,0.00187617260787992,0.00375234521575985,0.0375234521575985,0.00375234521575985,0.00562851782363977,0.0225140712945591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1494,0.00634249471458774,0,0.0232558139534884,0.00634249471458774,0.682875264270613,0,0.0232558139534884,0.00211416490486258,0.025369978858351,0.105708245243129,0.00634249471458774,0.00634249471458774,0.0147991543340381,0,0.0147991543340381,0,0,0.0380549682875264,0,0.00211416490486258,0.025369978858351,0.00211416490486258,0.00211416490486258,0.00211416490486258,0.00211416490486258,0.00422832980972516,0.00211416490486258,0.00211416490486258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1992,0,0,0.0136986301369863,0.00587084148727984,0.659491193737769,0.00195694716242661,0.0215264187866928,0,0.0273972602739726,0.101761252446184,0.00978473581213307,0.00195694716242661,0.00587084148727984,0,0.0176125244618395,0.00978473581213307,0.00195694716242661,0.0410958904109589,0.0371819960861057,0.00587084148727984,0.025440313111546,0.00391389432485323,0.00195694716242661,0,0,0,0,0,0.00195694716242661,0.00195694716242661,0.00195694716242661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2989,0,0,0.0155979202772964,0,0.660311958405546,0.00173310225303293,0.0121317157712305,0.00519930675909879,0.0207972270363951,0.133448873483536,0.0138648180242634,0.00173310225303293,0.00519930675909879,0,0.024263431542461,0.00693240901213172,0,0.0675909878682842,0.0121317157712305,0.00173310225303293,0.0121317157712305,0,0.00173310225303293,0,0,0,0,0.00173310225303293,0,0,0,0.00173310225303293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3985,0.0056710775047259,0,0.0396975425330813,0.00378071833648393,0.697542533081285,0.00378071833648393,0.0207939508506616,0.0113421550094518,0.00378071833648393,0.0945179584120983,0.00945179584120983,0.0113421550094518,0,0,0.00945179584120983,0.00945179584120983,0.0056710775047259,0.054820415879017,0,0.00189035916824197,0.0056710775047259,0.00189035916824197,0.00189035916824197,0,0,0,0,0,0,0,0,0,0.00189035916824197,0.00189035916824197,0.00189035916824197,0.00189035916824197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,4981,0.00301659125188537,0.00301659125188537,0.0331825037707391,0,0.633484162895928,0.00150829562594268,0.0105580693815988,0.00603318250377074,0.024132730015083,0.116138763197587,0.0211161387631976,0.00452488687782805,0,0.00150829562594268,0.00754147812971342,0.00452488687782805,0.00150829562594268,0.0889894419306184,0,0,0.0150829562594268,0,0,0.00452488687782805,0.00150829562594268,0,0,0.00150829562594268,0.00150829562594268,0,0,0,0.00904977375565611,0,0.00301659125188537,0,0.00301659125188537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,5758,0.00306278713629403,0,0.0260336906584992,0.00765696784073507,0.614088820826952,0.00153139356814701,0.00153139356814701,0.00612557427258806,0.0137825421133231,0.136294027565084,0.00765696784073507,0.00306278713629403,0,0.00153139356814701,0.00459418070444104,0.00153139356814701,0.00918836140888208,0.0842266462480858,0.00153139356814701,0.0183767228177642,0.0168453292496172,0.00459418070444104,0,0,0.00612557427258806,0,0.00153139356814701,0.00153139356814701,0,0,0.00153139356814701,0.00153139356814701,0.0107197549770291,0.00153139356814701,0.00153139356814701,0.00306278713629403,0.00306278713629403,0.00459418070444104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,6404,0.00190839694656489,0.00190839694656489,0.0591603053435115,0.0133587786259542,0.547709923664122,0,0.00190839694656489,0.0152671755725191,0.0114503816793893,0.152671755725191,0.0229007633587786,0.0133587786259542,0,0,0.017175572519084,0.00763358778625954,0.00190839694656489,0.0782442748091603,0,0.0190839694656489,0.0114503816793893,0,0.00381679389312977,0.00190839694656489,0,0,0,0,0,0,0,0,0.00572519083969466,0,0,0,0,0.00954198473282443,0.00190839694656489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,7049,0,0.00161812297734628,0.0631067961165049,0.0323624595469256,0.441747572815534,0.00485436893203883,0.00323624595469256,0.0129449838187702,0.0161812297734628,0.190938511326861,0.0372168284789644,0.00647249190938511,0.00161812297734628,0,0.0145631067961165,0.00323624595469256,0.00485436893203883,0.0970873786407767,0,0.00323624595469256,0.0145631067961165,0,0.00323624595469256,0.00485436893203883,0.00647249190938511,0,0.00323624595469256,0,0,0.00323624595469256,0,0,0.0177993527508091,0,0,0,0.00161812297734628,0.00647249190938511,0,0.00323624595469256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,7695,0,0,0.00255102040816327,0.0153061224489796,0.579081632653061,0,0.00255102040816327,0.0076530612244898,0.0178571428571429,0.163265306122449,0.0255102040816327,0.0102040816326531,0.00255102040816327,0.00255102040816327,0.0204081632653061,0.00255102040816327,0.0102040816326531,0.0739795918367347,0,0.0127551020408163,0.0204081632653061,0.00255102040816327,0.00255102040816327,0.00510204081632653,0,0,0.00255102040816327,0,0,0,0,0,0.0102040816326531,0,0,0,0,0,0,0.0076530612244898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
