"depth","best.age","min.age","max.age"
30,64,43,86
35,81,56,106
40,98,70,126
45,115,83,146
50,132,97,167
55,149,110,187
60,166,123,207
65,183,137,229
70,200,150,249
90,284,237,332
110,368,320,416
130,452,401,503
150,536,480,593
170,620,556,682
190,704,631,772
210,788,707,863
230,872,783,955
250,956,857,1046
270,1040,932,1138
290,1124,1007,1231
310,1208,1081,1324
330,1292,1155,1417
350,1375,1229,1510
370,1459,1302,1603
390,1543,1376,1697
410,1626,1460,1779
420,1667,1503,1818
430,1708,1546,1858
440,1749,1588,1898
450,1790,1631,1939
470,1872,1715,2021
490,1954,1798,2103
510,2036,1881,2186
530,2118,1963,2271
550,2200,2044,2356
590,2364,2202,2530
610,2446,2278,2617
710,2856,2649,3071
810,3266,3007,3536
910,3676,3364,4012
1010,NA,NA,NA
