"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Carpinus","Caryophyllaceae","cf..Myrica","Corylus","Crataegus","Cyperaceae","Epilobium","Ericales","Eriocaulon","Fagus","Filicopsida.undiff.","Fraxinus","Galium","Indeterminable","Isoëtes","Juglans","Juniperus","Lycopodiaceae","Myrica","Myriophyllum","Nemopanthus","Nuphar","Osmunda","Oxyria.digyna","Picea","Pinus","Poaceae","Populus","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex.type","Salix","Sphagnum","Taxus","Thalictrum","Typha.Sparganium","Ulmus","Urticaceae","Viburnum"
5,130,24,0,40,0,0,0,95,0,0,0,8,0,0,1,0,2,1,0,0,0,0,15,1,0,2,0,4,0,0,0,0,0,118,26,1,1,1,0,0,0,0,5,0,1,0,0,0,0
15,451,21,0,62,0,0,1,74,0,0,0,8,0,0,7,0,2,0,0,1,0,1,21,0,0,0,0,8,1,0,0,0,0,106,31,3,4,0,0,0,0,0,6,0,0,0,0,0,0
30,932,13,0,57,0,1,0,75,0,0,0,6,0,0,3,0,3,0,0,1,0,0,18,6,0,0,0,2,0,1,1,0,0,122,52,3,0,1,0,1,0,0,7,0,1,0,0,0,0
50,1574,12,0,75,0,0,0,98,0,0,0,3,0,0,3,0,0,0,0,1,0,0,19,3,0,0,0,7,0,0,0,0,0,102,12,3,0,1,0,0,0,0,6,0,0,1,0,0,0
70,2216,11,0,87,0,0,0,118,0,0,0,7,0,0,3,1,0,0,1,1,0,0,15,3,0,2,0,6,0,0,1,0,0,62,16,2,2,0,0,0,0,0,13,0,0,0,1,0,0
90,2858,11,0,41,0,0,0,135,0,0,0,4,0,0,3,0,0,1,0,1,0,0,11,0,0,0,1,3,0,0,0,0,0,76,40,0,0,0,0,0,0,1,10,1,0,0,0,0,0
110,3500,24,0,27,0,0,0,125,0,0,0,6,0,0,1,0,1,0,0,0,0,0,7,1,0,0,1,1,0,0,0,0,0,83,37,1,0,0,0,0,0,0,13,0,0,0,0,0,0
120,3821,25,0,32,0,0,0,120,0,0,0,5,0,0,4,0,1,2,0,0,0,0,14,5,0,1,1,2,0,0,0,0,0,121,22,0,0,1,0,1,0,0,10,2,0,0,0,0,0
130,4142,5,0,76,0,0,1,147,0,1,0,4,1,0,3,0,2,0,0,0,0,0,17,1,0,2,1,6,0,0,0,0,0,50,10,1,0,1,0,0,0,0,6,2,0,0,0,0,1
150,4784,16,0,30,0,0,0,140,0,0,0,1,0,0,0,0,0,0,0,1,1,0,6,0,0,0,1,1,0,0,0,0,0,108,12,0,0,1,0,0,0,0,3,0,0,0,0,0,0
170,5426,21,0,74,0,0,0,151,0,0,0,4,1,0,2,0,0,0,0,1,0,0,11,0,0,1,6,3,0,0,10,1,0,74,16,1,1,0,0,1,0,0,6,0,0,1,0,0,0
180,5747,8,0,58,0,0,0,147,0,0,0,10,0,0,1,0,0,0,0,5,0,0,20,2,0,0,1,2,0,0,0,0,0,49,30,0,1,1,0,0,1,0,5,0,0,0,0,0,0
190,6068,20,0,59,0,0,2,145,0,0,0,6,0,0,1,0,0,0,0,2,0,0,13,0,0,0,1,2,0,1,0,2,0,47,20,0,0,1,0,1,1,0,5,0,0,0,0,0,0
200,6389,41,0,21,0,0,0,165,0,0,0,8,1,0,1,0,0,0,0,6,0,0,9,0,0,0,0,6,0,0,0,0,0,130,32,0,0,0,0,4,0,0,4,0,0,0,0,0,0
210,6710,42,0,30,0,0,0,147,0,0,0,4,0,0,0,0,0,1,0,1,0,0,13,0,0,0,1,5,0,0,0,0,0,74,45,0,0,0,0,0,0,1,2,0,0,0,0,0,0
215,6871,24,0,33,0,0,1,137,0,0,0,16,3,0,0,0,0,0,0,2,0,0,5,0,0,1,1,4,0,0,0,2,0,78,108,0,2,0,0,0,0,2,0,0,0,0,1,0,0
220,7031,10,1,35,0,0,0,185,0,0,0,8,0,1,0,0,0,0,0,0,0,0,14,0,0,1,2,1,0,0,0,0,0,34,49,0,0,1,0,0,0,1,0,1,0,1,0,1,0
225,7192,32,0,45,0,0,1,286,0,0,1,15,6,0,0,0,0,0,0,1,0,0,7,0,0,7,1,10,0,0,0,3,0,94,56,0,4,2,0,0,0,2,0,4,0,0,1,0,0
230,NA,13,0,37,0,0,0,235,0,0,0,14,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,3,0,0,0,0,0,38,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
240,NA,8,0,39,0,0,0,203,0,0,0,15,0,0,0,0,0,0,0,0,0,0,17,0,0,0,2,4,0,0,0,0,0,41,6,0,1,1,0,2,0,0,0,1,0,0,0,0,0
250,NA,13,0,47,0,0,0,219,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13,1,0,0,1,2,0,0,0,0,0,27,3,1,0,0,0,1,1,0,0,0,0,0,1,0,0
270,NA,20,0,23,0,0,0,141,0,0,0,17,1,0,0,0,0,0,0,5,0,0,21,0,0,2,0,16,0,0,0,0,0,117,10,2,1,4,0,0,1,2,1,0,2,0,0,0,0
275,NA,10,0,13,2,0,0,321,1,0,0,2,0,0,7,1,0,0,0,2,0,0,3,0,0,3,0,24,0,0,0,0,0,97,8,3,1,2,0,1,0,1,2,0,4,0,1,0,0
280,NA,27,0,0,0,0,1,304,0,0,0,1,0,0,2,0,0,0,0,3,0,0,5,0,0,1,5,3,0,0,0,0,0,31,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0
285,NA,22,0,0,0,0,1,365,0,0,0,4,1,0,5,0,0,0,0,3,0,0,4,0,0,5,10,13,0,0,0,0,0,27,3,1,0,0,1,2,0,2,1,0,1,0,0,0,0
290,NA,6,0,12,0,0,0,405,0,0,0,7,2,0,10,0,1,0,0,20,0,0,14,0,0,5,38,16,0,0,0,0,0,122,4,1,10,1,0,0,0,10,4,0,1,0,0,1,0
295,NA,9,0,14,0,0,1,187,0,0,0,12,0,0,2,0,3,0,0,46,0,0,16,0,1,2,91,35,0,0,0,0,0,4,6,0,48,6,0,0,0,9,4,0,0,0,1,0,0
302.5,NA,0,0,2,0,1,2,115,0,0,0,0,0,0,2,0,3,0,0,33,0,0,22,0,0,7,124,43,0,0,0,0,0,14,6,4,0,1,1,0,0,2,0,0,0,0,0,0,0
305,NA,0,0,1,0,2,0,92,0,0,0,3,0,0,6,0,7,0,0,4,0,0,7,0,0,1,4,18,0,0,0,0,0,6,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0
307.5,NA,2,0,6,0,3,1,47,0,0,1,1,0,0,31,0,0,0,0,10,0,0,11,0,0,1,11,3,0,0,0,0,0,23,21,6,0,0,0,0,0,2,1,0,0,0,0,0,0
312.5,NA,0,0,0,0,6,2,7,0,0,0,1,0,0,11,0,0,0,0,2,0,0,3,0,0,0,4,0,0,0,0,0,4,6,11,8,0,0,0,2,0,0,2,0,0,0,0,0,0
