"sample.depths","sample.ages","Acer.rubrum","Alnus","Carya","Casuarina","Cephalanthus.occidentalis","Citrus","Clematis.type","Conocarpus","Cornus","Diospyros","Ficus.aurea","Fraxinus.caroliniana","Ilex","Juglandaceae.undiff.","Magnolia.virginiana","Myrica.cerifera","Ostrya","Arecaceae","Picea","Pinus.elliottii","Psychotria","Quercus","Myrsine.cubana","Rhamnaceae","Rhizophora.mangle","Salix.caroliniana.type","Sideroxylon","Taxodium","Trema.micrantha","Ulmus","Vitis","Zanthoxylum.fagara","Amaranthaceae","Salicornia.type","Chenopodium.album.type","Asteraceae.subf..Asteroideae.undiff.","Ambrosia","Artemisia","Iva.frutescens","Anacardiaceae","Apiaceae","Brassicaceae","Euphorbiaceae","Fabaceae.undiff.","Crotalaria.type","Hippocratea.type","Hypericum","Lamiaceae","Ludwigia","Polygalaceae","Polygonum","Rumex","Sabatia.type","Solanaceae","Urticaceae","Verbenaceae","Waltheria.indica","Cerealia","Cladium.jamaicense","Cyperaceae.undiff.","Vaccinium.type","Unknown","Poaceae.undiff.","Dryopteris.type","Polypodium","Spore..monolete.","Drosera","Osmunda","Acrostichum","Spore..trilete.","Lemna.type","Myriophyllum.aquaticum","Nymphaea","Sagittaria","Type.182..Van.Geel.1983.","Typha.domengensis.latifolia.type","Typha..tetrad..undiff.","Lycopodium.tablets..concentration..grains.tablet.","Lycopodium.tablets..added..number.","Sample.volume..ml.","Lycopodium.spike..number.counted.","Indeterminable"
162,4685,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,195,0,9,0,0,0,0,0,52,0,0,0,0,3,0,0,12,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,7,0,0,3,0,0,0,0,0,3,0,1,2,1,7,0,0,0,10679,1,1,195,0
165,4739,0,0,1,0,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,80,0,8,0,0,0,16,2,23,0,0,0,0,19,1,1,17,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9,2,0,0,13,4,1,0,0,1,6,0,0,4,0,13,1,0,0,10679,1,1,482,2
168,4782,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,5,0,1,0,14,0,46,0,0,0,0,13,3,0,13,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,5,0,0,13,0,1,0,0,0,5,3,1,5,0,5,0,0,0,10679,1,1,204,0
171,4817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,130,0,6,0,1,0,0,0,72,0,0,0,0,8,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,13,0,0,3,0,0,2,1,0,3,0,10,0,0,0,10679,1,1,214,0
175,4856,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,2,0,0,0,172,0,7,0,0,0,0,0,67,0,0,0,0,7,2,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,5,0,0,7,0,0,0,0,0,2,0,0,4,0,8,0,0,0,10679,1,1,217,0
177,4873,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,170,0,16,0,0,0,1,0,150,0,0,0,0,4,0,0,14,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,13,0,0,0,0,0,4,0,1,7,0,15,0,0,1,10679,1,1,180,0
181,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,3,0,2,0,9,0,187,0,0,0,1,4,4,2,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,2,2,0,0,0,1,2,0,1,0,4,1,0,0,10679,1,1,101,0
183,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,3,0,2,0,1,0,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,1,0,0,0,0,0,0,10679,1,1,688,0
189,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,76,0,4,0,0,0,0,0,30,0,0,0,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,1,0,0,0,1,0,1,0,10,0,0,0,10679,1,1,919,0
193,NA,1,0,0,0,2,0,0,0,0,1,0,6,0,0,1,4,0,0,0,106,0,5,0,0,0,0,0,91,0,0,0,0,11,0,1,30,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,5,2,6,0,0,0,3,1,0,4,2,1,10,0,1,1,0,0,10679,1,1,692,0
