"sample.depths","sample.ages","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cupressaceae","Cyperaceae","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Quercus","Ranunculaceae.undiff.","Thalictrum","Tsuga","Ulmus","Acer","Populus","Poaceae","Amaranthaceae.undiff.","Corylus","Ericaceae","Fagus","Salix","Asteraceae.subf..Asteroideae.undiff.","Myrica","Sarcobatus.vermiculatus","Onagraceae","Fraxinus.nigra.type","Iva.xanthifolia.type","Vitis","Carya","Urtica.type","Cornus","Galium","Juglans.cinerea","Aquifoliaceae","Morus","Taxus","Plantago","Herbs.undiff.","Rosaceae.undiff.","Juglans.nigra","Cannabaceae","Iva.annua.type","Dryas.type","Tilia"
1,25,0.0244399185336049,0.0468431771894094,0.0427698574338086,0.00407331975560081,0.00610997963340122,0.183299389002037,0.0203665987780041,0.0325865580448065,0.00407331975560081,0.0386965376782077,0.00407331975560081,0.173116089613035,0.309572301425662,0.0488798370672098,0.00203665987780041,0.0122199592668024,0.00203665987780041,0.00203665987780041,0.00203665987780041,0.00610997963340122,0.00407331975560081,0.00610997963340122,0.0244399185336049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,246,0.025,0.0333333333333333,0.0145833333333333,0.00625,0.00625,0.135416666666667,0.0166666666666667,0.0125,0,0.0229166666666667,0.00208333333333333,0.229166666666667,0.379166666666667,0.0333333333333333,0,0.0125,0,0,0.00416666666666667,0.00208333333333333,0.00208333333333333,0.00625,0.01875,0.00625,0.00416666666666667,0.00833333333333333,0.00208333333333333,0.00416666666666667,0.00208333333333333,0.0104166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,492,0.0241228070175439,0.0504385964912281,0.0416666666666667,0.0043859649122807,0.00657894736842105,0.173245614035088,0.0109649122807018,0.0263157894736842,0,0.0241228070175439,0,0.210526315789474,0.302631578947368,0.0307017543859649,0.00219298245614035,0.0109649122807018,0,0,0,0.0043859649122807,0.00219298245614035,0.0153508771929825,0.0307017543859649,0.0043859649122807,0,0.0087719298245614,0.0043859649122807,0,0,0.00657894736842105,0.00219298245614035,0.00219298245614035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,738,0.0216450216450216,0.0584415584415584,0.0324675324675325,0.0064935064935065,0.00216450216450216,0.158008658008658,0.00865800865800866,0.0194805194805195,0,0.0194805194805195,0.00216450216450216,0.222943722943723,0.357142857142857,0.0216450216450216,0.00216450216450216,0.0173160173160173,0,0,0.0064935064935065,0.0064935064935065,0,0,0.012987012987013,0.00216450216450216,0,0.00865800865800866,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0,0,0.00216450216450216,0.00216450216450216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,984,0.034412955465587,0.0404858299595142,0.0202429149797571,0.0121457489878543,0.00404858299595142,0.182186234817814,0.0303643724696356,0.0182186234817814,0,0.0303643724696356,0.00607287449392713,0.194331983805668,0.319838056680162,0.0202429149797571,0.00202429149797571,0.0121457489878543,0.00202429149797571,0,0,0.00809716599190283,0,0.0101214574898785,0.0263157894736842,0.00404858299595142,0,0,0.00202429149797571,0.00607287449392713,0.00202429149797571,0.00809716599190283,0,0,0.00202429149797571,0,0.00202429149797571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1230,0.0164319248826291,0.0633802816901408,0.039906103286385,0.0140845070422535,0.00469483568075117,0.145539906103286,0.00469483568075117,0.0211267605633803,0,0.0164319248826291,0.00469483568075117,0.192488262910798,0.335680751173709,0.0328638497652582,0.00469483568075117,0.0234741784037559,0,0.00234741784037559,0,0.00234741784037559,0.00234741784037559,0.0187793427230047,0.0164319248826291,0.00704225352112676,0.00704225352112676,0,0,0.00938967136150235,0.00234741784037559,0.00938967136150235,0,0,0.00234741784037559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1476,0.0237580993520518,0.0518358531317495,0.0172786177105832,0.00215982721382289,0.00647948164146868,0.16414686825054,0.0151187904967603,0.0215982721382289,0,0.0237580993520518,0.00215982721382289,0.207343412526998,0.352051835853132,0.0388768898488121,0,0.0107991360691145,0,0,0,0.00431965442764579,0.00431965442764579,0.00863930885529158,0.0172786177105832,0,0.00215982721382289,0,0.00215982721382289,0.00215982721382289,0,0.0129589632829374,0,0,0.00431965442764579,0,0,0.00215982721382289,0.00215982721382289,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1722,0.0233918128654971,0.0604288499025341,0.037037037037037,0.00194931773879142,0.00194931773879142,0.169590643274854,0.0175438596491228,0.0214424951267057,0,0.0272904483430799,0.00194931773879142,0.194931773879142,0.292397660818713,0.064327485380117,0.00389863547758285,0.0116959064327485,0,0.00389863547758285,0,0.0116959064327485,0.00389863547758285,0.0116959064327485,0.0175438596491228,0,0.00389863547758285,0.00779727095516569,0.00389863547758285,0,0,0.00389863547758285,0,0,0,0,0,0,0,0.00194931773879142,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1968,0.0169491525423729,0.0423728813559322,0.0127118644067797,0.00211864406779661,0.00211864406779661,0.148305084745763,0.0296610169491525,0.0233050847457627,0,0.0127118644067797,0,0.203389830508475,0.36864406779661,0.0550847457627119,0.00423728813559322,0.0169491525423729,0,0,0,0.00423728813559322,0.00635593220338983,0.00635593220338983,0.0148305084745763,0.00211864406779661,0.00423728813559322,0,0.00211864406779661,0.00635593220338983,0,0.00423728813559322,0,0,0.00211864406779661,0,0.00211864406779661,0,0.00211864406779661,0,0.00211864406779661,0.00211864406779661,0,0,0,0,0,0,0,0,0,0,0
90,2214,0.0287253141831239,0.059245960502693,0.0197486535008977,0,0.00359066427289048,0.149012567324955,0.0197486535008977,0.0269299820466786,0,0.0143626570915619,0.00179533213644524,0.206463195691203,0.299820466786355,0.073608617594255,0.00179533213644524,0.0143626570915619,0,0,0,0.00718132854578097,0,0.00538599640933573,0.0269299820466786,0.00359066427289048,0.00359066427289048,0.00718132854578097,0.00179533213644524,0.00179533213644524,0.00179533213644524,0.0179533213644524,0,0,0.00359066427289048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
