"sample.depths","sample.ages","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Abies","Ostrya.Carpinus","Carya","Castanea","Cephalanthus","Chenopodiaceae.Amaranthaceae","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Corylus","Cyperaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Poaceae.undiff.","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Larix","Fabaceae","Impatiens","Ericaceae","Morus","Myrica","Parnassia","Potentilla","Nyssa","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygonum.lapathifolium","Populus","Pinaceae.undiff.","Quercus","Rosaceae.undiff.","Rumex","Rhamnus","Salix","Juniperus.Thuja","Tilia","Tsuga","Ulmus","Apiaceae","Verbena","Viburnum","Vitis","Caryophyllaceae","Cerealia","Brassicaceae","Urticaceae"
1,-13,0.0132978723404255,0,0.0106382978723404,0.00265957446808511,0.313829787234043,0.00265957446808511,0.103723404255319,0,0.00797872340425532,0.0132978723404255,0.00265957446808511,0,0.0106382978723404,0.0132978723404255,0.127659574468085,0.00797872340425532,0.0611702127659574,0.00797872340425532,0.0106382978723404,0,0.0345744680851064,0,0,0.00265957446808511,0,0.0106382978723404,0.00265957446808511,0,0,0.00797872340425532,0,0.00265957446808511,0,0.00265957446808511,0.00531914893617021,0.0265957446808511,0.0372340425531915,0.0132978723404255,0.00531914893617021,0,0.00265957446808511,0,0.0292553191489362,0.00531914893617021,0.00265957446808511,0,0.0106382978723404,0,0,0.023936170212766,0.0319148936170213,0,0.00265957446808511,0.0212765957446809,0,0,0.00531914893617021,0.00265957446808511,0
10,250,0.00284900284900285,0,0.0256410256410256,0.0142450142450142,0.227920227920228,0.00284900284900285,0.0769230769230769,0,0.0142450142450142,0.00854700854700855,0,0,0.00284900284900285,0,0.0056980056980057,0,0.0911680911680912,0.0284900284900285,0.0056980056980057,0.00854700854700855,0.0398860398860399,0,0,0,0,0,0,0,0,0,0,0,0.0056980056980057,0.0056980056980057,0,0.0598290598290598,0.15954415954416,0.00284900284900285,0.00854700854700855,0,0,0,0.0740740740740741,0,0.0199430199430199,0,0.00284900284900285,0.0313390313390313,0,0.0455840455840456,0.0227920227920228,0,0,0,0,0.00284900284900285,0,0.00284900284900285,0
20,541,0.0087463556851312,0,0.0262390670553936,0.0087463556851312,0.0087463556851312,0,0.043731778425656,0,0.0087463556851312,0.0145772594752187,0,0,0,0,0,0,0.102040816326531,0.0583090379008746,0.0087463556851312,0.00291545189504373,0.0087463556851312,0,0,0,0.0145772594752187,0,0,0,0,0,0,0,0,0.00583090379008746,0,0.087463556851312,0.274052478134111,0,0,0,0.00291545189504373,0,0.110787172011662,0,0,0,0.00291545189504373,0.00291545189504373,0.0116618075801749,0.142857142857143,0.043731778425656,0,0,0,0,0,0,0,0
60,1707,0.00292397660818713,0.00292397660818713,0.0789473684210526,0.0087719298245614,0.00292397660818713,0,0.0526315789473684,0,0.043859649122807,0.0497076023391813,0,0,0.00292397660818713,0,0,0.00292397660818713,0.0789473684210526,0.12280701754386,0.0233918128654971,0.00584795321637427,0,0.00292397660818713,0,0,0,0,0,0,0.00292397660818713,0.00292397660818713,0,0,0.00292397660818713,0.00584795321637427,0,0.064327485380117,0.134502923976608,0,0.0116959064327485,0,0,0,0.0964912280701754,0,0,0,0,0.0087719298245614,0.0087719298245614,0.119883040935673,0.0584795321637427,0,0,0,0,0,0,0,0
95,2727,0.00628930817610063,0,0.135220125786164,0,0,0,0.00943396226415094,0,0.00943396226415094,0.00628930817610063,0,0,0,0,0.00314465408805031,0,0.0314465408805031,0.0125786163522013,0.00314465408805031,0.0157232704402516,0,0,0,0,0.00943396226415094,0,0,0,0,0,0,0,0,0.00943396226415094,0,0.0723270440251572,0.361635220125786,0,0,0,0,0,0.0377358490566038,0,0,0,0,0.0188679245283019,0.0188679245283019,0.216981132075472,0.0188679245283019,0,0,0,0,0,0,0,0.00314465408805031
135,2936,0,0,0.0776699029126214,0.00647249190938511,0,0,0.0517799352750809,0,0.029126213592233,0.0388349514563107,0,0,0,0,0,0,0.0258899676375405,0.119741100323625,0.029126213592233,0.00647249190938511,0.00970873786407767,0,0.00323624595469256,0,0.00647249190938511,0,0,0,0,0,0,0,0,0,0,0.0226537216828479,0.110032362459547,0,0.0129449838187702,0,0.00323624595469256,0,0.113268608414239,0,0,0,0,0.0161812297734628,0.0161812297734628,0.155339805825243,0.145631067961165,0,0,0,0,0,0,0,0
170,3064,0,0,0.109792284866469,0.0029673590504451,0,0.0029673590504451,0.0356083086053412,0,0.0207715133531157,0.0326409495548961,0,0,0.0029673590504451,0,0,0.0029673590504451,0.0652818991097923,0.13946587537092,0.0148367952522255,0.0118694362017804,0,0,0.00593471810089021,0.0029673590504451,0,0,0,0,0,0.0029673590504451,0.0029673590504451,0,0,0.00593471810089021,0,0.0356083086053412,0.213649851632047,0,0.0118694362017804,0,0,0,0.0801186943620178,0,0,0,0,0.0178041543026706,0.00593471810089021,0.100890207715134,0.0712166172106825,0,0,0,0,0,0,0,0
190,3136,0.0128205128205128,0,0.102564102564103,0.00320512820512821,0.00641025641025641,0,0.0544871794871795,0,0.016025641025641,0.0192307692307692,0,0,0,0,0.00320512820512821,0,0.0128205128205128,0.121794871794872,0.00961538461538462,0.0128205128205128,0,0,0.00641025641025641,0,0.00641025641025641,0,0,0,0,0,0,0,0,0.00320512820512821,0,0.102564102564103,0.0993589743589744,0,0.00641025641025641,0,0,0,0.092948717948718,0,0,0,0,0.0192307692307692,0.0448717948717949,0.166666666666667,0.0769230769230769,0,0,0,0,0,0,0,0
210,3209,0.00923076923076923,0,0.0615384615384615,0.00923076923076923,0,0,0.0430769230769231,0,0.0153846153846154,0.0215384615384615,0,0,0,0,0.00615384615384615,0.0184615384615385,0.0738461538461539,0.0984615384615385,0.0153846153846154,0.00615384615384615,0.00307692307692308,0,0,0,0.00615384615384615,0,0,0,0,0.0461538461538462,0,0,0,0.00615384615384615,0,0.0338461538461538,0.190769230769231,0,0.00615384615384615,0,0,0,0.123076923076923,0,0,0,0,0.0338461538461538,0.0184615384615385,0.0676923076923077,0.0861538461538462,0,0,0,0,0,0,0,0
230,3379,0.00267379679144385,0,0.125668449197861,0.00802139037433155,0.0053475935828877,0.00267379679144385,0.0668449197860963,0,0.0160427807486631,0.0133689839572193,0.0053475935828877,0,0,0,0.00267379679144385,0,0.157754010695187,0.088235294117647,0.0053475935828877,0.00802139037433155,0.0053475935828877,0,0.00267379679144385,0,0.0053475935828877,0,0,0,0,0,0,0,0.00267379679144385,0.0106951871657754,0,0.0160427807486631,0.152406417112299,0,0.00267379679144385,0,0.0053475935828877,0,0.0935828877005348,0,0,0,0,0.0401069518716578,0.0347593582887701,0.0668449197860963,0.053475935828877,0,0,0,0,0,0,0,0
