"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.undiff.","Alnus","Betula","Carya","Castanea","Cornus","Corylus","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Juniperus.Thuja","Larix","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.subg..Pinus.undiff.","Pinus.subg..Strobus.undiff.","Pinus.undiff.","Populus","Quercus","Rhamnus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Cannabaceae","Chenopodiaceae","Cyperaceae","Epilobium","Eupatorium.type","Hypericum.type","Poaceae","Rosaceae","Rumex","Saxifraga.type","Equisetum","Lycopodiaceae","Osmunda","Polypodiophyta.undiff.","Pteridium.type","cf..Sphagnum","Typha.latifolia","Indeterminable.undiff.","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..degraded.","Indeterminable..hidden."
8,579,3,0,53,6,36,0,0,0,0,2,0,0,1,4,0,1,0,134,28,2,50,4,24,0,12,0,0,0,5,1,1,7,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,451,0,0,5,7,5,0,3
10,735,6,0,6,176,387,1,1,0,0,5,4,6,1,2,0,0,3,70,7,15,16,32,26,9,4,0,6,1,9,1,4,28,0,8,2,0,0,1,111,0,1,28,14,11,0,0,0,4,0,1,2,137,1,3,5,35,16,8,4
12,891,3,0,11,31,62,0,0,0,0,0,1,0,0,11,0,2,3,58,9,8,26,24,32,0,8,0,0,0,1,1,7,13,0,1,0,0,0,0,2,0,2,0,3,0,0,1,0,0,1,2,0,46,0,6,6,17,4,10,2
14,1046,1,0,4,54,122,0,0,0,1,1,1,0,0,18,0,0,1,31,4,5,16,20,27,0,6,0,1,0,0,2,9,14,0,4,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,6,0,60,0,0,3,10,4,6,9
15,1124,2,0,5,128,179,0,1,0,3,1,0,1,0,17,1,2,0,40,2,3,10,15,20,0,8,0,0,0,2,1,12,18,0,17,1,0,0,0,2,3,0,1,4,8,0,0,0,2,2,2,4,29,0,3,2,17,12,0,1
16,1202,1,0,5,81,99,0,0,0,0,1,1,2,1,9,1,3,2,20,2,7,7,20,17,0,12,0,4,0,1,0,7,11,1,4,0,0,0,0,6,0,5,0,9,8,2,0,0,1,1,9,0,32,0,8,8,15,10,2,6
17,1280,3,0,4,150,128,0,1,0,0,1,2,0,0,3,0,0,1,22,3,4,12,18,22,0,12,0,1,0,0,0,10,12,0,33,0,13,0,0,4,0,0,0,12,16,0,0,0,2,3,10,0,49,0,2,4,28,12,29,6
18,1358,0,0,4,361,66,0,1,0,0,0,4,1,0,1,0,1,5,29,3,3,10,10,15,0,7,0,2,0,2,1,7,10,0,38,1,0,0,0,14,2,27,0,6,8,0,0,0,0,1,11,0,42,0,5,4,33,28,18,6
19,1436,1,0,3,0,42,0,1,1,0,0,1,0,0,0,0,0,0,24,2,2,12,9,18,0,4,0,2,0,1,0,4,5,0,47,0,0,0,0,1,4,0,0,2,1,2,0,0,1,1,4,0,38,0,1,3,13,17,6,3
20,1514,7,0,9,12,68,0,1,0,0,5,15,1,0,4,0,0,2,176,11,24,19,41,25,0,15,0,0,0,13,2,40,0,0,0,0,0,2,0,4,0,5,0,3,0,0,0,0,0,0,0,2,1165,0,3,2,11,4,0,5
21,1592,0,0,4,134,91,0,0,0,1,2,0,0,0,1,0,2,6,90,1,6,8,40,40,0,8,0,0,2,10,0,4,4,0,23,0,0,0,0,1,5,3,0,3,3,0,0,0,1,0,1,0,41,0,0,6,24,22,6,12
21.5,1631,3,0,3,103,138,2,0,0,3,1,6,0,0,7,0,0,0,68,8,3,34,13,36,0,4,0,0,0,8,0,4,0,0,10,0,0,0,0,1,2,0,1,1,4,0,0,0,1,1,1,5,26,0,0,10,18,14,0,0
22,1670,2,0,9,52,102,0,0,0,0,1,3,0,0,26,0,0,6,54,6,3,24,12,26,1,3,0,2,0,7,0,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,18,0,2,6,16,6,0,1
23,1748,4,1,15,21,101,0,6,1,0,5,12,5,0,6,1,0,2,124,10,33,14,47,18,0,28,5,0,0,12,1,22,0,0,0,0,0,2,0,5,0,12,0,5,5,0,0,8,0,1,5,2,470,0,10,3,12,5,4,7
23.5,1787,3,0,9,124,162,0,0,0,3,4,7,1,0,54,1,1,3,60,8,2,46,14,50,0,8,0,0,1,12,0,6,0,0,5,0,0,0,0,2,3,0,0,0,3,0,0,0,3,0,2,5,0,0,2,13,38,22,0,3
25,1904,2,0,3,99,120,1,4,0,2,2,27,1,0,17,0,0,6,116,13,29,22,49,30,0,22,0,3,0,36,1,15,0,0,0,1,0,0,0,9,0,0,39,2,6,0,0,0,1,1,1,3,230,0,9,16,18,11,5,8
27,2060,0,0,0,6,24,0,0,0,0,0,1,0,0,1,0,2,0,8,1,0,4,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,4,5,0,0,0,3,3,0,2
28,2138,2,1,0,39,91,1,0,0,2,1,12,4,0,0,1,0,31,35,14,5,24,8,13,0,12,0,0,3,19,0,1,0,0,3,0,0,0,0,9,0,2,0,2,2,0,0,2,0,0,0,1,47,0,0,10,16,8,5,3
29,2216,0,0,5,16,143,1,0,0,6,0,4,1,0,1,1,2,14,54,8,14,25,42,46,0,5,0,0,0,14,0,0,0,0,3,0,0,0,0,8,0,0,1,3,0,0,0,0,1,1,3,166,25,0,0,14,27,33,26,10
30,2294,2,0,7,4,153,0,2,0,0,1,18,7,1,1,7,1,11,67,27,13,100,48,108,1,8,0,3,1,23,2,3,1,0,0,0,0,0,0,2,0,5,0,1,0,0,0,0,1,0,0,114,1,1,38,13,32,17,19,5
31,2372,0,0,3,18,133,0,0,0,21,6,7,10,0,4,2,0,1,38,5,3,20,12,24,0,0,0,0,0,6,0,8,0,0,7,0,0,0,0,1,0,0,0,0,5,0,0,0,3,2,1,223,30,0,1,13,45,49,17,7
32,2450,0,0,2,0,170,0,0,0,13,2,1,8,0,6,0,0,3,36,2,5,13,26,31,0,2,0,2,0,5,0,1,1,0,12,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,2,203,42,0,0,10,39,19,0,3
33,2528,1,0,2,7,169,0,0,0,9,8,1,10,0,8,0,1,0,64,4,4,30,30,51,0,4,0,0,0,13,0,2,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,4,2,0,304,59,0,2,9,67,35,0,4
34,2646,2,0,2,10,200,0,1,2,15,8,4,17,0,3,0,0,3,76,6,4,25,17,32,0,3,0,1,0,16,1,5,0,0,3,0,0,0,0,0,0,0,0,1,5,0,0,0,3,4,1,404,54,0,2,19,90,74,0,0
35,2885,4,0,7,12,132,0,1,0,6,6,20,1,0,0,24,1,19,62,30,27,56,48,46,0,25,2,0,0,31,4,0,1,0,4,1,0,1,0,12,0,0,0,8,0,0,0,21,0,2,6,135,2,8,57,6,32,15,6,4
36,3124,2,0,3,2,125,0,0,1,12,4,1,20,0,4,0,0,6,45,0,12,0,46,34,0,2,0,0,0,14,0,4,1,0,4,0,0,0,0,1,0,0,0,0,3,0,0,0,7,2,1,247,44,0,0,12,63,21,14,4
37,3364,0,0,3,10,155,0,0,0,6,2,3,9,0,4,0,1,18,50,4,6,19,30,39,0,1,0,0,0,9,0,1,1,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,230,55,0,0,9,19,14,15,3
