"sample.depths","sample.ages","upland.sum","Acer.saccharum.type","Acer.rubrum","Acer.saccharinum.type","Acer.undiff.","Ambrosia.type","Betula","Carya","Castanea","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Fraxinus.undiff.","Juglans.cinerea","Juglans.nigra","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rhus","Rumex","Salsola","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Xanthium","Alnus","Myrica","Populus","Poaceae","Plantago","Galium","Ilex","Platanus","Taxus","Thalictrum","Viburnum","Rosaceae","Cephalanthus","Liquidambar","Tilia","Nyssa","Morus","Corylus","Salix","Abies","Apiaceae","Artemisia","Sambucus","Rhamnaceae","Acer.negundo","Larix","Trees.undiff.","Urtica.type","Iva.xanthifolia.type","Cornus","Cannabaceae","Caryophyllaceae","Oxyria.digyna","Brassicaceae","Caprifoliaceae.undiff.","Celtis","Scrophulariaceae"
650,7323,705,15,4,0,2,1,76,13,1,1,1,8,0,146,17,12,4,8,1,18,0,0,4,13,195,1,0,0,113,1,10,0,10,1,2,1,0,0,1,13,1,0,0,0,2,0,2,0,2,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
690,7710,537,10,0,3,0,2,53,5,5,0,1,3,0,93,12,4,0,3,0,7,0,2,1,11,176,0,0,0,82,0,15,0,18,3,0,1,0,0,0,12,1,0,0,0,1,0,1,1,2,3,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
710,7893,411,7,1,0,0,1,59,2,0,0,1,5,0,53,7,2,0,0,0,4,0,1,1,12,130,0,0,0,83,0,7,0,14,1,2,0,0,0,0,11,0,0,0,0,1,0,1,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
750,8240,433,4,4,0,0,2,30,4,2,0,3,7,0,54,5,3,0,0,0,15,1,0,9,35,139,0,0,0,69,4,12,0,13,3,1,2,0,0,1,1,0,2,0,0,0,0,2,0,1,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
790,8566,480,5,1,0,0,2,27,0,0,0,0,4,0,37,5,3,0,0,0,11,1,13,22,31,215,0,0,0,52,2,7,0,24,2,5,2,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
810,8723,747,8,2,0,5,7,45,1,1,1,2,8,0,55,3,13,0,0,0,19,1,3,13,67,308,0,0,0,114,2,10,0,30,0,5,4,0,0,2,7,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
850,9030,494,2,1,1,0,4,11,1,1,1,1,1,0,22,2,9,0,1,0,10,4,3,20,58,240,0,0,0,52,2,10,0,17,1,4,2,0,0,0,5,0,1,0,0,0,0,1,0,2,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
890,9337,343,2,1,0,2,2,29,1,0,1,1,3,0,10,2,1,0,0,0,5,2,2,16,41,172,0,0,0,15,2,8,0,9,1,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
910,9494,307,2,0,0,0,4,20,1,1,1,1,4,0,9,5,9,0,0,0,11,1,8,16,35,125,0,0,0,24,0,3,0,12,2,1,2,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
950,9828,477,2,0,0,1,1,31,1,2,0,0,1,0,0,2,6,0,0,0,14,5,14,49,76,199,1,0,0,28,3,4,0,15,8,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
980,10103,404,4,0,0,3,0,25,0,1,0,0,4,1,2,3,7,0,0,0,13,6,3,41,94,99,0,0,0,49,1,9,0,15,3,8,3,0,0,0,2,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1010,10410,522,0,0,1,3,0,21,2,0,0,0,1,0,0,11,5,0,0,0,10,4,13,88,133,135,0,0,0,66,2,12,0,6,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,10887,464,1,1,0,0,3,14,1,1,0,2,7,1,0,4,7,0,0,0,9,8,7,68,149,96,0,0,0,36,2,6,0,19,2,1,2,0,0,1,1,0,1,0,1,0,0,1,0,2,2,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1090,11467,777,4,0,0,1,2,34,0,0,0,0,4,0,0,4,3,0,1,0,14,25,12,203,221,169,0,0,0,40,2,10,0,9,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110,11806,875,14,0,0,2,0,49,0,1,0,2,2,0,0,9,11,0,0,0,32,44,11,206,217,190,0,0,0,9,0,9,0,32,2,5,4,0,0,1,1,0,0,0,0,0,0,0,0,1,4,2,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1130,12183,491,13,2,0,2,0,47,3,0,0,0,3,0,1,3,9,0,2,0,7,5,7,103,164,75,0,0,0,0,1,6,0,9,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,12603,398,1,0,0,0,0,60,0,0,0,4,9,0,0,0,2,0,1,0,4,98,16,16,48,10,0,0,0,1,1,3,0,73,2,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,15,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1185,13458,160,1,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,2,0,3,48,17,1,24,11,0,0,0,0,3,0,0,0,0,21,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1215,14331,323,1,0,0,0,1,14,0,2,0,3,15,1,0,1,0,0,0,0,3,189,4,1,20,24,0,0,0,0,2,2,0,3,0,3,7,0,0,0,1,0,1,0,0,0,0,0,0,0,3,8,11,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1225,14654,202,0,0,0,0,0,19,0,1,1,2,24,2,0,1,0,0,0,0,2,33,5,0,46,8,0,0,0,0,1,0,1,8,0,13,14,0,0,0,0,0,2,0,2,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1240,15172,104,0,0,0,1,0,3,0,0,1,0,23,1,0,0,0,1,0,0,2,11,0,0,21,8,0,0,0,0,2,1,0,8,0,2,4,0,0,0,0,0,2,0,2,0,1,0,0,0,1,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1255,15732,250,0,0,0,1,0,5,0,0,0,2,29,1,0,0,0,0,0,1,2,20,7,0,101,4,0,0,0,0,5,1,0,29,1,6,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,9,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0
1270,16337,104,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,10,2,0,53,0,0,0,0,0,2,0,0,14,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1290,NA,111,0,0,0,0,2,0,0,0,0,1,8,0,0,0,0,0,0,0,0,20,8,0,49,1,0,0,0,0,3,0,0,6,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
1310,NA,226,0,0,0,0,4,2,0,0,1,1,10,0,0,0,0,0,0,0,0,24,6,0,132,2,0,1,0,0,6,0,0,4,0,0,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
1350,NA,226,0,0,0,0,0,1,0,0,1,2,21,1,0,0,0,0,0,0,1,21,14,0,105,3,0,0,0,0,8,0,0,15,0,2,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0
1390,NA,56,0,0,0,0,1,1,0,0,2,0,6,0,0,0,0,0,0,0,0,1,3,0,20,0,0,0,0,0,1,0,0,1,0,0,9,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1410,NA,102,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,6,0,64,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1450,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
