"sample.depths","sample.ages","upland.sum","Acer.negundo","Acer.undiff.","Artemisia","Betula","Carya","Caryophyllaceae","Celtis","Cephalanthus","Cupressaceae","Fagus","Juglans.cinerea","Morus","Nyssa","Picea","Pinus.undiff.","Plantago.major","Platanus","Polygonum.undiff.","Quercus","Rumex","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus.incana","Ambrosia","Amaranthaceae","Poaceae","Cyperaceae.undiff.","Lamiaceae","Rosaceae","Acer.saccharinum","Pinus.banksiana.P..resinosa","Fraxinus.americana","Castanea","Corylus","Juglans.nigra","Ostrya.Carpinus","Pinus.subg..Strobus","Tilia","Tsuga","Acer.saccharum","Fraxinus.nigra","Polygonum.amphibium","Populus","Liquidambar","Ericaceae","Juglans.undiff.","Alnus.undiff."
0,NA,299,4,7,2,2,2,1,1,3,3,1,1,1,2,1,12,1,3,2,108,2,9,1,5,10,2,4,39,2,23,34,3,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,NA,321,1,1,1,9,12,0,0,0,0,5,1,0,0,3,20,0,3,0,160,0,1,0,4,7,0,1,11,2,13,46,0,2,0,2,1,1,3,1,3,2,1,1,3,0,0,0,0,0,0,0
20,NA,277,2,1,2,3,7,0,1,0,0,5,1,0,0,1,19,0,0,0,153,0,0,0,3,8,0,0,6,1,11,38,1,0,0,0,5,0,2,2,0,1,0,0,2,2,0,0,0,0,0,0
30,NA,267,0,0,1,3,2,0,1,0,1,5,1,0,0,0,27,0,1,0,93,0,2,1,3,7,0,3,6,4,17,77,0,0,0,2,3,0,0,0,0,2,0,1,1,1,1,1,0,0,0,0
40,1204,256,1,1,3,5,17,0,0,0,1,7,1,0,0,1,14,0,1,0,148,0,0,3,2,9,1,1,3,2,11,12,0,2,0,0,1,0,5,1,0,0,0,0,2,0,0,0,1,0,0,0
50,1529,277,0,1,1,5,8,0,0,0,0,14,3,0,0,1,13,0,6,0,153,0,0,1,3,8,0,0,5,2,15,21,0,1,0,0,1,0,1,1,2,4,0,1,2,0,0,2,0,1,1,0
60,1854,254,1,0,2,3,13,0,0,0,1,6,0,0,0,0,13,0,3,0,145,0,1,1,0,6,0,0,8,0,11,25,0,1,0,0,5,0,2,3,0,2,1,0,1,0,0,0,0,0,0,0
70,2179,259,2,0,4,3,15,0,1,0,2,6,0,0,0,0,19,0,0,0,151,0,0,1,0,7,0,1,8,0,10,20,0,0,0,0,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
80,2504,277,0,1,5,3,12,0,0,0,1,4,1,0,0,0,12,0,0,0,167,0,1,1,4,11,0,2,2,1,11,14,0,1,0,2,5,1,2,3,1,5,0,1,1,0,0,1,1,0,0,0
90,2829,304,0,0,7,4,12,0,0,0,3,2,0,0,0,1,20,0,0,0,169,0,1,1,5,5,0,2,11,2,19,18,0,1,0,2,3,0,2,3,2,3,0,0,1,1,0,2,1,0,0,1
