"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.undiff.","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Aquatics.undiff.","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Caltha","Cannabaceae","Carya","Castanea","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Dryas.type","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Herbs.undiff.","Indeterminable","Isoëtes","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Lycopodium.type","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Plantago","Platanus","Poaceae","Polypodiaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Urtica.type","Vitis","Woodsia"
1,11,7,2,1,4,0,11,20,0,12,0,0,4,1,116,0,0,0,1,0,0,0,1,13,4,0,0,0,0,2,2,1,0,0,1,0,0,0,0,1,0,2,0,13,1,2,0,0,0,4,32,146,106,0,2,7,0,5,0,4,14,0,1,0,0,2,0,0,6,0,0,2,0,2,1,0,0,0
12,216,4,0,0,5,0,20,16,0,24,0,0,4,1,139,0,0,0,0,0,0,1,2,10,1,0,0,0,0,1,3,0,0,0,4,0,0,0,0,1,0,0,0,3,0,1,2,0,0,3,23,110,100,0,0,8,0,13,1,7,12,0,1,2,0,2,0,0,1,0,0,3,5,7,0,0,0,0
20,365,5,0,0,0,4,25,28,2,5,0,0,1,1,144,0,0,1,0,0,0,0,3,21,8,0,0,0,0,8,1,2,0,0,3,0,0,0,0,7,1,1,0,4,3,2,2,0,0,9,25,138,107,0,1,4,0,5,0,2,10,0,0,0,0,1,0,0,0,0,1,8,2,6,2,0,0,0
30,551,6,0,0,4,0,11,6,1,3,0,0,1,2,109,0,0,0,3,0,0,1,1,19,1,0,1,0,4,3,2,0,0,0,2,0,0,0,1,5,0,1,0,3,0,1,1,0,0,10,25,92,181,0,3,4,0,3,0,6,27,0,0,0,0,1,0,0,3,0,0,3,1,6,1,0,1,0
40,738,2,0,0,0,5,8,10,1,1,0,0,3,0,97,0,0,0,0,0,0,1,3,26,2,0,0,0,4,3,2,0,0,0,4,0,0,0,0,1,0,0,0,4,0,2,1,0,0,11,13,90,133,0,0,3,0,6,0,5,14,0,0,0,0,1,0,0,1,0,1,8,0,11,0,0,0,0
50,926,11,0,0,0,7,14,12,2,3,0,0,3,0,79,0,0,0,0,0,0,2,4,7,1,0,0,0,0,4,4,1,0,0,0,0,0,0,2,1,0,1,0,13,1,0,3,0,0,24,13,99,109,0,2,6,0,3,0,4,28,0,0,0,0,2,0,0,0,0,0,6,0,4,1,0,0,0
60,1114,1,2,0,6,0,5,5,0,3,0,0,1,1,73,0,0,0,0,1,0,0,2,8,2,0,0,0,0,2,1,0,0,0,3,0,0,0,0,1,0,1,0,3,1,0,1,0,0,3,24,93,157,0,1,3,0,2,0,5,12,0,0,0,0,1,0,0,2,0,0,4,0,4,0,0,0,0
70,1304,3,0,0,0,5,13,8,2,1,1,0,7,3,113,0,0,1,1,0,0,1,5,51,4,0,2,1,6,4,3,3,0,0,7,0,0,1,0,3,0,1,0,6,3,0,0,0,0,13,31,94,134,0,2,9,0,4,2,3,14,0,0,0,0,0,0,0,3,0,0,8,0,12,2,0,0,0
80,1495,5,1,0,6,0,7,6,1,2,0,0,1,0,71,0,0,0,1,0,0,0,0,15,3,0,0,0,4,3,0,1,0,0,4,0,0,0,0,2,0,4,0,12,0,1,2,0,0,4,16,66,180,0,1,4,0,3,0,3,17,0,0,0,0,1,0,0,3,0,0,1,0,4,0,0,0,0
90,1687,2,0,0,0,2,7,8,0,2,0,0,3,1,100,0,0,0,1,0,0,0,2,6,4,0,0,0,0,7,0,2,0,0,0,0,0,0,0,3,0,0,0,8,1,1,5,0,0,4,8,97,160,0,1,4,0,1,0,1,19,0,0,0,0,2,0,0,0,1,0,3,0,7,0,0,0,0
