"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Cyperaceae","Ericaceae","Picea.mariana.type","Pinus.undiff.","Populus.balsamifera.type","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Fabaceae","Poaceae","Abies.balsamea","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Picea.undiff.","Ambrosia.type","Larix","Quercus","Salix","Ulmus","Juniperus.type","Tsuga.canadensis","Rosaceae","Corylus.cornuta","Fagus","Populus.tremuloides.type","Myrica.gale","Amaranthaceae","Saxifraga.cernua.type","Acer.saccharum","Fraxinus.nigra.type","Acer.spicatum","Ostrya.Carpinus","cf..Taxus","Viburnum.edule","Juglans.cinerea","Caryophyllaceae","Ranunculaceae.undiff.","Onagraceae","Castanea.dentata","cf..Oxyria.digyna","Carya.ovata","Viburnum.lentago"
15,598,438,4,73,1,77,45,2,142,8,1,2,4,1,11,4,15,14,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,800,492,0,95,6,54,53,2,211,2,0,0,1,0,11,8,10,8,0,21,1,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1206,559,12,114,0,63,61,5,202,10,0,1,1,0,13,2,6,10,0,48,2,3,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1613,446,5,65,3,53,24,0,234,1,0,0,2,0,11,6,12,9,0,15,0,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2019,456,3,73,1,62,34,2,206,5,0,0,2,0,6,12,9,4,0,31,0,2,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2426,535,8,96,3,74,23,2,247,6,1,0,1,0,4,3,11,11,0,37,2,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2882,596,46,152,1,85,28,0,183,3,0,0,6,0,11,9,26,7,0,26,1,5,0,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3354,639,28,180,2,110,29,4,220,0,0,0,1,0,14,4,17,9,0,13,0,0,0,4,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90,3826,607,19,151,1,101,37,4,226,4,0,0,0,0,5,7,13,3,0,22,1,5,1,0,1,0,0,0,2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
100,4299,399,9,125,2,95,23,1,109,0,0,0,1,0,5,4,8,2,1,7,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
