"sample.depths","sample.ages","upland.sum","Acer.undiff.","Betula","Carya","Corylus","Cyperaceae","Ericaceae","Fagus","Poaceae.undiff.","Juglans.cinerea","Nyssa","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Ranunculaceae.undiff.","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Zea.mays","Alnus.incana","Ambrosia","Fabaceae","Myrica.Comptonia.peregrina","Amaranthaceae","Caprifoliaceae","Plantago","Rosaceae","cf..Hypericum","Fraxinus.nigra","Fraxinus.pennsylvanica","Cupressaceae.Taxaceae","Platanus","Apiaceae","Brassicaceae","Acer.rubrum","Ilex","Castanea","Cephalanthus","Ostrya.Carpinus","Rhamnus","Artemisia","Tilia","Caryophyllaceae","Rhus","Abies","Salix","Thalictrum","Lamiaceae","Iva","Asteraceae.subf..Cichorioideae"
0,-34,438,1,31,2,5,4,3,1,90,1,4,1,2,1,14,52,1,26,4,25,1,1,7,72,4,46,2,2,27,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,374.5,3,15,2,0,3,0,0,112,0,2,0,0,2,8.5,36,0,45,0,9,0,1,4,76,0,16,1,1,34,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,70,378.5,0,18,1,3,1,0,4,83,0,6,0.5,0,2,14,40,0,57,5,9,0,1,8,82,0,2,0,3,30,2,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,123,333.5,0,16,1,2,3,0,6,83,1,5,1,0,2,13.5,38,0,81,1,6,3,1,3,43,0,10,0,0,9,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,178,409.5,8,23,4,0,1,6,4,72,0,18,0,0,3,25.5,83,0,47,6,5,2,0,10,45,0,23,0,0,4,8,0,0,0,1,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0
50,235,394,0,22,8,5,7,7,5,39,1,12,0,4,3,22,138,0,28,5,6,0,0,7,19,1,30,0,0,0,8,0,0,1,1,0,0,0,3,5,2,2,1,2,0,0,0,0,0,0,0,0,0,0
60,296,381.5,3,36,24,3,1,4,15,9,0,8,2.5,1,3,26,147,0,4,7,5,2,0,14,2,0,38,0,0,0,10,0,1,6,1,0,0,0,3,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0
70,361,361,5,42,14,3,2,3,6,1,0,8,0.5,0,2,24.5,173,0,0,5,6,5,0,8,2,0,43,0,0,0,4,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,433,325.5,0,27,19,3,0,3,16,0,0,5,1.5,0,0,15,177,0,0,1,2,1,0,2,0,0,37,0,0,0,8,0,0,1,0,0,0,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
85,473,355.5,4,31,24,2,0,2,16,2,0,4,1,1,4,15.5,165,1,0,6,2,1,0,2,1,1,54,0,0,0,2,0,2,3,1,0,2,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0
