"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus","Amaranthaceae.undiff.","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Campanulaceae","Carya","Corylus","Cyperaceae","Elaeagnus","Ephedra","Ericaceae","Fagus","Fraxinus","Ilex","Indeterminable","Juglans","Juniperus.Thuja","Larix","Liquidambar","Myrica","Ostrya","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Tilia","Tsuga","Ulmus","Unknown","Vitis","Xanthium"
13,113,1,0,0,0,11,0,0,7,3,5,1,2,64,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,6,0,101,0,0,1,0,12,0,0,1,0,2,58,5,1,1,0
14,124,3,0,0,1,12,0,0,3,1,2,3,1,80,0,0,0,3,0,0,0,0,1,0,1,0,5,0,0,0,4,2,122.5,0,2,2,1,20,0,0,0,0,0,75,8,0,0,0
15,134,1,0,0,1,11,0,0,5,3,6,1,0,76,0,0,0,0,0,0,0,2,1,0,0,0,6,0,0,0,2,2,120.5,0,1,2,0,12,0,0,0,0,1,57,2,1,0,0
16,145,1,0,2,0,12,0,0,7,1,1,1,0,92,0,0,0,0,0,0,0,1,4,0,1,0,1,0,0,0,8,5.5,129,1,2,0,2,19,0,0,1,0,0,46,5,0,1,0
17,156,1,0,0,1,6,0,0,6,3,0,3,0,82,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,2,4,134,0,0,1,0,20,0,0,1,0,2,51,3,0,0,0
18,167,0,0,0,1,15,0,0,6,1,3,3,1,93,0,0,0,0,0,0,0,0,1,0,0,2,13,0,0,0,3,0,140.5,0,1,1,1,32,0,0,0,0,1,65,4,2,0,0
19,178,3,0,0,2,11,0,2,10,1,2,7,2,69,1,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,2,2,132,0,2,0,4,34,0,0,1,0,1,45,6,1,0,0
21,200,3,0,1,0,7,0,0,4,2,3,2,2,83,0,0,0,1,0,0,0,0,2,0,2,0,4,2,0,0,5,5,144,0,1,1,0,6,0,0,0,0,0,42,6,0,0,0
22,211,2,0,2,0,3,0,0,9,1,1,4,0,68,0,0,0,0,0,0,0,0,1,0,3,1,5,0,0,0,6,5,143,0,0,2,1,13,0,0,0,0,0,32,2,1,0,0
27,265,0,0,0,0,3,0,0,11,0,0,5,1,71,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,4,0,65.4,0,0,4,0,11,0,0,0,1,0,25,3,0,0,0
34,341,0,0,2,0,2,0,0,4,1,2,0,0,52,0,0,0,1,0,0,0,0,0,0,1,0,7,0,0,0,7,2,96.5,0,0,1,0,17,0,0,0,0,1,20,4,1,0,0
39,396,2,0,0,0,5,0,0,2,1,1,0,1,55,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,6,4.5,240.5,0,0,2,1,20,0,0,2,0,1,9,4,2,0,0
53,548,0,0,1,1,4,0,0,12,0,1,3,1,84,0,0,0,1,0,0,0,0,3,0,2,0,17,1,0,0,6,5,159,0,1,0,1,18,0,0,0,0,1,16,5,1,0,0
67,701,0,0,1,0,3,0,0,3,2,0,4,1,74,0,0,0,1,0,0,0,1,4,0,1,0,7,1,0,0,7,4,121,0,0,3,2,25,0,1,0,0,0,13,5,1,0,0
102,1082,1,0,0,1,1,0,0,0,1,0,1,0,46,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,2,1,175,0,0,0,0,16,0,0,0,0,0,18,3,3,0,0
105,1115,0,0,3,2,6,0,0,10,0,3,5,0,102,1,1,1,3,0,0,0,0,3,0,1,0,23,1,0,0,2,0,174.5,0,1,4,1,17,0,0,1,1,0,22,3,1,0,0
