"sample.depths","sample.ages","upland.sum","Acer.saccharum","Acer.undiff.","Alnus","Betula","Carya","Castanea","Chamaecyparis.thyoides","Corylus","Cupressaceae.Taxaceae.undiff.","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Liquidambar","Nyssa","Ostrya","Picea","Pinus","Quercus","Salix","Sambucus.type","Sarcobatus.vermiculatus","Tilia","Trema","Tsuga","Ulmus","Vitis","Acalypha","Ambrosia","Apiaceae","Asteraceae..high.spine.","Asteraceae..low.spine.","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Euphorbiaceae.undiff.","Fabaceae","Iridaceae","Plantago","Poaceae","Polygonum","Primulaceae","Rosaceae","Rubiaceae","Rumex","Saxifragaceae","Thalictrum","Urtica","Violaceae"
0,-51,341,0,1,11,14,1,0,3,3,1,9,0,0,65,0,7,5,1,0,85,59,0,0,1,0,0,0,0,0,0,46,0,0,3,1,12,0,1,0,1,8,0,0,3,0,0,0,0,0,0
5,177,152,0,1,1,4,0,0,0,0,2,5,0,0,10,0,3,3,0,0,74,25,0,0,0,0,0,0,0,0,0,0,0,5,10,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,1084,261,0,0,7,8,6,1,0,5,3,17,0,0,1,0,3,7,0,0,59,125,0,0,0,0,0,0,3,0,0,0,0,3,5,0,3,0,0,0,0,4,0,0,1,0,0,0,0,0,0
45,2068,364,0,0,0,4,0,0,0,0,5,4,0,0,2,0,3,2,0,0,294,39,0,0,0,0,0,0,0,0,0,0,0,6,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2830,265,0,0,1,4,1,0,16,6,8,4,0,0,4,0,5,8,3,0,82,103,0,0,0,0,0,0,1,0,0,3,0,6,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,2,0
75,4354,344,2,0,1,3,0,0,2,3,0,2,0,0,7,0,1,8,0,0,244,56,0,0,0,0,0,0,0,0,0,0,0,5,2,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0
95,5878,328,0,0,8,3,3,0,11,5,2,12,0,0,19,2,5,47,0,0,53,104,0,0,0,3,1,0,2,6,0,1,2,5,1,2,21,0,0,0,0,7,0,1,0,0,0,0,0,2,0
105,6364,279,3,0,1,3,1,1,0,2,0,12,0,1,27,0,6,64,0,0,70,57,0,0,0,0,0,0,0,0,1,0,0,4,2,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,6759,341,0,0,5,9,1,0,0,23,0,14,0,0,25,0,5,85,1,0,37,112,0,0,0,2,0,0,1,1,0,0,3,6,1,1,3,0,0,0,0,1,0,3,0,1,1,0,0,0,0
125,7154,230,1,0,4,15,1,0,0,0,1,6,0,0,9,0,6,45,0,0,22,98,0,0,0,0,0,0,0,2,0,0,0,1,3,0,10,1,0,0,0,4,0,0,1,0,0,0,0,0,0
145,7944,202,0,0,0,8,0,0,0,0,7,7,0,0,8,0,0,10,0,0,55,94,0,0,0,0,0,2,1,1,0,0,0,2,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
155,8339,179,0,0,4,2,2,0,0,6,1,7,0,0,15,0,1,16,0,0,17,84,0,0,0,0,0,0,0,1,1,0,0,4,0,0,15,0,0,0,0,2,0,0,0,0,0,1,0,0,0
175,9129,345,5,2,8,9,2,1,1,6,10,3,0,0,21,1,2,46,0,0,36,155,1,0,0,0,0,0,0,19,0,0,0,1,2,0,10,0,0,1,0,1,2,0,0,0,0,0,0,0,0
195,9632,318,1,0,11,15,3,0,0,1,15,3,0,0,13,0,1,34,0,0,49,122,0,0,0,0,0,0,1,1,0,0,0,0,1,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0
205,9766,287,2,0,23,37,0,0,0,6,24,3,0,0,5,0,0,7,0,0,27,143,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0
215,9900,285,0,0,9,50,3,1,0,2,0,6,0,0,20,0,0,7,0,0,27,142,0,0,0,1,0,0,0,0,2,1,0,2,2,0,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0
225,10035,365,0,1,14,10,8,0,0,4,6,0,0,0,2,0,0,1,2,0,143,142,0,0,0,0,0,1,2,0,0,0,2,0,1,0,16,0,0,5,0,5,0,0,0,0,0,0,0,0,0
235,10169,321,0,0,24,3,6,2,0,0,0,4,0,0,6,0,1,6,0,0,159,95,0,0,0,0,0,0,1,0,0,0,0,2,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0
255,NA,374,0,0,44,10,0,5,0,0,1,5,1,0,1,0,1,3,0,0,242,45,0,0,0,0,0,0,1,0,0,0,0,8,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0
265,NA,371,0,0,72,3,10,0,0,6,3,3,0,0,5,0,0,5,0,0,160,64,1,0,0,1,0,1,1,0,0,0,0,14,2,0,14,1,0,0,0,5,0,0,0,0,0,0,0,0,0
275,NA,357,0,0,50,6,7,0,0,1,0,12,0,0,6,0,0,3,0,3,173,75,0,0,0,0,0,5,2,0,0,0,0,8,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
