"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Caryophyllaceae","Cupressaceae","Cyperaceae","Ericaceae","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Salix","Acer","Alnus.incana","Ambrosia","Amaranthaceae","Poaceae","Alnus.viridis.subsp..crispa","Ulmus","Fraxinus","Juglans","Abies","Rosaceae.undiff.","Myrica","Rubus.chamaemorus","Populus","Carya","Corylus","Ranunculaceae.undiff.","Tsuga","Fagus","Asteraceae.subf..Asteroideae.undiff.","Thalictrum","Ostrya","Rumex","Epilobium","Plantago","Fabaceae"
0.5,0,1412,6,114,4,4,10,12,8,1063,26,4,7,2,2,2,6,14,4,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,173,1140,2,126,0,4,14,12,8,754,16,4,2,2,0,0,4,12,0,8,166,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,381,1294,14,118,0,2,18,20,8,890,12,0,8,4,0,2,2,8,2,8,162,2,2,0,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,519,1155,8,78,0,8,2,8,8,853,10,4,10,4,0,0,2,2,0,6,142,0,2,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10,657,1341,8,138,0,6,8,16,6,819,22,8,26,2,2,0,12,6,2,12,222,6,2,0,2,0,6,0,2,2,2,2,2,0,0,0,0,0,0,0,0
15,1003,1328,10,118,0,6,10,28,2,890,20,4,8,0,2,0,16,0,2,4,198,0,2,0,0,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0
20,1349,1240,12,126,0,4,8,10,6,799,22,0,9,0,0,0,14,0,0,0,220,0,0,0,0,0,4,0,0,0,0,0,0,0,4,2,0,0,0,0,0
25,1685,1076,10,128,0,0,8,18,2,632,6,0,4,2,0,0,4,2,0,8,232,0,6,0,2,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0
29,1923,1178,10,128,0,0,6,28,2,715,30,4,13,0,2,0,16,4,2,2,204,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,2,0,0,0
35,2279,1366,12,130,0,0,8,16,2,828,24,0,8,0,2,0,6,0,0,8,310,2,2,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0
40,2577,1377,14,128,0,2,8,22,8,865,24,6,14,2,2,0,20,4,2,6,238,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,4,2,0
45,2874,1108,8,96,0,4,6,22,0,662,4,0,2,4,0,0,10,2,0,8,262,2,0,0,0,0,8,0,0,0,0,0,0,0,2,0,4,0,0,2,0
50,3171,1613,12,136,0,6,4,22,2,972,12,2,11,2,4,2,10,2,0,0,406,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3468,1321,12,144,0,4,4,14,4,817,4,0,2,0,0,0,4,6,0,2,288,2,0,0,0,0,10,0,0,0,2,0,0,0,2,0,0,0,0,0,0
60,3793,1646,6,182,0,4,2,10,0,924,4,4,10,0,0,0,20,2,0,6,460,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,4117,1353,16,198,0,2,10,16,2,715,4,0,6,2,2,0,10,2,0,2,364,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,4442,1372,0,214,0,4,0,14,4,691,2,2,5,2,4,0,10,2,0,6,400,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,4767,1417,10,224,0,0,16,8,8,623,6,4,6,4,0,0,14,4,0,4,482,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,5091,1867,6,380,0,0,2,0,6,693,18,2,6,0,2,0,30,4,2,4,702,0,2,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0
85,5416,1542,4,312,0,0,6,6,2,608,4,2,2,4,6,0,4,4,2,2,558,0,2,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,2
90,5741,1056,6,202,0,0,10,2,0,440,4,0,10,0,0,0,0,6,2,4,356,2,2,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0
95,6065,1147,6,162,0,4,10,8,6,547,2,0,4,2,0,0,2,2,4,2,384,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,6390,1146,24,264,0,86,46,44,62,336,0,0,8,10,34,0,10,4,4,34,134,0,2,0,0,0,2,0,30,2,0,0,0,0,4,0,2,0,0,4,0
