"sample.depths","sample.ages","upland.sum","Abies","Acer.spicatum","Alnus.undiff.","Betula","Corylus","Cyperaceae","Larix","Pinus.undiff.","Quercus","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Alnus.viridis","Myrica","Rumex.Oxyria.digyna","Pinus.strobus","Potentilla","Picea.undiff.","Populus.balsamifera","Picea.glauca","Picea.mariana","Artemisia","Carya","Cupressaceae","Ambrosia","Poaceae","Pinus.banksiana.type","Ostrya.Carpinus","Populus.undiff.","Tsuga.canadensis","Fraxinus.nigra","Castanea","Amaranthaceae","Caryophyllaceae","Fagus","Shepherdia.canadensis","Acer.saccharum","Ericaceae","Apiaceae","Plantago","Cornus.sericea","Acer.undiff.","Fabaceae","Rosaceae.undiff.","Ilex","Epilobium","Campanula.type","Cornus.canadensis","Spiraea","Saxifraga.undiff.","Saxifraga.oppositifolia","Saxifraga.pensylvanica","Urtica","Dryas","Tilia"
469,10384,315,4,3,2,219,5,3,7,7,6,1,3,3,2,1,4,18,1,7,1,8,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,10480,321,1,2,0,195,1,6,3,5,8,1,5,1,2,0,4,41,0,6,0,22,4,5,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,10624,407,3,0,0,293,0,6,0,3,8,2,0,2,2,0,2,39,0,3,1,10,11,4,2,0,0,5,0,0,1,1,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,10768,383,0,0,0,215,0,9,2,5,16,2,0,5,5,0,2,54,0,1,0,30,8,7,5,0,0,6,0,0,1,2,1,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,10912,323,0,0,1,67,1,8,3,8,20,10,0,10,1,1,2,79,0,10,3,52,12,13,1,0,0,9,1,2,0,1,0,0,3,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,11037,647,1,0,0,138,0,6,0,13,18,33,0,28,2,1,8,257,0,11,2,55,11,19,5,1,0,15,1,8,0,2,2,1,2,0,0,0,0,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,11112,564,0,0,1,128,0,7,0,9,14,26,0,20,0,0,4,261,0,11,1,34,2,13,2,0,0,6,1,12,2,1,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,11187,462,0,0,1,102,0,4,0,8,12,20,0,19,0,2,3,203,0,15,3,18,2,7,1,1,0,1,0,22,1,2,1,0,3,0,0,0,0,0,0,7,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
505,11262,541,1,1,1,143,0,13,0,17,1,20,0,17,0,0,6,244,0,11,5,13,4,6,1,0,0,5,0,14,2,0,1,0,1,1,0,0,0,0,1,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
509,11363,351,0,0,0,134,0,12,1,13,1,12,1,5,1,2,6,107,0,8,4,5,1,3,1,1,0,0,0,11,7,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
511,11413,368,0,0,3,129,0,13,1,13,5,9,0,9,0,3,2,109,0,9,6,2,1,2,1,0,0,1,1,15,5,1,0,0,4,0,0,0,0,0,0,20,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
514,11556,239,0,0,1,89,0,24,0,21,9,11,0,5,0,8,1,4,0,3,2,2,0,0,0,3,0,1,0,32,4,1,0,1,1,0,0,1,0,1,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
516,11652,290,1,0,3,95,1,58,0,18,3,15,0,2,0,5,2,8,2,6,2,3,0,0,3,2,0,1,0,24,4,0,0,0,1,1,0,1,0,0,0,16,0,0,0,0,11,1,0,1,0,0,0,0,0,0,0,0,0
517,11700,314,0,0,1,77,0,87,0,12,3,18,0,7,2,0,15,9,3,4,0,3,0,0,2,4,0,0,0,24,6,2,0,0,0,1,0,2,0,0,0,12,0,0,0,0,16,0,0,1,3,0,0,0,0,0,0,0,0
518,11748,254,0,0,7,58,0,63,1,30,4,16,1,5,1,7,7,0,7,2,0,9,1,0,1,10,0,1,1,10,1,0,0,1,0,3,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
519,11840,298,0,0,0,51,0,86,0,44,1,13,1,2,0,0,31,1,7,1,5,3,0,0,9,9,0,0,1,5,7,0,0,1,1,0,1,6,0,4,0,4,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0
521,12023,256,1,0,0,48,0,62,0,26,1,20,3,3,0,16,1,3,8,3,0,12,1,0,4,11,0,0,0,13,13,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
523,12207,323,0,0,1,55,0,86,0,40,1,28,1,5,0,0,10,2,15,7,1,10,1,0,3,12,0,0,0,9,13,1,0,1,0,0,0,4,0,2,0,10,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0
525,12390,246,0,2,9,29,0,55,1,33,0,22,3,6,0,10,3,0,1,6,0,11,4,0,3,11,0,1,0,15,4,0,0,0,0,1,0,7,0,1,0,3,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0
529,12757,259,0,0,4,20,0,81,1,27,0,14,0,0,2,12,4,2,15,3,0,14,0,2,6,20,0,2,0,9,10,0,0,0,0,0,0,2,0,2,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
532,13033,286,0,0,0,34,0,87,0,44,0,25,1,9,1,0,13,1,2,4,1,7,0,0,2,13,0,1,1,11,6,1,0,0,0,0,0,7,0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
533,13124,278,1,0,8,25,0,114,2,27,1,16,0,4,0,3,1,4,0,1,0,5,1,2,5,5,0,2,2,24,7,3,0,0,1,0,1,7,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
534,13142,288,0,0,1,52,0,95,0,24,1,24,0,5,0,0,3,2,0,0,0,10,0,1,4,11,0,2,1,16,12,1,0,1,0,0,2,4,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,13159,322,1,1,1,57,0,101,0,26,3,25,0,6,1,4,4,5,0,1,0,8,2,1,1,11,0,1,1,22,17,2,0,0,0,0,1,2,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,13177,309,0,0,1,79,0,88,0,26,3,10,0,0,0,0,3,4,0,0,9,10,0,1,2,11,0,1,0,14,22,0,0,0,0,0,3,6,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
538,13211,317,0,0,0,129,0,71,0,20,4,16,1,4,2,0,0,2,0,2,1,12,1,3,1,0,0,0,1,17,8,4,0,0,0,0,1,1,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
540,13246,334,0,0,0,135,0,60,3,15,4,15,0,10,0,0,0,11,0,0,1,12,2,2,1,2,0,3,0,23,7,0,0,0,1,0,0,1,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,13281,312,0,0,1,107,0,61,1,10,4,13,0,6,1,3,0,18,0,0,0,11,4,5,1,2,0,4,0,28,14,1,0,0,1,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,13675,346,0,0,0,121,0,73,0,21,8,16,0,9,0,3,0,10,0,0,1,16,1,1,2,7,0,1,0,27,13,1,0,0,0,1,1,1,0,1,0,7,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
548,13895,280,2,1,0,87,0,78,4,12,2,15,0,6,0,2,0,3,0,0,0,9,0,3,2,1,0,7,0,24,15,1,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
552,14335,305,0,0,0,105,1,82,0,13,1,17,0,12,0,1,0,7,0,0,0,11,1,6,1,2,0,1,0,20,12,2,0,0,1,0,0,2,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
556,14775,339,0,1,0,158,1,31,1,15,3,30,0,15,2,4,0,17,0,1,0,5,4,0,2,3,0,11,2,9,9,5,0,1,0,0,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
560,15161,328,0,0,0,164,0,37,1,11,3,24,1,17,0,1,0,12,0,1,1,4,4,0,0,12,0,2,0,10,7,3,0,0,0,0,0,3,0,2,0,5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
566,15740,293,0,0,0,84,0,52,2,17,3,23,0,9,0,3,0,12,0,1,0,4,3,0,0,32,0,0,0,13,8,8,0,0,0,0,0,5,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
574,16513,315,0,0,1,37,2,81,3,17,7,38,0,5,1,2,0,15,0,0,0,8,0,1,0,8,0,5,0,30,10,4,0,0,0,0,0,1,0,16,0,11,3,0,0,0,5,3,0,0,1,0,0,0,0,0,0,0,0
580,17092,241,0,0,0,19,2,54,2,22,1,41,0,2,0,1,0,11,0,0,0,7,0,3,1,4,0,6,4,21,8,3,0,0,0,0,0,1,0,15,0,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
582,NA,289,0,0,3,32,0,58,0,35,9,42,0,8,1,0,1,9,0,0,1,15,0,2,0,11,0,0,1,3,10,5,0,0,1,0,0,0,0,25,0,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
584,NA,279,0,0,3,30,1,33,0,29,13,29,0,2,7,0,3,0,0,1,1,21,0,5,1,6,0,1,5,3,10,7,0,0,2,0,0,2,0,31,0,17,0,4,0,0,0,0,1,1,0,0,0,0,1,0,0,9,0
586,NA,260,0,0,3,33,0,38,0,46,6,46,0,3,1,2,1,0,0,0,0,21,0,5,0,10,1,0,4,7,11,4,0,0,1,0,1,1,0,0,0,7,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1
