"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Betula","Carya","Castanea","Cephalanthus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Cyperaceae","Galium","Iva.annua.type","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Rosaceae","Rumex","Thalictrum","Xanthium","Zea"
1,-41,0,0.012195122,0.013719512,0.013719512,0,0.233231707,0.012195122,0.038109756,0,0,0.007621951,0,0.016768293,0.007621951,0,0,0.013719512,0.00304878,0.00304878,0,0,0,0,0.00304878,0.007621951,0,0.016768293,0.030487805,0.12652439,0.00152439,0,0.214939024,0,0,0.033536585,0.00304878,0,0.091463415,0,0.004573171,0.004573171,0.00304878,0,0.00152439,0,0.047256098,0,0,0.033536585,0,0,0.00152439
3,-37,0,0.009538951,0.015898251,0.012718601,0,0.228934817,0.007949126,0.038155803,0,0.00317965,0.004769475,0,0.042925278,0.015898251,0,0,0.001589825,0,0,0,0,0,0,0.009538951,0.007949126,0.00317965,0.020667727,0.033386328,0.093799682,0,0,0.249602544,0.001589825,0,0.041335453,0.004769475,0,0.073131955,0,0.007949126,0.00317965,0,0,0,0,0.052464229,0.001589825,0,0.014308426,0,0,0
5,-30,0,0.013953488,0.009302326,0.012403101,0,0.204651163,0.004651163,0.072868217,0,0.003100775,0.012403101,0,0.018604651,0,0,0,0.009302326,0.003100775,0.003100775,0.003100775,0,0.001550388,0,0.004651163,0.004651163,0,0.026356589,0.037209302,0.120930233,0.003100775,0.004651163,0.207751938,0.004651163,0,0.041860465,0.021705426,0,0.071317829,0,0.003100775,0.003100775,0,0,0,0,0.040310078,0,0.001550388,0.031007752,0,0,0
7,-24,0,0.013931889,0.012383901,0.013931889,0,0.235294118,0.003095975,0.044891641,0,0,0.004643963,0,0.030959752,0.007739938,0,0,0.017027864,0,0.004643963,0,0,0,0,0.003095975,0.007739938,0.00619195,0.012383901,0.044891641,0.085139319,0.003095975,0.004643963,0.22755418,0.001547988,0,0.043343653,0.009287926,0.003095975,0.083591331,0.003095975,0,0.003095975,0.003095975,0,0,0,0.043343653,0,0.001547988,0.021671827,0,0,0
9,-20,0,0.021116139,0.012066365,0.004524887,0,0.209653092,0.009049774,0.028657617,0,0,0.004524887,0,0.021116139,0.003016591,0.003016591,0,0.004524887,0.003016591,0,0,0,0,0.001508296,0.02413273,0.003016591,0,0.027149321,0.069381599,0.101055807,0.004524887,0,0.200603318,0.003016591,0,0.067873303,0.007541478,0,0.081447964,0,0.003016591,0.003016591,0,0.001508296,0,0,0.04826546,0,0.001508296,0.027149321,0,0,0
11,-15,0,0.00311042,0.00933126,0.00777605,0,0.195956454,0.017107309,0.032659409,0.00466563,0,0.00466563,0.00466563,0.041990669,0.00311042,0,0,0.00777605,0,0.00466563,0,0.091757387,0.00155521,0,0.00311042,0.00311042,0.00311042,0.063763608,0.018662519,0.066874028,0,0,0.231726283,0.00466563,0,0,0.00933126,0,0.066874028,0,0.00311042,0,0.00777605,0,0,0,0.066874028,0,0.00622084,0.01399689,0,0,0
13,-7,0,0.014423077,0.025641026,0.008012821,0,0.190705128,0.008012821,0.02724359,0.004807692,0,0.011217949,0.003205128,0.02724359,0.008012821,0.008012821,0,0,0,0.004807692,0,0,0,0,0.016025641,0.004807692,0,0.016025641,0.03525641,0.094551282,0.003205128,0,0.245192308,0.004807692,0.003205128,0.065705128,0.019230769,0,0.060897436,0.003205128,0.004807692,0,0,0,0,0,0.044871795,0,0.001602564,0.03525641,0,0,0
15,9,0,0.013774105,0.011019284,0.013774105,0,0.185950413,0.006887052,0.061983471,0,0,0.006887052,0.002754821,0.02892562,0.017906336,0.002754821,0.002754821,0.005509642,0.002754821,0,0,0,0,0,0.017906336,0.004132231,0.005509642,0.011019284,0.033057851,0.08815427,0.002754821,0,0.203856749,0,0,0.026170799,0.013774105,0,0.077134986,0,0.011019284,0,0.002754821,0,0,0,0.075757576,0.002754821,0.00137741,0.05922865,0,0,0
17,30,0.002751032,0.011004127,0.01650619,0.019257221,0,0.162310867,0.004126547,0.068775791,0,0,0.008253095,0,0.048143054,0.008253095,0.002751032,0,0.011004127,0.002751032,0.002751032,0,0,0,0,0.022008253,0.002751032,0.002751032,0.03301238,0.023383769,0.112792297,0,0,0.178817056,0,0,0.031636864,0.004126547,0,0.081155433,0,0.004126547,0.002751032,0.004126547,0,0,0.002751032,0.052269601,0,0.002751032,0.070151307,0,0,0
19,42,0,0.013043478,0.023188406,0.015942029,0,0.123188406,0.002898551,0.08115942,0.004347826,0,0,0.004347826,0.020289855,0.004347826,0.002898551,0,0.008695652,0,0.004347826,0,0,0,0,0.011594203,0,0.010144928,0.015942029,0.027536232,0.152173913,0,0,0.192753623,0.004347826,0,0.056521739,0.007246377,0,0.076811594,0,0.002898551,0,0.002898551,0,0,0,0.065217391,0,0,0.065217391,0,0,0
21,53,0,0.006915629,0.008298755,0.01659751,0,0.132780083,0.011065007,0.060857538,0,0,0,0,0.041493776,0.011065007,0.002766252,0,0.002766252,0,0.002766252,0,0,0,0,0.002766252,0,0.019363762,0.035961272,0.01659751,0.12033195,0,0,0.193637621,0.001383126,0,0.060857538,0.008298755,0,0.100968188,0,0.006915629,0.002766252,0.006915629,0,0,0.001383126,0.049792531,0,0.001383126,0.067773167,0.004149378,0.001383126,0
