"sample.depths","sample.ages","Abies","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Caryophyllaceae","Cornus","Corylus","Cyperaceae","Dryopteris.type","Epilobium","Ericaceae","Fabaceae","Fagus","Indeterminable","Isoëtes","Lycopodium.type","Menyanthes.trifoliata","Myrica","Nuphar","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Poaceae","Polygonum","Populus","Potamogetonaceae","Quercus","Ranunculus","Rosaceae.undiff.","Rubus.chamaemorus","Rumex","Sagittaria","Salix","Shepherdia","Sparganium.type","Sphagnum","Thalictrum","Tsuga","Unknown","Woodsia"
400,-26,1,0,0,70,0,0,0,1,2,96,0,0,1,0,7,0,19,0,0,16,0,17,0,0,0,1,0,135,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
420,655,7,0,3,78,0,0,0,1,0,120,0,0,9,13,2,0,17,0,1,4,20,8,0,2,0,0,3,85,2,2,4,0,0,2,0,4,0,0,0,2,0,1,0,0,20,0,1,0,0
440,1335,2,1,1,64,0,0,0,0,1,94,0,0,5,5,3,0,18,0,1,2,17,13,0,8,0,0,3,92,4,1,4,6,0,3,0,0,0,0,0,0,0,1,0,1,24,0,0,2,0
460,2016,7,0,1,46,1,2,0,0,1,107,0,0,0,18,1,0,10,0,0,0,11,5,0,3,0,0,0,96,6,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0,15,0,0,5,0
480,2580,9,0,1,79,0,0,0,0,0,102,0,1,0,14,2,0,11,0,0,0,23,10,0,2,0,0,0,91,10,2,0,4,0,3,0,2,0,0,0,2,0,0,0,0,12,0,1,4,0
500,3027,0,0,0,33,0,0,0,0,0,53,0,0,0,6,0,0,7,0,0,1,0,4,0,9,0,0,0,33,0,5,4,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
520,3474,7,0,1,61,0,0,0,1,1,117,0,0,0,4,0,0,4,0,0,2,6,6,0,2,0,0,0,100,10,9,1,1,0,0,0,1,0,0,0,1,0,0,0,0,16,0,0,4,0
540,3921,3,0,0,43,0,0,0,1,2,58,0,0,0,10,5,0,9,0,0,0,0,5,0,3,0,0,0,46,1,4,3,1,0,0,2,1,0,0,0,0,0,0,0,0,20,0,0,0,0
560,4447,7,0,1,42,0,1,0,2,0,119,0,0,9,6,1,0,6,0,0,1,1,9,0,6,1,0,0,97,11,6,2,1,0,0,0,2,0,0,0,1,0,0,0,0,12,2,1,5,0
580,5050,5,0,0,27,0,0,0,0,0,53,0,0,0,1,1,0,2,0,0,3,0,5,0,0,1,0,0,55,4,9,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,7,0
600,5654,8,0,2,49,0,1,0,3,1,181,0,0,4,10,0,0,6,0,0,1,0,18,1,4,1,0,0,124,0,3,2,3,0,4,0,2,0,0,0,0,1,1,0,0,0,2,0,4,0
620,7431,1,0,0,88,0,0,0,0,0,125,0,0,7,1,3,0,4,0,0,3,0,24,0,1,0,0,0,42,10,2,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
640,8474,7,0,1,81,0,1,1,1,0,107,0,0,6,16,4,0,3,0,0,2,32,13,0,8,0,0,0,53,13,2,2,13,0,2,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0
660,9517,1,0,0,54,0,0,0,0,1,90,0,0,3,6,1,1,3,0,0,10,0,11,0,0,0,0,0,11,1,1,16,2,0,7,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0
680,10192,2,0,0,50,0,2,0,4,0,212,0,0,2,26,9,0,10,0,0,0,13,10,0,7,0,0,0,57,19,10,2,1,0,0,2,14,16,0,0,1,0,23,2,0,0,0,0,0,0
700,10498,0,0,0,13,0,0,0,0,1,41,0,0,2,15,1,0,3,1,1,2,0,3,0,0,0,0,0,3,1,2,3,3,0,0,5,1,14,0,0,0,0,5,0,0,0,0,0,0,0
720,10804,1,0,0,11,0,0,0,0,0,78,1,0,14,16,1,0,10,3,0,4,1,6,0,1,0,0,0,6,7,0,11,7,0,0,3,6,5,1,0,0,4,26,1,0,0,1,0,0,3
740,11110,0,0,0,9,0,0,0,1,0,53,0,0,15,8,3,0,12,3,2,5,0,6,0,0,0,0,0,7,7,0,12,11,0,0,0,4,11,0,0,0,0,42,0,0,0,1,0,0,0
760,NA,0,0,0,3,0,0,0,2,0,13,0,0,5,12,3,0,5,0,0,1,0,0,0,1,0,0,0,0,4,1,0,4,1,0,0,1,2,1,0,0,0,11,0,0,0,0,0,0,2
780,NA,0,0,0,3,0,0,0,0,0,7,0,0,4,13,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,0,4,3,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1
800,NA,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0
