"sample.depths","sample.ages","Iva.annua.type","Corylus","Cyperaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Iva.xanthifolia.type","Larix","Picea","Pinus.undiff.","Plantago.major","Populus.tremuloides.type","Quercus","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Humulus.Cannabis.sativa","Juniperus.type","Myrica","Chenopodium.type","Pinus.banksiana.P..resinosa","Pinus.strobus.type","cf..Rhamnus.alnifolia","Fabaceae.cf..Melilotus","Ilex","Juglans.nigra","Ostrya.Carpinus","Platanus","Ulmus","Geum","Carya","Juglans.cinerea","Tilia","Fagus","Ericaceae.undiff.","Ledum.Chamaedaphne.calyculata","Salix","Ephedra","Fraxinus.undiff.","Caryophyllaceae","Rosaceae.undiff.","Ranunculus.flabellaris.type","Rubus.chamaemorus","Prunus.americana.type","cf..Viburnum.lentago","Gaultheria.procumbens","Populus.balsamifera.type","Dalea","Liquidambar","Toxicodendron.radicans.type","Cornus.canadensis","Apiaceae","Castanea","Zea.mays","Potentilla","Laportea"
0,-29,0.0232558139534884,0.0232558139534884,0.0387596899224806,0.0232558139534884,0.00775193798449612,0.0930232558139535,0.0155038759689922,0.0155038759689922,0.00775193798449612,0.186046511627907,0.00775193798449612,0.00775193798449612,0.10077519379845,0.00775193798449612,0.0155038759689922,0.0155038759689922,0.0310077519379845,0.0930232558139535,0.00775193798449612,0.0387596899224806,0.0310077519379845,0.193798449612403,0.00775193798449612,0.00775193798449612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,509,0,0.00558659217877095,0.0167597765363128,0.0223463687150838,0,0.0111731843575419,0.00558659217877095,0.0167597765363128,0.0279329608938547,0.206703910614525,0,0.00558659217877095,0.0502793296089385,0,0.363128491620112,0.00558659217877095,0,0.0111731843575419,0,0.00558659217877095,0.0223463687150838,0.167597765363128,0,0,0.00558659217877095,0.00558659217877095,0.0111731843575419,0.00558659217877095,0.0223463687150838,0.00558659217877095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1020,0.005,0.005,0.005,0.02,0,0,0,0.015,0.01,0.29,0,0,0.04,0,0.445,0,0.005,0.005,0,0.005,0.01,0.09,0,0,0,0,0.02,0,0.01,0,0.01,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1507,0,0,0.00529100529100529,0.00529100529100529,0,0,0,0.00529100529100529,0.0105820105820106,0.322751322751323,0,0.0211640211640212,0.0158730158730159,0,0.317460317460317,0,0,0,0,0.0105820105820106,0.037037037037037,0.211640211640212,0,0,0,0,0,0,0.0264550264550265,0,0,0,0.00529100529100529,0.00529100529100529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2019,0,0,0,0.00427350427350427,0,0.00427350427350427,0,0.0170940170940171,0.00427350427350427,0.482905982905983,0,0,0.0512820512820513,0.00427350427350427,0.0726495726495727,0,0,0,0,0.00427350427350427,0.0256410256410256,0.294871794871795,0,0,0.00427350427350427,0,0.00427350427350427,0.00427350427350427,0.00854700854700855,0,0.00427350427350427,0,0.00427350427350427,0,0.00427350427350427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2531,0,0,0,0.0045045045045045,0,0.0045045045045045,0,0.0045045045045045,0,0.216216216216216,0,0,0.045045045045045,0.0045045045045045,0.265765765765766,0,0,0.009009009009009,0,0.0045045045045045,0.0225225225225225,0.328828828828829,0,0,0,0,0.036036036036036,0,0.0225225225225225,0,0,0,0.0045045045045045,0.009009009009009,0,0.009009009009009,0.0045045045045045,0.0045045045045045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,3043,0.00425531914893617,0,0,0.00425531914893617,0.00425531914893617,0,0,0.00851063829787234,0.00851063829787234,0.668085106382979,0,0.00851063829787234,0.0893617021276596,0,0.00425531914893617,0.00425531914893617,0,0,0,0.00425531914893617,0.00425531914893617,0.0936170212765957,0,0,0,0.00425531914893617,0.0340425531914894,0.0127659574468085,0.0170212765957447,0,0,0.00425531914893617,0.00425531914893617,0,0,0,0.00851063829787234,0,0.00851063829787234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3650,0,0.00469483568075117,0.0140845070422535,0.0234741784037559,0,0.00469483568075117,0,0.0422535211267606,0,0.446009389671362,0,0.0140845070422535,0.122065727699531,0.00469483568075117,0,0.00469483568075117,0,0.00469483568075117,0,0.00938967136150235,0.0140845070422535,0.206572769953052,0,0,0,0,0.00938967136150235,0,0.0234741784037559,0,0.0140845070422535,0.00938967136150235,0.00469483568075117,0,0.00469483568075117,0,0.00938967136150235,0,0,0.00469483568075117,0.00469483568075117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,4241,0,0.00353356890459364,0.0212014134275618,0.0318021201413428,0,0.0176678445229682,0,0.0106007067137809,0.00353356890459364,0.484098939929329,0,0,0.0530035335689046,0,0,0.00353356890459364,0,0.00706713780918728,0,0.00706713780918728,0.0141342756183746,0.236749116607774,0.00353356890459364,0,0,0,0.0318021201413428,0,0.0212014134275618,0,0,0,0.0176678445229682,0,0.0176678445229682,0.00706713780918728,0.00353356890459364,0,0,0,0,0.00353356890459364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,4832,0,0,0.0151515151515152,0.0113636363636364,0,0.00378787878787879,0,0.00757575757575758,0,0.390151515151515,0,0.00378787878787879,0.128787878787879,0.00378787878787879,0,0,0,0.0113636363636364,0,0,0.00757575757575758,0.299242424242424,0,0,0,0,0.0568181818181818,0.00378787878787879,0.0340909090909091,0,0,0.00757575757575758,0,0,0.00378787878787879,0.00378787878787879,0,0,0.00378787878787879,0.00378787878787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
