"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Arceuthobium","Betula","Carya","Castanea","Corylus","Cyperaceae","Juglans.cinerea","Juglans.nigra","Nyssa","Ostrya.Carpinus","Pinus.undiff.","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Populus","Poaceae","Cephalanthus.occidentalis","Platanus.occidentalis","Liquidambar.styraciflua","Fagus.grandifolia","Ambrosia.Iva","Ericaceae","Fraxinus.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Polygonum.lapathifolium.type","Fabaceae","Acer.rubrum","Ilex","Ulmus","Apiaceae","Brassicaceae","Acer.saccharum","Picea.undiff.","Thalictrum","Tilia","Cornus","Lamiaceae","Abies","Acer.negundo","Fraxinus.pennsylvanica.type","Amaranthaceae","Urticaceae","Fraxinus.nigra.type","Plantago","Diospyros","Artemisia","Rhamnaceae","Acer.undiff.","Cupressaceae","Alnus.undiff.","Caryophyllaceae","Epilobium","Polemonium","Sanguisorba.canadensis","Coniferophyta.undiff.","Larix","Rosaceae.undiff.","Picea.glauca","Picea.mariana","Campanula","Asteraceae.subf..Cichorioideae","Galium"
185,13066,473,91,4,3,11,1,0,3,72,0,0,0,21,61,22,1,0,26,1,12,2,0,0,0,0,0,0,13,2,0,0,3,0,1,0,0,1,32,2,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,10,0,0,33,1,1,0,0
190,13426,409,188,15,0,5,1,0,2,34,0,0,0,6,47,8,1,0,22,0,5,0,0,0,0,0,0,0,23,1,0,0,1,0,0,0,0,0,28,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,3,0,0,0,0,0,0,0,0
200,14098,376,156,12,3,1,0,0,0,25,0,0,0,3,40,4,0,0,32,0,3,0,0,0,0,0,0,0,19,8,0,0,0,0,0,1,0,0,42,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
210,14686,377,60,9,3,1,0,0,1,38,0,0,0,11,48,38,0,0,17,1,7,0,0,0,2,3,0,1,16,7,0,0,1,0,0,0,1,1,48,1,0,1,0,55,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
210.1,14692,420,81,1,5,8,2,0,4,69,0,0,0,16,62,25,0,0,22,1,7,0,0,0,1,1,0,0,13,1,0,0,0,0,0,0,0,1,36,1,0,0,1,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,17,0,3,15,0,0,0,0
220,15168,403,143,11,0,2,1,0,0,59,0,0,0,1,68,6,0,0,18,0,7,0,0,0,0,0,0,1,20,1,0,0,0,0,0,0,0,0,42,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0
220.1,15173,357,157,4,3,3,0,0,0,26,0,0,0,1,49,12,0,0,11,0,7,0,0,0,0,0,0,0,13,3,0,0,1,0,1,0,1,0,22,1,0,0,0,19,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,7,0,0,10,0,0,0,0
230,15527,390,212,15,4,5,0,0,0,37,0,0,0,2,35,7,0,0,14,0,4,0,0,0,0,1,0,0,12,1,0,0,0,0,1,0,0,0,23,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0
230.1,15530,357,175,4,0,0,0,0,0,24,0,0,0,2,43,1,0,0,26,0,8,0,0,0,1,0,0,0,21,0,0,0,1,0,0,0,0,0,19,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,4,0,0,1,4,10,0,0,4,2,0,1,0
240,15776,389,138,6,1,1,0,0,0,37,0,0,0,2,50,4,2,0,22,0,5,1,0,0,0,0,0,1,25,6,0,0,0,0,0,0,2,0,58,2,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
