"sample.depths","sample.ages","upland.sum","Picea","Pinus","Abies","Tsuga","Larix","Betula","Populus","Quercus","Ulmus","Acer","Fraxinus","Ostrya.Carpinus","Juniperus","Alnus","Salix","Corylus","Myrica","Cornus","Ericaceae.undiff.","Poaceae","Asteraceae.undiff.","Artemisia","Aster","Solidago","Arctostaphylos","Chenopodiineae","Rosaceae.undiff.","Potentilla","Polygonaceae","Caryophyllaceae","Ranunculaceae","Brassicaceae","Plantago","Cyperaceae"
0,-34,351,127,36,0,0,0,14,0,0,0,0,0,0,3,23,3,0,0,0,117,5,3,1,0,0,0,2,5,0,0,3,0,1,0,8
5,109,433,118,102,0,0,1,23,0,0,0,0,0,0,0,19,5,0,0,0,144,7,2,2,0,0,0,0,0,0,1,1,0,0,0,8
10,253,301,86,19,0,0,0,25,0,0,0,0,0,0,0,15,6,0,0,0,12,124,0,0,0,0,0,0,0,1,1,0,0,0,0,12
15,396,374,123,54,0,0,1,15,0,0,0,0,0,0,5,12,7,0,0,0,33,96,3,7,0,0,0,0,7,0,0,0,0,0,0,11
20,540,405,144,75,0,0,0,31,0,0,0,0,0,0,11,19,9,0,0,0,49,18,3,21,0,0,0,0,3,0,0,0,0,0,0,22
25,683,453,284,44,0,0,0,55,0,0,0,0,0,0,0,32,4,0,0,0,12,9,0,0,0,0,5,0,1,0,0,0,0,0,0,7
30,826,304,144,48,0,0,0,39,0,0,0,0,0,0,0,22,5,0,0,0,15,3,3,1,0,0,8,0,1,0,4,0,0,0,0,11
33,912,354,228,46,0,0,0,42,0,0,0,0,0,0,0,24,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,9
38,1056,569,309,120,0,0,0,42,0,0,0,0,0,0,0,26,8,0,0,0,27,2,1,3,0,0,10,1,3,0,3,0,0,0,0,14
43,1775,370,196,49,0,0,0,42,0,0,0,0,0,0,4,27,1,0,0,0,5,2,5,4,1,1,3,1,1,0,1,0,1,0,0,26
48,2558,398,138,33,0,0,0,33,0,0,0,0,0,0,7,30,4,0,0,0,5,13,0,9,0,0,3,0,6,0,1,0,0,1,0,115
53,3341,395,231,36,0,0,0,29,3,0,0,0,0,0,3,9,0,0,0,0,0,6,3,6,0,0,0,0,6,0,0,0,0,0,0,63
58,4125,312,152,8,0,0,0,20,0,0,0,0,0,0,8,9,8,0,0,0,3,9,3,1,0,0,0,1,4,0,5,0,0,3,0,78
63,4908,301,144,40,0,0,0,24,0,0,0,0,0,0,5,8,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,1,0,67
68,5285,403,224,34,0,0,0,31,0,0,0,0,0,0,1,11,3,0,0,0,1,5,1,2,0,0,0,1,1,0,2,0,0,1,0,85
73.5,5402,438,242,43,0,0,0,33,0,0,0,0,0,0,3,12,1,0,1,0,2,7,2,1,0,0,0,2,2,0,2,0,0,2,0,83
79,5519,416,241,45,0,0,0,29,0,0,0,0,0,0,2,11,3,0,0,0,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,77
84.5,5637,310,181,37,0,1,0,19,2,0,0,0,0,0,0,6,5,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,2,0,50
90,5754,420,231,63,0,0,0,15,0,0,0,0,0,0,2,21,1,0,0,0,0,11,0,0,0,0,3,1,0,0,1,0,0,0,0,71
95,5860,313,155,46,0,0,0,9,4,0,0,0,0,0,2,14,4,0,0,0,0,7,0,0,0,0,3,2,0,0,1,0,0,0,0,66
100,5967,414,244,55,0,0,0,11,2,0,0,0,0,0,0,5,4,0,2,0,1,9,0,0,0,2,2,0,2,0,0,0,0,0,0,75
105,6074,355,110,63,0,1,1,29,1,0,0,0,0,0,0,24,5,0,1,0,11,20,2,5,0,0,0,6,1,0,7,2,0,0,1,65
110,6180,336,161,45,0,0,0,35,3,0,0,0,0,0,0,21,4,0,0,0,11,7,0,7,0,0,0,0,0,0,0,8,0,0,2,32
115,6287,310,164,35,0,0,0,42,0,0,0,0,0,0,6,17,4,0,0,0,15,3,0,0,0,0,0,0,0,0,2,7,0,0,0,15
120,6393,326,171,33,0,0,0,39,1,0,0,0,0,0,2,24,5,0,0,0,21,3,0,0,0,0,0,0,1,1,1,4,0,0,1,19
125,6500,356,191,57,0,0,0,34,0,0,0,0,0,0,0,8,2,0,0,0,15,3,0,2,0,0,0,7,0,0,5,1,0,0,0,31
130,6606,367,195,51,0,0,1,37,5,0,0,0,0,0,0,9,7,0,1,0,11,12,0,3,0,0,0,3,1,0,2,2,0,0,0,27
145,6926,331,201,54,0,0,0,24,0,0,0,0,0,0,0,12,3,0,0,0,2,3,0,2,0,0,0,5,1,0,0,0,0,0,0,24
160,NA,312,198,51,0,0,0,21,0,0,0,0,0,0,0,13,2,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,21
