"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Betula","Carya","Castanea","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Liquidambar","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.subg..Pinus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Galium","Iva.annua.type","Plantago","Poaceae","Polygonaceae.undiff.","Rosaceae","Rumex","Thalictrum","Xanthium"
1,-36,0,0.0164203612479475,0.013136288998358,0.0262725779967159,0.266009852216749,0.00985221674876847,0.00328407224958949,0,0,0.00164203612479475,0,0.00328407224958949,0.0361247947454844,0.013136288998358,0.00492610837438424,0.00328407224958949,0.00328407224958949,0,0,0,0,0.013136288998358,0,0.00328407224958949,0.0164203612479475,0.0607553366174056,0.0295566502463054,0.0443349753694581,0.00164203612479475,0,0.22824302134647,0,0.00328407224958949,0,0.0623973727422003,0.00328407224958949,0,0.0394088669950739,0.00328407224958949,0.00492610837438424,0,0,0.00492610837438424,0,0,0,0.0525451559934319,0,0,0.0262725779967159,0.00164203612479475,0
3,-24,0,0.0175131348511384,0.0140105078809107,0.00175131348511384,0.280210157618214,0.00350262697022767,0.00875656742556918,0,0,0,0.00525394045534151,0.00525394045534151,0.0683012259194396,0.00525394045534151,0.00525394045534151,0,0.00525394045534151,0.00350262697022767,0.00350262697022767,0,0,0.00875656742556918,0,0,0.0175131348511384,0.0612959719789842,0.00350262697022767,0.0437828371278459,0.00350262697022767,0.00875656742556918,0.211908931698774,0,0.00350262697022767,0.00350262697022767,0.112084063047285,0.0175131348511384,0,0.0140105078809107,0,0.00350262697022767,0.00525394045534151,0,0.00350262697022767,0,0.00175131348511384,0,0.031523642732049,0,0,0.0175131348511384,0,0
5,-11,0.00345423143350604,0.0259067357512953,0.0207253886010363,0.00345423143350604,0.322970639032815,0.0138169257340242,0.00863557858376511,0,0,0,0.00518134715025907,0.00172711571675302,0.07426597582038,0.00518134715025907,0,0.00518134715025907,0.00345423143350604,0,0.00345423143350604,0,0,0.0155440414507772,0,0.00345423143350604,0.0241796200345423,0.0362694300518135,0.0155440414507772,0.0708117443868739,0.00518134715025907,0.00345423143350604,0.158894645941278,0,0,0,0.079447322970639,0.00518134715025907,0.00345423143350604,0.0293609671848014,0,0.00863557858376511,0,0.00345423143350604,0,0,0,0,0.0241796200345423,0,0.00172711571675302,0.0138169257340242,0,0
7,1,0,0.0141732283464567,0.0094488188976378,0.0078740157480315,0.258267716535433,0.0125984251968504,0.0125984251968504,0,0,0,0.0031496062992126,0,0.0409448818897638,0.0062992125984252,0.0031496062992126,0.0047244094488189,0,0,0.0031496062992126,0,0,0.0141732283464567,0,0.0078740157480315,0.0173228346456693,0.0535433070866142,0.0141732283464567,0.0488188976377953,0.0031496062992126,0,0.240944881889764,0,0,0,0.089763779527559,0.0031496062992126,0.0015748031496063,0.0535433070866142,0.0031496062992126,0.0047244094488189,0,0,0.0031496062992126,0,0,0.0031496062992126,0.0440944881889764,0.0015748031496063,0,0.015748031496063,0,0
9,13,0,0.0125195618153365,0.0140845070422535,0.00782472613458529,0.29264475743349,0.00156494522691706,0.0172143974960876,0,0.00156494522691706,0.00312989045383412,0,0.00312989045383412,0.0579029733959311,0.0125195618153365,0,0.00312989045383412,0.00469483568075117,0.00312989045383412,0,0,0,0.00782472613458529,0,0.00469483568075117,0.0187793427230047,0.0359937402190923,0.02660406885759,0.054773082942097,0,0.00469483568075117,0.179968701095462,0,0.00469483568075117,0,0.0892018779342723,0.0125195618153365,0,0.0438184663536776,0.00312989045383412,0,0.00156494522691706,0,0.00938967136150235,0,0,0,0.0328638497652582,0.00312989045383412,0,0.0312989045383412,0,0
11,26,0.00334448160535117,0.0133779264214047,0.00501672240802676,0.00501672240802676,0.252508361204013,0.00334448160535117,0.00836120401337793,0,0,0,0,0.00334448160535117,0.0635451505016722,0.0100334448160535,0.00334448160535117,0,0.00334448160535117,0.00167224080267559,0.00501672240802676,0,0,0.0133779264214047,0,0.00836120401337793,0.0183946488294314,0.0535117056856187,0.0133779264214047,0.088628762541806,0,0.00334448160535117,0.187290969899666,0,0,0,0.0836120401337793,0.00836120401337793,0.00334448160535117,0.0535117056856187,0.00334448160535117,0,0,0,0.00334448160535117,0,0,0,0.0367892976588629,0.00334448160535117,0.00501672240802676,0.0317725752508361,0,0
13,38,0.00440528634361234,0.0249632892804699,0.0161527165932452,0.0161527165932452,0.280469897209985,0.00734214390602056,0.013215859030837,0,0,0.00587371512481645,0.00440528634361234,0.00734214390602056,0.0381791483113069,0.0146842878120411,0.00734214390602056,0.00293685756240822,0.00587371512481645,0.00293685756240822,0.00440528634361234,0,0,0.00293685756240822,0,0.0102790014684288,0.00881057268722467,0.0690161527165932,0.013215859030837,0.0249632892804699,0.00293685756240822,0.00293685756240822,0.165932452276065,0,0.00293685756240822,0,0.0719530102790015,0.00734214390602056,0,0.0558002936857562,0.00587371512481645,0.00293685756240822,0,0,0.00293685756240822,0,0,0,0.0690161527165932,0,0,0.0234948604992658,0,0
15,51,0.00305343511450382,0.00763358778625954,0.0183206106870229,0.016793893129771,0.285496183206107,0.00305343511450382,0.00916030534351145,0,0,0,0.00305343511450382,0.0122137404580153,0.0702290076335878,0.0137404580152672,0.00763358778625954,0,0,0,0.00458015267175573,0,0,0.00458015267175573,0,0.00458015267175573,0.016793893129771,0.065648854961832,0.00458015267175573,0.0473282442748092,0,0.00305343511450382,0.215267175572519,0,0.00458015267175573,0,0.0396946564885496,0.00763358778625954,0,0.0519083969465649,0,0.00916030534351145,0,0,0.00305343511450382,0,0,0.00305343511450382,0.0442748091603053,0,0,0.0183206106870229,0,0.00152671755725191
17,63,0.00297619047619048,0.0119047619047619,0.00892857142857143,0.0163690476190476,0.296130952380952,0,0.0163690476190476,0,0,0,0.00744047619047619,0.00446428571428571,0.0476190476190476,0.0163690476190476,0,0,0.00446428571428571,0.00148809523809524,0.00297619047619048,0,0,0.00744047619047619,0,0.00744047619047619,0.0193452380952381,0.0461309523809524,0.00446428571428571,0.0461309523809524,0,0.00297619047619048,0.18452380952381,0,0.00595238095238095,0,0.074404761904762,0.0208333333333333,0.00148809523809524,0.0520833333333333,0.00148809523809524,0.00595238095238095,0,0.00446428571428571,0.00744047619047619,0,0,0,0.0357142857142857,0,0,0.0342261904761905,0,0
19,76,0,0.0175695461200586,0.00732064421669107,0.00878477306002928,0.30307467057101,0.00439238653001464,0.0161054172767204,0,0,0.00292825768667643,0.00878477306002928,0.00292825768667643,0.0629575402635432,0.00732064421669107,0.00439238653001464,0,0.00439238653001464,0.00146412884333821,0,0.00292825768667643,0,0.0161054172767204,0,0.00292825768667643,0.0146412884333821,0.0600292825768668,0.0351390922401171,0.0263543191800878,0.00292825768667643,0.00439238653001464,0.143484626647145,0,0.00292825768667643,0,0.0644216691068814,0.0131771595900439,0,0.0395314787701318,0.00585651537335286,0.00292825768667643,0,0,0.00439238653001464,0,0,0,0.0585651537335286,0,0.00146412884333821,0.0453879941434846,0,0
