"sample.depths","sample.ages","upland.sum","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Corylus","Elaeagnus","Asteraceae.subf..Cichorioideae","Picea","Quercus","Salix","Ulmus","Alnus","Fraxinus","Pinus","Amaranthaceae","Poaceae","Plantago","Shepherdia","Acer.spicatum","Asteraceae.subf..Asteroideae.undiff.","Polygonaceae","Thalictrum","Cyperaceae","Populus","Rosaceae","Juglans","Ostrya.Carpinus","Ephedra","Myrica","Cupressaceae","Ericaceae","Abies","Larix","Carya"
2,12,354,1,61,37,11,4,1,3,5,84,1,3,9,7,20,62,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,24,305,0,39,32,7,1,2,1,7,83,0,2,6,0,24,60,36,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,37,502,0,70,55,19,0,5,0,9,76,3,2,10,7,64,124,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,49,459,0,59,75,14,6,2,0,11,86,4,4,5,3,65,90,33,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,61,404,0,33,62,11,4,3,2,7,77,5,1,13,1,45,73,58,0,0,0,3,0,2,3,1,0,0,0,0,0,0,0,0,0,0
12,74,502,0,28,66,16,6,0,0,13,119,10,0,20,3,48,63,100,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,86,402,0,32,58,12,4,0,0,9,76,6,5,8,3,57,58,62,1,0,0,3,0,1,6,1,0,0,0,0,0,0,0,0,0,0
16,98,405,0,22,59,15,6,0,1,9,81,6,3,12,4,58,40,78,1,0,0,0,0,2,7,1,0,0,0,0,0,0,0,0,0,0
18,117,519,0,15,122,20,3,0,1,16,49,15,6,12,2,97,16,96,2,0,0,19,0,4,22,1,1,0,0,0,0,0,0,0,0,0
20,142,516,0,15,110,12,12,0,0,24,70,7,0,11,1,96,13,93,2,0,0,23,0,4,20,3,0,0,0,0,0,0,0,0,0,0
22,166,622,0,11,114,18,10,1,1,21,100,11,6,15,3,133,24,112,1,0,0,13,0,1,26,0,0,1,0,0,0,0,0,0,0,0
24,191,329,0,5,48,5,4,0,0,16,52,3,5,5,3,95,7,46,0,0,0,5,0,0,29,1,0,0,0,0,0,0,0,0,0,0
26,216,472,0,17,49,18,9,2,1,18,118,7,6,23,0,89,18,68,1,0,0,3,0,2,23,0,0,0,0,0,0,0,0,0,0,0
30,266,431,0,22,58,14,17,2,1,9,119,12,0,4,3,61,14,62,2,0,0,8,0,0,23,0,0,0,0,0,0,0,0,0,0,0
50,515,523,2,10,94,21,9,0,0,6,130,10,3,10,6,68,14,100,1,0,0,14,0,1,23,0,0,0,1,0,0,0,0,0,0,0
