"sample.depths","sample.ages","upland.sum","Carya","Corylus","Cyperaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ostrya.Carpinus","Pinus.undiff.","Platanus","Quercus","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Ambrosia","Populus","Amaranthaceae","Poaceae","Acer.saccharinum","Acer.saccharum","Pinus.strobus","Juglans.cinerea.type","Juglans.nigra.type","Pinus.banksiana.P..resinosa","Betula","Picea","Alnus","Iva.annua","Rosaceae","Other.herbs","Abies","Larix","Artemisia","Apiaceae","Morus","Thalictrum","Celtis","Cupressaceae","Galium","Rhamnus","Cornus","Myrica"
766,NA,368,24,1,9,2,1,8,9,16,5,229,1,2,1,9,21,6,1,2,5,1,2,1,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
834,11661,407,37,2,9,2,0,11,28,18,2,211,0,0,2,2,47,1,1,1,3,0,7,7,5,1,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
860,12045,495,2,7,4,0,2,23,26,107,0,82,2,2,13,2,27,0,2,0,1,0,3,160,4,0,9,5,5,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
884,12914,330,1,3,15,0,0,4,19,75,0,45,2,0,8,0,11,2,5,0,4,0,3,5,0,0,68,6,33,7,0,0,0,8,3,2,1,0,0,0,0,0,0,0,0
904,13724,368,4,1,15,4,1,70,45,3,2,71,2,0,0,5,15,2,3,0,24,0,5,1,1,0,4,4,72,0,0,0,0,7,1,3,0,1,2,0,0,0,0,0,0
928,14695,437,10,2,25,1,67,58,67,5,0,68,4,1,0,4,11,0,10,1,12,0,0,0,1,0,1,10,66,1,0,0,0,5,0,2,0,0,1,3,1,0,0,0,0
953,15708,378,1,1,22,0,2,22,10,9,0,29,3,0,0,7,0,1,1,0,20,0,1,0,0,0,6,2,205,9,0,1,2,6,3,8,2,0,2,0,1,1,1,0,0
979,16760,340,0,0,24,0,0,13,6,9,0,24,3,0,0,8,2,0,3,1,12,1,0,0,0,0,6,2,199,11,0,1,0,4,2,2,1,0,2,0,1,0,1,1,1
1004,NA,319,1,0,11,0,0,9,5,7,0,23,1,0,0,5,2,1,1,0,15,0,0,0,0,0,2,5,213,8,0,1,1,2,0,5,0,0,0,0,0,1,0,0,0
