"sample.depths","sample.ages","Picea","Pinus","Abies","Tsuga","Larix","Betula","Populus","Quercus","Ulmus","Acer","Fraxinus","Ostrya.Carpinus","Juniperus","Alnus","Salix","Corylus","Myrica","Cornus","Ericaceae.undiff.","Poaceae","Asteraceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Ambrosia","Artemisia","Aster","Solidago","Arctostaphylos","Chenopodiineae","Rosaceae.undiff.","Potentilla","Rubus","Dryas","Polygonum","Polygonaceae.undiff.","Rumex","Oxyria.digyna","Caryophyllaceae","Ranunculaceae","Brassicaceae","Saxifragaceae.undiff.","Saxifraga","Apiaceae","Scrophulariaceae","Plantaginaceae.undiff.","Plantago","Cyperaceae"
0,-35,0.456876456876457,0.118881118881119,0,0,0,0.0722610722610723,0,0,0,0,0,0,0,0.0326340326340326,0.006993006993007,0,0,0,0.284382284382284,0.00932400932400932,0,0,0,0,0,0,0,0,0.006993006993007,0.00233100233100233,0,0,0,0,0.00233100233100233,0,0,0,0,0,0,0,0,0,0,0,0.006993006993007
5,102,0.479381443298969,0.110824742268041,0,0,0,0.0695876288659794,0,0,0,0,0,0,0,0.0283505154639175,0.00515463917525773,0,0,0,0.288659793814433,0.00515463917525773,0,0,0,0,0,0,0,0,0.0103092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257731958762887
10,238,0.50920245398773,0.0736196319018405,0,0,0,0.0644171779141104,0,0,0,0,0,0,0,0.0214723926380368,0.00920245398773006,0,0,0,0.131901840490798,0.162576687116564,0.00613496932515337,0,0,0,0,0,0,0,0,0.00306748466257669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184049079754601
15,373,0.49211356466877,0.0851735015772871,0,0,0,0.0914826498422713,0,0,0,0,0,0,0,0.0157728706624606,0.00630914826498423,0,0,0,0.123028391167192,0.160883280757098,0.00315457413249211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220820189274448
20,509,0.496875,0.059375,0,0,0,0.075,0,0,0,0,0,0,0,0.01875,0.01875,0,0,0,0.1125,0.153125,0.01875,0,0,0,0,0,0,0,0,0.009375,0,0,0,0,0,0,0,0.003125,0,0,0,0,0,0,0,0,0.034375
25,624,0.439716312056738,0.130023640661939,0,0,0,0.0614657210401891,0,0,0,0,0,0,0,0.016548463356974,0.00945626477541371,0,0,0,0.0732860520094563,0.016548463356974,0.016548463356974,0,0,0,0.0118203309692671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224586288416076
30,717,0.26453488372093,0.0523255813953488,0,0,0,0.0901162790697674,0.00290697674418605,0,0,0,0,0,0,0.0436046511627907,0.00872093023255814,0,0,0,0.0203488372093023,0,0,0,0,0,0.0174418604651163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00290697674418605,0,0,0,0,0,0,0.497093023255814
35,811,0.442675159235669,0.054140127388535,0,0,0,0.0605095541401274,0,0,0,0,0,0,0,0.0286624203821656,0.0191082802547771,0,0,0,0,0.0414012738853503,0,0,0,0,0,0,0,0,0.00318471337579618,0,0,0,0,0,0.00318471337579618,0,0,0,0,0,0,0,0,0,0,0,0.347133757961783
40,904,0.64,0.115294117647059,0,0,0,0.0494117647058823,0,0,0,0,0,0,0,0.0211764705882353,0.00705882352941176,0,0,0,0.0258823529411765,0.0164705882352941,0.00235294117647059,0,0,0,0,0,0,0,0,0.00470588235294118,0,0,0,0,0,0,0,0,0,0.00235294117647059,0,0,0,0,0,0,0.115294117647059
45,1317,0.629976580796253,0.11943793911007,0,0,0,0.053864168618267,0,0,0,0,0,0,0,0.0163934426229508,0.00936768149882904,0,0,0,0.0304449648711944,0.0117096018735363,0,0,0,0,0,0,0,0,0,0.00234192037470726,0,0,0,0,0,0,0,0,0,0.00234192037470726,0,0,0,0,0,0,0.124121779859485
50,1765,0.60958904109589,0.089041095890411,0,0,0,0.0410958904109589,0,0,0,0,0,0,0,0.0205479452054795,0.0159817351598174,0,0,0,0.0342465753424658,0.0205479452054795,0,0,0,0,0,0,0,0,0.0045662100456621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164383561643836
55,2213,0.616306954436451,0.0815347721822542,0,0,0,0.0503597122302158,0,0,0,0,0,0,0,0.026378896882494,0.0215827338129496,0,0,0,0.0407673860911271,0.00719424460431655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155875299760192
60,2661,0.642297650130548,0.0809399477806789,0,0,0,0.06266318537859,0,0,0,0,0,0,0,0.0234986945169713,0.0182767624020888,0,0,0,0.0391644908616188,0.0130548302872063,0.00783289817232376,0,0,0,0,0,0,0,0.00783289817232376,0.00261096605744125,0,0,0,0,0,0,0,0,0,0.00522193211488251,0,0,0,0,0,0,0.0966057441253264
65,3108,0.681159420289855,0.115942028985507,0,0,0,0.072463768115942,0,0,0,0,0,0,0,0.0289855072463768,0.0202898550724638,0,0,0,0.0144927536231884,0.00869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0579710144927536
70,NA,0.719512195121951,0.0701219512195122,0,0,0,0.0640243902439024,0,0,0,0,0,0,0.0213414634146341,0.00609756097560976,0.0152439024390244,0,0,0,0.0335365853658537,0.00304878048780488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335365853658537,0,0,0,0,0,0,0.0335365853658537
76,NA,0.667590027700831,0.0581717451523546,0,0,0,0.0609418282548476,0.00554016620498615,0,0,0,0,0,0.0277008310249307,0.0138504155124654,0.00831024930747922,0,0,0,0.0609418282548476,0.0304709141274238,0,0,0,0,0,0,0,0,0,0.00554016620498615,0,0,0,0,0,0,0,0,0,0.03601108033241,0,0,0,0,0,0,0.0249307479224377
