"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Caltha","Carya","Caryophyllaceae","Castanea","Corylus","Cupressaceae","Cyperaceae","Dryas.type","Equisetum","Ericaceae","Fabaceae","Fagus","Filicopsida.undiff.","Fraxinus","Galium","Ilex","Indeterminable","Isoëtes","Juglans","Lamiaceae","Larix","Liquidambar","Lycopodium.type","Myrica","Nemopanthus","Nuphar","Nymphaea","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Potamogetonaceae","Potentilla.type","Quercus","Ranunculaceae.undiff.","Rhamnaceae","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Shepherdia","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha","Ulmus","Urtica.type"
10,47,0,15,2,3,50,0,2,0,0,28,0,0,6,0,0,0,0,2,0,0,0,1,30,3,5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,4,14,0,21,4,1,0,28,0,0,1,2,0,0,0,0,0,0,0,0,2,20,0,23,0
25,148,1,24,1,0,6,0,3,0,0,24,0,0,1,0,0,0,0,1,0,0,0,0,34,1,4,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,9,1,1,2,7,3,3,0,0,0,23,0,0,1,1,0,0,0,0,0,0,0,0,1,26,1,21,0
45,309,1,51,8,0,6,0,0,0,0,70,0,0,9,1,0,2,0,1,0,0,2,0,122,3,24,0,3,5,0,6,0,0,0,1,0,0,0,0,0,2,35,3,0,9,32,3,4,3,0,0,91,0,0,5,1,0,0,0,0,0,0,0,0,5,104,0,63,1
65,504,0,23,4,0,2,0,1,1,0,22,0,0,4,0,0,1,0,1,0,0,0,0,47,1,11,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,18,2,1,5,5,1,0,0,0,0,37,0,0,3,0,0,0,0,1,0,0,1,0,1,28,0,22,0
85,730,0,22,3,0,0,0,2,0,0,19,0,1,1,0,1,0,0,0,0,0,0,0,62,2,11,0,1,3,0,3,0,0,0,0,0,0,0,0,0,2,10,1,0,1,4,2,0,2,0,0,23,0,0,1,1,0,0,0,0,0,0,1,0,3,21,0,17,0
105,984,0,18,2,0,1,0,2,0,0,32,0,0,5,0,1,1,0,1,0,0,0,0,70,0,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,8,2,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,28,0
125,1260,0,9,3,1,1,0,2,0,0,23,0,2,11,0,0,1,2,0,0,0,0,0,66,1,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,1,0,0,3,2,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,28,0
145,1557,0,56,5,0,1,0,4,1,0,62,0,3,12,0,0,1,0,0,0,0,0,0,151,0,33,0,1,12,0,2,1,1,0,0,1,0,0,0,0,2,32,1,2,2,14,5,2,1,0,0,71,0,1,2,0,0,0,0,0,0,0,0,1,6,50,0,54,0
165,1870,0,43,2,1,1,0,0,1,0,32,0,2,7,0,0,0,0,0,0,0,0,0,80,0,14,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,16,0,1,4,10,5,0,3,0,0,31,0,0,0,0,0,1,0,0,0,0,0,0,4,16,0,35,0
185,2196,0,35,0,0,2,0,1,0,0,41,0,4,9,0,0,0,0,1,0,0,1,0,97,0,23,0,0,4,0,4,0,0,0,0,0,1,0,0,0,0,15,1,3,12,14,4,0,1,0,0,55,0,0,1,0,0,0,0,0,0,0,0,1,5,26,0,46,0
